,sprint_male,sprint_female,tuple,corp_male,corp_female,average_male,average_female,male-female
62,2.2275286,1.8791673,"('incompetent', 'brilliant')",1.0492984,0.9239505,1.6384134,1.4015589,0.2368545
60,1.8703955,1.4794042,"('inefficient', 'efficient')",0.7328401,0.7137283,1.3016179,1.0965662,0.2050517
61,1.7573117,1.4568838,"('illogical', 'logical')",0.60286087,0.34926814,1.1800863,0.9030759,0.2770104
50,-1.5631801,-1.3655026,"('clumsy', 'skillful')",0.25720817,0.31811395,-0.6529859,-0.5236943,-0.1292916
71,1.550803,1.3030542,"('diffident', 'self-confident')",0.30629343,0.08731847,0.9285482,0.6951863,0.2333619
75,-1.4313376,-1.239544,"('meek', 'impulsive')",-0.6909038,-0.70474744,-1.0611207,-0.9721457,-0.088975
9,1.4211159,1.1573917,"('unaffectionate', 'caring')",1.125921,1.1149515,1.2735184,1.1361716,0.1373468
83,1.3690534,1.16596,"('powerless', 'powerful')",-0.59944713,-0.663341,0.3848031,0.2513095,0.1334936
39,1.3476943,1.3129659,"('exploitative', 'cooperative')",-0.086589135,-0.17072468,0.6305526,0.5711206,0.059432
56,1.3311874,1.0333769,"('impractical', 'practical')",-0.11609261,-0.15486994,0.6075474,0.4392535,0.1682939
52,-1.2937622,-1.1849397,"('irrational', 'rational')",-0.72705835,-0.6961928,-1.0104103,-0.9405663,-0.069844
79,-1.2915092,-1.1622345,"('wavering', 'unwavering')",-0.5672184,-0.44405448,-0.9293638,-0.8031445,-0.1262193
16,-1.282791,-1.2011936,"('unpopular', 'popular')",0.26337278,0.10464822,-0.5097091,-0.5482727,0.0385636
55,1.2620338,0.8183049,"('incompetent', 'clever')",0.7563437,0.5613313,1.0091888,0.6898181,0.3193707
63,1.1763737,0.99198365,"('unperceptive', 'insightful')",1.0295873,0.89495575,1.1029805,0.9434697,0.1595108
44,-1.1667547,-1.1385881,"('prejudiced', 'unprejudiced')",-1.4328237,-1.4839944,-1.2997892,-1.3112912,0.011502
46,1.1664214,0.6612947,"('uncompetitive', 'competitive')",-0.16517869,-0.35793564,0.5006214,0.1516795,0.3489419
48,1.1449894,0.87166226,"('unintelligent', 'intelligent')",1.0381099,1.1361265,1.0915496,1.0038943,0.0876553
57,-1.1231183,-1.405102,"('unimaginative', 'imaginative')",-3.3556545,-3.4149175,-2.2393863,-2.4100099,0.1706236
86,1.1157883,0.62672967,"('uninfluential', 'influential')",-0.03186676,-0.008598767,0.5419608,0.3090655,0.2328953
24,1.0994192,0.7793936,"('dishonest', 'honest')",0.81101465,0.8769597,0.9552169,0.8281766,0.1270403
35,-1.0909798,-0.7435924,"('corrupt', 'incorrupt')",-0.8616365,-0.84908724,-0.9763082,-0.7963398,-0.1799684
33,1.0782232,1.0001864,"('wrong', 'right')",-0.8290533,-0.9888313,0.124585,0.0056776,0.1189074
12,1.065282,0.78368694,"('unsupportive', 'supportive')",-1.7705562,-1.9401177,-0.3526371,-0.5782154,0.2255783
77,1.0292538,0.55933946,"('unmotivated', 'motivated')",-0.6191046,-0.86266255,0.2050746,-0.1516615,0.3567361
66,-1.0186137,-1.1751359,"('inactive', 'active')",0.54845095,0.36207604,-0.2350814,-0.4065299,0.1714485
72,0.9887117,0.90453476,"('unambitious', 'ambitious')",-0.29288822,-0.09639384,0.3479117,0.4040705,-0.0561588
43,0.9778164,0.6716253,"('irresponsible', 'responsible')",0.7173377,0.68700486,0.8475771,0.6793151,0.168262
17,-0.9741615,-1.0128827,"('nasty', 'nice')",-0.82580465,-0.9757644,-0.899983,-0.9943236,0.0943406
