,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,male-female
82,-1.4314597,-1.4227074,"('poor', 'rich')",5.721149,5.799214,2.1448445,2.1882532,-0.0434087
39,1.3493612,1.3168765,"('exploitative', 'cooperative')",0.17776407,0.2929307,0.7635626,0.8049036,-0.041341
85,1.2996353,1.4375654,"('insignificant', 'prestigious')",0.78768015,0.88898575,1.0436578,1.1632756,-0.1196178
33,1.2310673,1.1958522,"('wrong', 'right')",-0.59039557,-0.50792956,0.3203359,0.3439613,-0.0236254
57,-1.176905,-1.4866205,"('unimaginative', 'imaginative')",-2.5895922,-2.7315907,-1.8832486,-2.1091056,0.225857
18,-1.0655082,-1.1442115,"('disagreeable', 'welcoming')",-0.26914698,-0.36999232,-0.6673276,-0.7571019,0.0897743
84,1.0453815,0.9235291,"('inferior', 'superior')",0.9994787,0.9832444,1.0224302,0.9533868,0.0690434
14,-1.0434793,-1.1777585,"('antisocial', 'social')",-0.8253112,-0.8329394,-0.9343953,-1.0053489,0.0709536
87,0.96956635,1.001059,"('unsuccessful', 'successful')",0.97404116,0.944956,0.9718038,0.9730076,-0.0012038
71,0.9114189,0.85593873,"('diffident', 'self-confident')",0.50956094,0.36339942,0.7104899,0.6096691,0.1008208
73,0.87221664,1.0714613,"('helpless', 'self-reliant')",-2.929427,-2.7850995,-1.0286051,-0.8568191,-0.171786
72,-0.85119754,-0.81444883,"('unambitious', 'ambitious')",-0.96055126,-0.7657487,-0.9058744,-0.7900988,-0.1157756
70,-0.8229671,-1.0007182,"('lethargic', 'energetic')",0.7364038,0.5939334,-0.0432816,-0.2033924,0.1601108
35,-0.80339336,-0.511962,"('corrupt', 'incorrupt')",-0.32803264,-0.09610659,-0.565713,-0.3040343,-0.2616787
15,0.75359976,0.81250185,"('boring', 'funny')",0.36510032,0.43149292,0.55935,0.6219974,-0.0626474
51,-0.7380466,-0.8040657,"('uneducated', 'educated')",0.8878866,0.80722564,0.07492,0.00158,0.07334
