,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,male-female
71,1.9778072,2.0136888,"('diffident', 'self-confident')",2.1043618,2.1762118,0.26719636,0.3582571,1.4497884,1.5160526,-0.0662642
17,-1.6334503,-1.5121726,"('nasty', 'nice')",-0.15154044,0.053777706,-0.66896,-0.6424768,-0.8179835,-0.7002905,-0.117693
3,-1.4897887,-1.7177863,"('repellent', 'pleasant')",-1.9002581,-2.2496374,0.68745977,0.20351693,-0.9008623,-1.2546356,0.3537733
68,-1.4509604,-1.4863153,"('dependent', 'independent')",-1.7738032,-1.9555528,-1.6558439,-1.6814733,-1.6268692,-1.7077805,0.0809113
25,1.3308893,1.633904,"('egoistic', 'altruistic')",1.8157723,2.2169645,1.0566247,1.2443719,1.4010954,1.6984135,-0.2973181
39,1.3185614,1.2033346,"('exploitative', 'cooperative')",1.3821083,1.2823058,0.29761127,0.5145307,0.999427,1.0000571,-0.0006301
67,1.2450176,1.2077128,"('doubtful', 'determined')",0.7070728,0.5988313,0.22154936,0.2060563,0.7245466,0.6708668,0.0536798
57,-1.2089314,-1.0564804,"('unimaginative', 'imaginative')",-1.0177455,-1.0718046,-3.4813647,-3.5745258,-1.9026806,-1.9009369,-0.0017437
45,-1.1939597,-1.3224064,"('incompetent', 'competent')",-0.6705131,-1.029086,-0.16908552,-0.5237223,-0.6778528,-0.9584049,0.2805521
33,1.1685029,1.5712844,"('wrong', 'right')",1.4457977,1.7748792,-0.75823283,-0.47638398,0.6186893,0.9565933,-0.337904
53,1.1578454,1.473483,"('uncreative', 'creative')",0.8056817,1.0011829,0.15700237,0.31976357,0.7068431,0.9314765,-0.2246334
10,-1.1523714,-1.2025623,"('unsympathetic', 'sympathetic')",-0.85977346,-1.4355783,0.01664988,-0.19430588,-0.665165,-0.9441489,0.2789839
56,1.1452993,0.6587392,"('impractical', 'practical')",1.0059828,0.5066715,0.33744875,0.1507111,0.829577,0.4387073,0.3908697
9,1.1392814,1.4405905,"('unaffectionate', 'caring')",1.9405122,2.117666,0.5537262,0.8700221,1.2111732,1.476093,-0.2649198
69,1.0546039,1.3119072,"('lazy', 'industrious')",1.462106,1.9128969,-1.2631257,-0.87632674,0.4178614,0.7828257,-0.3649643
75,-1.0476716,-0.8429583,"('meek', 'impulsive')",0.48358446,0.7464721,-0.500808,-0.4751033,-0.3549651,-0.1905298,-0.1644353
58,-1.0468031,-1.0845045,"('undiscriminating', 'discriminating')",-0.95023584,-0.9387132,-0.35370895,-0.5016968,-0.7835826,-0.8416382,0.0580556
55,-1.0326076,-1.3826561,"('incompetent', 'clever')",-0.8596117,-1.500241,0.6698722,0.37830478,-0.407449,-0.8348641,0.4274151
