,macys_male,macys_female,tuple,inc_male,inc_female,average_male,average_female,male-female
56,1.7863085,1.2729506,"('impractical', 'practical')",0.534731,0.32708964,1.1605197,0.8000202,0.3604995
57,-1.453579,-1.4862647,"('unimaginative', 'imaginative')",-2.6706705,-2.6105525,-2.0621247,-2.0484085,-0.0137162
75,-1.289616,-1.2213589,"('meek', 'impulsive')",-0.19499862,-0.3543368,-0.7423073,-0.7878479,0.0455406
44,-1.2456552,-1.5204675,"('prejudiced', 'unprejudiced')",-1.3740408,-1.6729922,-1.3098481,-1.5967299,0.2868818
87,1.2394022,0.7902092,"('unsuccessful', 'successful')",0.72539085,0.6439819,0.9823965,0.7170955,0.265301
64,-1.129417,-1.1436896,"('shy', 'confident')",-6.4794497,-6.5784197,-3.8044333,-3.8610547,0.0566214
68,-1.0608882,-0.82272345,"('dependent', 'independent')",-0.74622285,-0.3746375,-0.9035555,-0.5986805,-0.304875
12,1.0607905,1.1246758,"('unsupportive', 'supportive')",-1.5559975,-1.2741722,-0.2476035,-0.0747482,-0.1728553
73,1.0124261,1.1818737,"('helpless', 'self-reliant')",-3.2436292,-3.3427184,-1.1156015,-1.0804224,-0.0351791
32,0.8704377,0.5238401,"('unkind', 'kind')",1.2984962,1.2801497,1.0844669,0.9019949,0.182472
39,0.85378164,0.7080357,"('exploitative', 'cooperative')",-0.069983155,-0.044107288,0.3918992,0.3319642,0.059935
77,-0.8435946,-1.0730919,"('unmotivated', 'motivated')",-0.98236287,-1.1065962,-0.9129788,-1.089844,0.1768652
18,-0.83248377,-0.7151768,"('disagreeable', 'welcoming')",-0.81375366,-0.66203916,-0.8231187,-0.688608,-0.1345107
33,0.826819,1.1109177,"('wrong', 'right')",-0.9121723,-0.6229434,-0.0426767,0.2439871,-0.2866638
13,0.82454264,0.5877281,"('impolite', 'polite')",-0.11220586,-0.020867517,0.3561684,0.2834303,0.0727381
31,-0.8203229,-0.3565301,"('evil', 'good')",-1.5503119,-1.2751359,-1.1853174,-0.815833,-0.3694844
55,-0.813209,-1.078913,"('incompetent', 'clever')",-0.060411513,0.19728246,-0.4368103,-0.4408153,0.004005
