,campbell_male,campbell_female,tuple,soup_male,soup_female,co_male,co_female,average_male,average_female,male-female
65,-2.2769535,-2.0933192,"('insecure', 'secure')",-1.8273187,-1.8367383,-0.7369168,-0.6746756,-1.6137295,-1.534911,-0.0788185
73,2.174178,2.0453358,"('helpless', 'self-reliant')",-0.104309514,-0.2536338,-3.103732,-3.2286344,-0.3446213,-0.4789774,0.1343561
69,2.1323893,1.9403043,"('lazy', 'industrious')",1.1440436,1.1351191,-0.8563669,-0.6607743,0.8066887,0.804883,0.0018057
6,1.7835119,1.6190829,"('distant', 'open')",1.547572,1.4763675,0.7814486,0.7324047,1.3708442,1.2759517,0.0948925
46,-1.7207166,-1.7052072,"('uncompetitive', 'competitive')",-0.7327502,-0.6704632,-1.8766559,-1.7943895,-1.4433743,-1.3900201,-0.0533542
85,1.611476,1.544286,"('insignificant', 'prestigious')",0.9270432,1.0004059,0.41399968,0.47226623,0.984173,1.0056527,-0.0214797
5,1.600927,1.5448534,"('distant', 'outgoing')",1.0438247,1.0221353,0.36403522,0.27734196,1.0029289,0.9481103,0.0548186
35,1.5621141,1.5707194,"('corrupt', 'incorrupt')",0.37106356,0.32623288,-0.13899733,-0.024037112,0.5980601,0.624305,-0.0262449
17,-1.5223591,-1.3596556,"('nasty', 'nice')",-0.77331394,-0.7672705,-0.77941805,-0.6595506,-1.0250304,-0.9288256,-0.0962048
33,1.4703683,1.2876074,"('wrong', 'right')",0.4312467,0.43144557,-0.20927417,-0.28939566,0.5641136,0.4765524,0.0875612
81,-1.40909,-1.40083,"('submissive', 'aggressive')",-1.1981735,-1.1721872,-1.4627951,-1.3955424,-1.3566863,-1.3228532,-0.0338331
47,-1.3549211,-1.1711894,"('stupid', 'smart')",0.11556212,0.15106742,5.3000517,5.4175224,1.3535643,1.4658001,-0.1122358
14,-1.338296,-0.98490095,"('antisocial', 'social')",-1.2054971,-0.86180496,-1.5479228,-1.0835333,-1.3639053,-0.9767464,-0.3871589
79,1.305399,1.1978666,"('wavering', 'unwavering')",0.062052935,-0.027769163,-0.013865613,-0.011274746,0.4511954,0.3862742,0.0649212
9,1.2784679,1.0909085,"('unaffectionate', 'caring')",0.80563724,0.7749869,1.6376244,1.4213303,1.2405764,1.0957419,0.1448345
3,-1.2536103,-0.9999825,"('repellent', 'pleasant')",-1.7327671,-1.6948855,0.27761695,0.46143395,-0.9029201,-0.7444781,-0.158442
71,1.2302889,1.2554952,"('diffident', 'self-confident')",1.6769289,1.7437475,0.67393345,0.73014706,1.1937171,1.24313,-0.0494129
0,-1.2069136,-1.1892762,"('unsociable', 'sociable')",0.0058098193,0.014925372,-0.72512484,-0.6376145,-0.6420762,-0.6039884,-0.0380878
11,-1.126993,-1.4749941,"('unhelpful', 'helpful')",-0.26628911,-0.47789317,1.7428071,1.4702443,0.1165084,-0.160881,0.2773894
25,1.1212734,0.98384356,"('egoistic', 'altruistic')",1.5164224,1.5726954,1.8927956,1.8553474,1.5101638,1.4706287,0.0395351
76,-1.119313,-1.0453067,"('anxious', 'daring')",-0.6450273,-0.70549214,-0.35513538,-0.34097958,-0.7064919,-0.6972594,-0.0092325
55,-1.1124624,-1.0539963,"('incompetent', 'clever')",-0.33117703,-0.18000403,-0.5298091,-0.4163417,-0.6578162,-0.550114,-0.1077022
16,-1.0976299,-1.2035677,"('unpopular', 'popular')",-1.0164182,-1.0668864,-0.11660772,0.06574161,-0.7435519,-0.7349042,-0.0086477
18,-1.0959929,-1.059371,"('disagreeable', 'welcoming')",-0.4231954,-0.34176698,-0.8182329,-0.8820634,-0.7791404,-0.7610671,-0.0180733
10,-1.0827563,-0.94527787,"('unsympathetic', 'sympathetic')",-1.0196117,-0.99353105,-1.096723,-1.0437118,-1.0663637,-0.9941735,-0.0721902
37,1.0774947,1.0985047,"('fake', 'genuine')",0.5748184,0.5380542,0.39645845,0.36974224,0.6829239,0.6687671,0.0141568
74,1.063948,0.9316717,"('undedicated', 'dedicated')",0.1776823,0.19048177,-0.15707396,-0.23856728,0.3615188,0.2945287,0.0669901
7,-1.0346869,-1.0012242,"('insensitive', 'sensitive')",-0.9411429,-0.89122677,-0.10377718,-0.03964559,-0.6932023,-0.6440322,-0.0491701
13,-0.99744344,-1.1254297,"('impolite', 'polite')",0.005145099,-0.08982046,-0.89853513,-0.8957687,-0.6302778,-0.703673,0.0733952
30,-0.9768092,-0.81646734,"('intolerant', 'tolerant')",-1.2816951,-1.2618048,-0.28934127,-0.25300446,-0.8492819,-0.7770922,-0.0721897
61,-0.96315205,-0.94326085,"('illogical', 'logical')",-0.6810185,-0.7371431,-0.059211306,0.0021823016,-0.5677939,-0.5594072,-0.0083867
63,0.9364644,0.7560949,"('unperceptive', 'insightful')",0.91435075,0.9318409,-0.123950794,-0.097905636,0.5756214,0.5300101,0.0456113
82,-0.91782635,-0.9012067,"('poor', 'rich')",-0.9312782,-1.0026512,6.1885743,6.0958815,1.44649,1.3973411,0.0491489
1,0.9013045,0.64065313,"('unfriendly', 'friendly')",1.628835,1.5868351,2.6568365,2.4945388,1.728992,1.5740089,0.1549831
36,0.90072614,0.8056211,"('hostile', 'amicable')",0.10495378,0.110454656,0.40625253,0.47002208,0.4706442,0.4620326,0.0086116
19,0.89752036,0.9463569,"('inhospitable', 'hospitable')",0.15846787,0.082903504,0.16490558,0.10637751,0.4069646,0.378546,0.0284186
70,-0.82435596,-0.63676745,"('lethargic', 'energetic')",-1.4422203,-1.4311415,-0.31579095,-0.31389055,-0.8607891,-0.7939332,-0.0668559
44,-0.81883895,-0.8468507,"('prejudiced', 'unprejudiced')",-1.0410829,-1.1890332,-1.2612207,-1.2996649,-1.0403808,-1.1118496,0.0714688
87,-0.8082679,-0.77205646,"('unsuccessful', 'successful')",-0.14288712,-0.13345337,-0.17883411,0.079096936,-0.376663,-0.275471,-0.101192
51,-0.7531843,-0.7114952,"('uneducated', 'educated')",-0.8532605,-0.842587,0.16899043,0.07411323,-0.4791515,-0.493323,0.0141715
60,-0.74965066,-1.0789223,"('inefficient', 'efficient')",-0.015421994,-0.29740945,-0.6486092,-0.84417385,-0.4712273,-0.7401685,0.2689412
56,0.7363815,0.479331,"('impractical', 'practical')",0.51951253,0.38553217,-1.2166538,-1.2925347,0.01308,-0.1425572,0.1556372
80,-0.7222112,-0.7553222,"('dominated', 'dominating')",-0.5789565,-0.5750066,-1.0957291,-0.9780348,-0.7989656,-0.7694546,-0.029511
43,-0.705867,-0.824533,"('irresponsible', 'responsible')",-0.40624383,-0.49446744,0.04245109,-0.087684,-0.3565532,-0.4688948,0.1123416
54,0.7022325,0.7030956,"('incapable', 'capable')",1.1243654,1.0768955,1.1302521,1.1431193,0.9856167,0.9743702,0.0112465
57,-0.6889321,-0.8709341,"('unimaginative', 'imaginative')",-1.1971489,-1.2218262,-4.149343,-4.145666,-2.0118081,-2.0794754,0.0676673
77,-0.6820673,-1.0963225,"('unmotivated', 'motivated')",-0.80017614,-1.0112251,-1.5436172,-1.6278211,-1.0086203,-1.2451229,0.2365026
26,0.6805579,0.9096419,"('hardhearted', 'benevolent')",1.1002831,1.3900514,1.4160069,1.5141699,1.065616,1.2712878,-0.2056718
27,0.65178126,0.3885146,"('hardhearted', 'softhearted')",0.624972,0.41331607,1.5399386,1.3737395,0.9388973,0.72519,0.2137073
31,0.62140226,0.7659279,"('evil', 'good')",0.38630584,0.39489242,-0.19718458,-0.050602283,0.2701745,0.3700727,-0.0998982
72,-0.60903835,-0.68156385,"('unambitious', 'ambitious')",-0.6391153,-0.75972486,-0.69247645,-0.789691,-0.6468767,-0.7436599,0.0967832
64,-0.5807818,-0.3493516,"('shy', 'confident')",-1.5890086,-1.58046,-7.5138674,-7.3879485,-3.2278859,-3.1059202,-0.1219657
22,-0.55913097,-0.3626942,"('untrustworthy', 'trustworthy')",-0.40014642,-0.3914597,-1.3298277,-1.2185619,-0.763035,-0.657572,-0.105463
38,0.5557539,0.25413403,"('untruthful', 'truthful')",0.59460354,0.3658955,0.061542224,-0.14427897,0.4039666,0.1585835,0.2453831
23,-0.5484963,-0.71173,"('insincere', 'sincere')",0.4866128,0.25622827,6.3405333,6.156036,2.0928833,1.9001781,0.1927052
34,-0.542334,-0.5463994,"('mean', 'honorable')",0.09997149,0.0035404488,5.535516,5.574868,1.6977177,1.6773364,0.0203813
41,-0.5371678,-0.7220724,"('unforgiving', 'forgiving')",0.6303736,0.668621,-0.37781835,-0.38167182,-0.0948708,-0.1450411,0.0501703
75,0.5332375,0.40719342,"('meek', 'impulsive')",-0.71144485,-0.7056498,-0.42138386,-0.3263415,-0.1998637,-0.208266,0.0084023
68,0.51647526,0.4277184,"('dependent', 'independent')",-0.9579846,-1.169359,-1.3733615,-1.3385409,-0.6049569,-0.6933939,0.088437
62,-0.49980074,-0.5814608,"('incompetent', 'brilliant')",-0.19760698,-0.2709291,-0.74967587,-0.8737311,-0.4823612,-0.5753736,0.0930124
59,0.49958232,0.45150214,"('foolish', 'wise')",0.11195761,0.10449102,0.04300255,-0.0044124275,0.2181808,0.1838602,0.0343206
84,0.4945193,0.5028047,"('inferior', 'superior')",0.0753082,0.11340977,0.62868726,0.67421675,0.3995049,0.4301438,-0.0306389
15,0.49186713,0.3342696,"('boring', 'funny')",0.49019527,0.39763188,0.21379942,0.24057996,0.3986206,0.3241605,0.0744601
21,-0.4469677,-0.44540146,"('immoral', 'moral')",-0.46851242,-0.5481837,-1.2650946,-1.2310444,-0.7268583,-0.7415431,0.0146848
32,-0.44344705,-0.39570874,"('unkind', 'kind')",0.41055784,0.37690756,0.9422834,0.8280153,0.3031314,0.269738,0.0333934
39,0.42478046,0.38493878,"('exploitative', 'cooperative')",1.0328617,0.8717847,0.17557785,0.17983568,0.5444067,0.478853,0.0655537
52,-0.42203414,-0.6685115,"('irrational', 'rational')",-0.19594976,-0.19475482,0.17120633,0.21549875,-0.1489259,-0.2159225,0.0669966
78,-0.39094198,-0.5883416,"('nonresilient', 'resilient')",0.6323481,0.6929883,-0.15350251,-0.13351661,0.0293012,-0.0096233,0.0389245
12,0.38794085,0.3581249,"('unsupportive', 'supportive')",0.5637017,0.68527555,-2.0794666,-2.1000073,-0.3759414,-0.3522023,-0.0237391
2,-0.37908334,-0.3385474,"('unlikable', 'likable')",-0.068540365,-0.15034024,0.35980555,0.36292085,-0.0292727,-0.0419889,0.0127162
28,-0.35539183,-0.47143978,"('disloyal', 'loyal')",-0.12589878,-0.1976276,0.7705547,0.5694315,0.0964214,-0.033212,0.1296334
29,-0.3404394,-0.19727875,"('unfair', 'fair')",-0.40179724,-0.4650249,-0.49705434,-0.48266858,-0.413097,-0.3816574,-0.0314396
53,0.29811049,0.09229374,"('uncreative', 'creative')",-0.070013225,-0.22192141,0.6904144,0.5051883,0.3061706,0.1251869,0.1809837
88,-0.24867548,-0.4492334,"('low', 'eminent')",-0.73991525,-0.8090568,-0.18174113,-0.31438497,-0.3901106,-0.5242251,0.1341145
24,-0.19211277,-0.28069967,"('dishonest', 'honest')",-0.10510532,-0.26274943,0.80773467,0.6268267,0.1701722,0.0277925,0.1423797
42,0.18690604,0.16375184,"('unreliable', 'reliable')",-0.4834276,-0.56574416,-3.47331,-3.563802,-1.2566106,-1.3219314,0.0653208
86,0.18123135,0.23938501,"('uninfluential', 'influential')",-0.20497009,-0.09583701,-0.72923034,-0.70404935,-0.2509897,-0.1868338,-0.0641559
50,-0.16714321,-0.24282327,"('clumsy', 'skillful')",-1.3683323,-1.4291413,-0.09717133,-0.22053203,-0.5442156,-0.6308322,0.0866166
8,-0.15719463,-0.034277722,"('unaffectionate', 'affectionate')",0.35798118,0.5279715,1.0842294,1.0162905,0.4283386,0.5033281,-0.0749895
67,0.15033315,0.29972032,"('doubtful', 'determined')",0.0421745,0.21727416,-0.6269679,-0.4236831,-0.1448201,0.0311038,-0.1759239
45,-0.14498073,-0.08524883,"('incompetent', 'competent')",-0.53210014,-0.54752004,-1.0412154,-0.97836727,-0.5727654,-0.5370454,-0.03572
20,0.13855952,0.09355351,"('rough', 'thoughtful')",-0.015932992,-0.070260204,0.30037272,0.3729567,0.1409998,0.1320833,0.0089165
4,0.13466415,0.03887027,"('disliked', 'liked')",-0.14232016,-0.20290884,-7.5383744,-7.5071344,-2.5153435,-2.5570577,0.0417142
48,0.094462484,-0.10353293,"('unintelligent', 'intelligent')",0.11819622,0.10049747,-0.117484815,-0.21175668,0.0317246,-0.0715974,0.103322
49,-0.09148139,-0.17524096,"('unable', 'able')",0.05250854,-0.0465203,-0.6932782,-0.6214191,-0.2440837,-0.2810601,0.0369764
58,-0.052348927,-0.04600822,"('undiscriminating', 'discriminating')",-0.33977306,-0.32570937,-0.05071677,0.06541422,-0.1476129,-0.1021011,-0.0455118
83,-0.03721412,-0.008692283,"('powerless', 'powerful')",-0.5697799,-0.49315733,-1.7309538,-1.7169129,-0.7793159,-0.7395875,-0.0397284
40,-0.029547958,0.10908888,"('stingy', 'generous')",-0.28573632,-0.14234719,-2.3082,-2.203196,-0.8744947,-0.7454847,-0.12901
66,0.013978198,0.17569616,"('inactive', 'active')",-0.49653524,-0.40152162,0.5515548,0.8026159,0.0229992,0.1922635,-0.1692643
