,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,male-female
6,-2.0060978,-2.2884748,"('distant', 'open')",-2.109091,-2.102433,0.59620124,0.33276322,-1.1729958,-1.3527149,0.1797191
5,-1.732365,-2.1204293,"('distant', 'outgoing')",-1.8793067,-1.9155362,-0.031795286,-0.18152386,-1.214489,-1.4058297,0.1913407
86,-1.6609323,-2.4359746,"('uninfluential', 'influential')",-0.04933779,-0.60666275,-0.61421674,-0.6607565,-0.7748289,-1.2344646,0.4596357
53,-1.6071799,-2.1622074,"('uncreative', 'creative')",0.28782743,-0.1888293,0.9949007,0.76379514,-0.1081506,-0.5290805,0.4209299
1,-1.5838383,-2.2650368,"('unfriendly', 'friendly')",-0.85624385,-1.2309985,1.8665366,1.390985,-0.1911818,-0.7016834,0.5105016
73,1.5244285,1.5183414,"('helpless', 'self-reliant')",0.9805164,0.83464485,-2.703318,-2.7607327,-0.0661244,-0.1359154,0.069791
66,-1.3980372,-1.1752985,"('inactive', 'active')",-1.0276442,-0.8713074,1.272078,1.1058515,-0.3845344,-0.3135848,-0.0709496
10,-1.3528818,-1.9283934,"('unsympathetic', 'sympathetic')",0.0402518,-0.46610415,-0.78722847,-0.627316,-0.6999528,-1.0072711,0.3073183
63,-1.3304185,-1.4716027,"('unperceptive', 'insightful')",-0.02919473,-0.2681532,0.4404469,0.72563607,-0.3063888,-0.33804,0.0316512
19,-1.2922072,-1.59291,"('inhospitable', 'hospitable')",-1.3700414,-1.515981,0.3016419,0.10300393,-0.7868689,-1.0019623,0.2150934
24,-1.2113659,-1.9376726,"('dishonest', 'honest')",-1.4581475,-1.775173,0.62757474,0.5007177,-0.6806463,-1.0707093,0.390063
82,-1.1955186,-1.329434,"('poor', 'rich')",0.20909226,-0.067291394,5.9701715,5.913081,1.6612484,1.5054518,0.1557966
57,-1.1784492,-1.4265797,"('unimaginative', 'imaginative')",0.42458043,0.21165478,-2.5956247,-2.6171443,-1.1164978,-1.2773565,0.1608587
45,-1.1424092,-1.2695557,"('incompetent', 'competent')",-0.48740643,-0.47684017,-0.7754149,-0.69932115,-0.8017435,-0.815239,0.0134955
79,-1.1224712,-1.2062572,"('wavering', 'unwavering')",-1.8760083,-1.7906681,-0.0022184383,-0.1455337,-1.0002326,-1.0474864,0.0472538
23,-1.0461086,-1.6550916,"('insincere', 'sincere')",-0.43907657,-0.8312167,5.0876317,5.159944,1.2008155,0.8912119,0.3096036
0,-1.0263703,-1.7986759,"('unsociable', 'sociable')",-0.0068285884,-0.37876105,-0.7592329,-0.7347358,-0.5974772,-0.9707242,0.373247
58,-1.0128571,-0.84545416,"('undiscriminating', 'discriminating')",0.17054959,0.19709405,-0.38882264,-0.39775518,-0.4103767,-0.3487051,-0.0616716
39,1.0076518,0.5130596,"('exploitative', 'cooperative')",0.47184312,0.35943103,-0.07590741,0.02230475,0.4678625,0.2982651,0.1695974
38,-0.9751549,-1.3066444,"('untruthful', 'truthful')",-0.76531863,-1.0118883,-0.018974256,-0.27163386,-0.5864826,-0.8633889,0.2769063
34,-0.9391572,-1.1066357,"('mean', 'honorable')",-0.6000134,-0.5830219,5.777675,5.7956166,1.4128348,1.368653,0.0441818
46,-0.8267046,-1.3513658,"('uncompetitive', 'competitive')",0.42057306,-0.03488501,-0.898905,-1.112798,-0.4350122,-0.8330162,0.398004
54,-0.81566757,-1.1239991,"('incapable', 'capable')",-0.049389895,-0.30813795,1.3178902,1.2942572,0.1509442,-0.0459599,0.1969041
68,-0.7670238,-0.8651478,"('dependent', 'independent')",-0.5123864,-0.7335953,-0.7857961,-1.0299653,-0.6884021,-0.8762361,0.187834
8,-0.7098798,-1.0846663,"('unaffectionate', 'affectionate')",-0.46564704,-0.68154234,0.88375354,0.6912533,-0.0972578,-0.3583184,0.2610606
70,-0.6818881,-0.82733655,"('lethargic', 'energetic')",-0.057719246,-0.22255228,0.40112615,0.88945407,-0.1128271,-0.0534783,-0.0593488
67,0.68112785,0.8046988,"('doubtful', 'determined')",0.24554265,0.4026959,-0.60720885,-0.34551498,0.1064872,0.2872932,-0.180806
69,0.6787129,0.8945791,"('lazy', 'industrious')",0.30345526,0.54109466,-0.045847643,-0.12021065,0.3121068,0.4384877,-0.1263809
43,-0.6760735,-1.167201,"('irresponsible', 'responsible')",-0.085049495,-0.4455592,0.21986057,0.21992016,-0.1804208,-0.46428,0.2838592
31,-0.6634346,-0.75154275,"('evil', 'good')",-1.6555092,-1.6006947,-0.7416934,-1.2299398,-1.0202125,-1.1940591,0.1738466
28,-0.6525088,-1.3799748,"('disloyal', 'loyal')",0.0705552,-0.23385896,0.78914666,0.6137746,0.0690644,-0.333353,0.4024174
