,celgene_male,celgene_female,tuple,corp_male,corp_female,average_male,average_female,male-female
69,2.1711473,1.645775,"('lazy', 'industrious')",-0.43966585,-1.3177235,0.8657408,0.1640257,0.7017151
10,-2.1187303,-1.6827557,"('unsympathetic', 'sympathetic')",-0.28784505,0.51709694,-1.2032877,-0.5828294,-0.6204583
28,-1.8422154,-1.8767725,"('disloyal', 'loyal')",0.45613173,0.7817417,-0.6930419,-0.5475154,-0.1455265
86,-1.838932,-2.084992,"('uninfluential', 'influential')",-0.14136533,-0.091800645,-0.9901487,-1.0883963,0.0982476
57,-1.655598,-1.2486366,"('unimaginative', 'imaginative')",-2.9220848,-2.8356686,-2.2888415,-2.0421526,-0.2466889
23,-1.4865397,-1.3314761,"('insincere', 'sincere')",5.033312,6.103903,1.773386,2.3862133,-0.6128273
43,-1.4737554,-1.2464631,"('irresponsible', 'responsible')",0.39052436,0.9223861,-0.5416155,-0.1620385,-0.379577
45,-1.4665883,-0.8558445,"('incompetent', 'competent')",0.10933801,0.5450658,-0.6786251,-0.1553893,-0.5232358
35,1.4383351,1.1936183,"('corrupt', 'incorrupt')",-0.6961212,-1.3728313,0.3711069,-0.0896065,0.4607134
0,-1.3634474,-1.2302954,"('unsociable', 'sociable')",-0.056351285,0.27050313,-0.7098994,-0.4798961,-0.2300033
11,-1.3416612,-1.1317574,"('unhelpful', 'helpful')",1.6061559,2.0268705,0.1322473,0.4475566,-0.3153093
13,-1.3348153,-0.9922334,"('impolite', 'polite')",-0.56290674,-0.07479666,-0.948861,-0.533515,-0.415346
84,1.2154609,1.1687305,"('inferior', 'superior')",1.1127373,0.9958537,1.1640991,1.0822921,0.081807
55,-1.2154515,-0.72660977,"('incompetent', 'clever')",0.5996466,1.2056781,-0.3079024,0.2395342,-0.5474366
24,-1.2035235,-1.1178117,"('dishonest', 'honest')",0.2911919,0.7146731,-0.4561658,-0.2015693,-0.2545965
85,1.1937586,0.43118978,"('insignificant', 'prestigious')",-0.5167654,-1.6700354,0.3384966,-0.6194228,0.9579194
81,-1.1864309,-0.67773205,"('submissive', 'aggressive')",-0.11791289,0.47069532,-0.6521719,-0.1035184,-0.5486535
