,viatris_male,viatris_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.9670506,-1.8801402,"('distant', 'open')",-0.020361364,-0.19873703,-0.993706,-1.0394386,0.0457326
5,-1.6747619,-1.6406963,"('distant', 'outgoing')",-0.51494884,-0.61114126,-1.0948553,-1.1259187,0.0310634
9,-1.5837841,-1.4197271,"('unaffectionate', 'caring')",0.9660411,0.82519203,-0.3088715,-0.2972675,-0.011604
8,-1.50582,-1.3461579,"('unaffectionate', 'affectionate')",0.71827435,0.5183432,-0.3937728,-0.4139073,0.0201345
19,-1.4986095,-1.6561583,"('inhospitable', 'hospitable')",-0.052805297,-0.204477,-0.7757074,-0.9303176,0.1546102
79,-1.4897287,-1.557883,"('wavering', 'unwavering')",-0.07301721,-0.28172693,-0.781373,-0.919805,0.138432
1,-1.4599043,-1.2644404,"('unfriendly', 'friendly')",1.846127,1.6788939,0.1931114,0.2072268,-0.0141154
60,1.4134727,1.3799415,"('inefficient', 'efficient')",-0.010691481,0.17670947,0.7013906,0.7783254,-0.0769348
31,-1.3905783,-1.2009897,"('evil', 'good')",-1.0489645,-1.1125729,-1.2197714,-1.1567813,-0.0629901
81,1.3860712,1.4919425,"('submissive', 'aggressive')",-0.5152055,-0.3362762,0.4354329,0.5778332,-0.1424003
36,-1.3363868,-1.234997,"('hostile', 'amicable')",0.5082216,0.29027817,-0.4140826,-0.4723594,0.0582768
53,-1.3127527,-1.1873956,"('uncreative', 'creative')",0.7492387,0.78521264,-0.281757,-0.2010915,-0.0806655
80,1.2544158,1.0332041,"('dominated', 'dominating')",-1.3387783,-1.3133115,-0.0421813,-0.1400537,0.0978724
29,-1.2486941,-1.230385,"('unfair', 'fair')",-0.58945614,-0.55684614,-0.9190751,-0.8936155,-0.0254596
39,1.1216327,1.2405931,"('exploitative', 'cooperative')",0.37153092,0.41096324,0.7465818,0.8257781,-0.0791963
76,1.098338,1.0776104,"('anxious', 'daring')",0.18239012,0.34246078,0.6403641,0.7100356,-0.0696715
86,-1.0659212,-1.0655093,"('uninfluential', 'influential')",0.06568378,-0.013069656,-0.5001187,-0.5392895,0.0391708
30,1.0376616,1.048046,"('intolerant', 'tolerant')",1.5132273,1.5584476,1.2754445,1.3032467,-0.0278022
14,0.99207705,0.91331565,"('antisocial', 'social')",-0.40827438,-0.22894114,0.2919014,0.3421873,-0.0502859
73,0.9813018,0.8802901,"('helpless', 'self-reliant')",-2.6318,-2.7040312,-0.8252491,-0.9118706,0.0866215
38,-0.9498076,-1.0273751,"('untruthful', 'truthful')",-0.37721485,-0.40359107,-0.6635112,-0.7154831,0.0519719
16,-0.89983034,-0.813161,"('unpopular', 'popular')",0.345546,0.28496027,-0.2771422,-0.2641004,-0.0130418
66,-0.87218964,-1.0843756,"('inactive', 'active')",0.5530075,0.41546664,-0.1595911,-0.3344545,0.1748634
65,0.8454928,0.9555846,"('insecure', 'secure')",-0.2862552,-0.012366541,0.2796188,0.471609,-0.1919902
44,0.79353225,0.72501254,"('prejudiced', 'unprejudiced')",-1.4057444,-1.2928811,-0.3061061,-0.2839343,-0.0221718
54,-0.78462476,-0.68526536,"('incapable', 'capable')",1.1103456,1.0733777,0.1628604,0.1940562,-0.0311958
71,-0.73079515,-0.739796,"('diffident', 'self-confident')",0.562625,0.4435097,-0.0840851,-0.1481431,0.064058
10,-0.7231674,-0.6595067,"('unsympathetic', 'sympathetic')",-0.4367532,-0.3022667,-0.5799603,-0.4808867,-0.0990736
28,-0.70096725,-0.55982757,"('disloyal', 'loyal')",1.006326,0.91326165,0.1526794,0.176717,-0.0240376
69,0.6631746,0.65871423,"('lazy', 'industrious')",-0.49655235,-0.5984694,0.0833111,0.0301224,0.0531887
35,-0.6549172,-0.6938964,"('corrupt', 'incorrupt')",-0.10753026,-0.34167707,-0.3812237,-0.5177867,0.136563
67,0.64464575,0.45657605,"('doubtful', 'determined')",-0.4083437,-0.5414693,0.118151,-0.0424466,0.1605976
42,0.5995018,0.66264194,"('unreliable', 'reliable')",-2.9343534,-2.7174401,-1.1674258,-1.0273991,-0.1400267
17,-0.5903746,-0.38466573,"('nasty', 'nice')",-0.61779577,-0.4130273,-0.6040852,-0.3988465,-0.2052387
21,0.5682641,0.68466336,"('immoral', 'moral')",-0.3981618,-0.22092716,0.0850512,0.2318681,-0.1468169
85,-0.56713843,-0.4029598,"('insignificant', 'prestigious')",0.9818699,0.8768973,0.2073657,0.2369687,-0.029603
4,-0.5517028,-0.61144376,"('disliked', 'liked')",-5.8530025,-5.727785,-3.2023528,-3.1696143,-0.0327385
25,-0.5332118,-0.17704783,"('egoistic', 'altruistic')",1.6197633,1.5848608,0.5432757,0.7039065,-0.1606308
64,0.5305449,0.6013101,"('shy', 'confident')",-6.2781944,-5.8561506,-2.8738248,-2.6274202,-0.2464046
24,-0.48252457,-0.37745157,"('dishonest', 'honest')",0.57423794,0.6088497,0.0458567,0.1156991,-0.0698424
50,0.48174918,0.5184958,"('clumsy', 'skillful')",0.19156668,0.07389675,0.3366579,0.2961963,0.0404616
82,-0.46653008,-0.36765155,"('poor', 'rich')",5.756662,5.750133,2.6450658,2.6912408,-0.046175
87,0.45930836,0.29519495,"('unsuccessful', 'successful')",0.86008734,0.8607956,0.6596978,0.5779953,0.0817025
52,-0.445332,-0.38110107,"('irrational', 'rational')",0.481626,0.2590967,0.018147,-0.0610022,0.0791492
57,-0.4390967,-0.4118455,"('unimaginative', 'imaginative')",-2.176832,-1.9851507,-1.3079643,-1.1984981,-0.1094662
78,-0.4315394,-0.47320208,"('nonresilient', 'resilient')",0.10819128,-0.009900717,-0.1616741,-0.2415514,0.0798773
20,0.41654122,0.4612294,"('rough', 'thoughtful')",1.1874996,1.2234696,0.8020204,0.8423495,-0.0403291
62,0.41407627,0.5088495,"('incompetent', 'brilliant')",-0.047407605,0.0947594,0.1833343,0.3018045,-0.1184702
2,0.40732092,0.54671085,"('unlikable', 'likable')",0.7463856,0.882215,0.5768533,0.7144629,-0.1376096
22,0.3864969,0.4919266,"('untrustworthy', 'trustworthy')",-0.8742463,-0.6396275,-0.2438747,-0.0738505,-0.1700242
3,-0.38049296,-0.30787057,"('repellent', 'pleasant')",-0.0051485198,0.16912152,-0.1928207,-0.0693745,-0.1234462
12,-0.3795895,-0.40255246,"('unsupportive', 'supportive')",-1.6816727,-1.71561,-1.0306311,-1.0590812,0.0284501
37,0.36210588,0.22602549,"('fake', 'genuine')",0.2801342,0.16658776,0.32112,0.1963066,0.1248134
68,-0.3574192,-0.46946877,"('dependent', 'independent')",-0.38538256,-0.3508772,-0.3714009,-0.410173,0.0387721
55,0.32895106,0.4167129,"('incompetent', 'clever')",0.19305903,0.40211335,0.261005,0.4094131,-0.1484081
74,0.32018518,0.10850778,"('undedicated', 'dedicated')",0.44760475,0.46194878,0.383895,0.2852283,0.0986667
0,-0.31213042,-0.40688217,"('unsociable', 'sociable')",-0.17181924,-0.1334076,-0.2419748,-0.2701449,0.0281701
27,-0.31165957,-0.32815066,"('hardhearted', 'softhearted')",1.3984419,1.2169832,0.5433912,0.4444163,0.0989749
75,-0.31037942,-0.39451474,"('meek', 'impulsive')",-0.48023003,-0.5822095,-0.3953047,-0.4883621,0.0930574
45,-0.30350927,-0.37318468,"('incompetent', 'competent')",-0.43674198,-0.34159404,-0.3701256,-0.3573894,-0.0127362
59,-0.2898392,-0.14658035,"('foolish', 'wise')",0.42623278,0.3582542,0.0681968,0.1058369,-0.0376401
84,0.2850475,0.30461055,"('inferior', 'superior')",1.0582243,1.0679799,0.6716359,0.6862953,-0.0146594
77,0.24630377,0.26801684,"('unmotivated', 'motivated')",-1.3754458,-1.3226441,-0.564571,-0.5273136,-0.0372574
40,0.24516337,0.3798434,"('stingy', 'generous')",-1.1403296,-1.2398027,-0.4475831,-0.4299797,-0.0176034
48,0.23616458,0.38990402,"('unintelligent', 'intelligent')",0.9464109,1.0319126,0.5912877,0.7109083,-0.1196206
18,-0.23559023,0.048162706,"('disagreeable', 'welcoming')",-0.2845882,-0.25953344,-0.2600892,-0.1056854,-0.1544038
61,-0.23419592,-0.14326286,"('illogical', 'logical')",0.25204235,0.32911265,0.0089232,0.0929249,-0.0840017
34,-0.21969596,-0.3072228,"('mean', 'honorable')",5.9423766,5.7685013,2.8613403,2.7306392,0.1307011
56,0.2190549,0.07380117,"('impractical', 'practical')",-0.021323161,0.08305486,0.0988659,0.078428,0.0204379
41,0.20914906,0.35287595,"('unforgiving', 'forgiving')",0.16620976,0.2170032,0.1876794,0.2849396,-0.0972602
58,-0.20533663,-0.28464445,"('undiscriminating', 'discriminating')",0.16411088,0.22365826,-0.0206129,-0.0304931,0.0098802
15,-0.19472872,-0.13924403,"('boring', 'funny')",0.5552944,0.7256426,0.1802828,0.2931993,-0.1129165
63,-0.18879563,-0.23344558,"('unperceptive', 'insightful')",0.8396897,0.8850057,0.325447,0.3257801,-0.0003331
83,0.18692748,-0.01820407,"('powerless', 'powerful')",-0.72250456,-0.77976656,-0.2677885,-0.3989853,0.1311968
11,0.17765728,0.1492463,"('unhelpful', 'helpful')",1.4225966,1.5569602,0.8001269,0.8531033,-0.0529764
51,-0.15616216,-0.17658687,"('uneducated', 'educated')",0.8114575,0.905453,0.3276477,0.3644331,-0.0367854
88,0.13708286,0.2489891,"('low', 'eminent')",0.52335584,0.646162,0.3302194,0.4475755,-0.1173561
7,-0.12770435,0.10104859,"('insensitive', 'sensitive')",0.37947902,0.52670085,0.1258873,0.3138747,-0.1879874
49,-0.11296047,0.022512339,"('unable', 'able')",-0.056548685,0.044429187,-0.0847546,0.0334708,-0.1182254
72,-0.105382934,-0.13229595,"('unambitious', 'ambitious')",-0.8911879,-0.98441434,-0.4982854,-0.5583552,0.0600698
47,0.07700499,0.19298686,"('stupid', 'smart')",5.1818557,5.1099615,2.6294303,2.6514742,-0.0220439
26,0.07229277,0.2832572,"('hardhearted', 'benevolent')",2.0220745,2.1589615,1.0471836,1.2211094,-0.1739258
43,-0.055423796,-0.18831271,"('irresponsible', 'responsible')",0.43686756,0.5160989,0.1907219,0.1638931,0.0268288
70,0.04552411,0.060278073,"('lethargic', 'energetic')",0.374099,0.554314,0.2098116,0.307296,-0.0974844
46,0.032446265,0.029441766,"('uncompetitive', 'competitive')",-0.6026244,-0.41922793,-0.2850891,-0.1948931,-0.090196
23,-0.017802944,0.07133001,"('insincere', 'sincere')",5.2298565,5.216711,2.6060269,2.6440206,-0.0379937
