,discover_male,discover_female,tuple,financial_male,financial_female,services_male,services_female,average_male,average_female,male-female
55,3.448491,2.6972423,"('incompetent', 'clever')",-0.9742239,-0.8162943,0.77179736,1.071071,1.0820216,0.9840063,0.0980153
85,-3.2187505,-2.3891199,"('insignificant', 'prestigious')",1.9610369,1.7798513,-0.29494488,-0.39011386,-0.5175528,-0.3331275,-0.1844253
31,-3.1422973,-2.396923,"('evil', 'good')",-0.74217397,-0.6596729,-2.906166,-2.941057,-2.2635457,-1.9992177,-0.264328
35,-3.0502517,-2.307465,"('corrupt', 'incorrupt')",-0.49104378,-0.5295131,-1.5649459,-1.6471289,-1.7020804,-1.4947023,-0.2073781
52,-2.8083565,-2.4070778,"('irrational', 'rational')",0.31409958,0.122430585,-0.5419133,-0.70513886,-1.0120567,-0.9965954,-0.0154613
60,2.6328986,1.8985955,"('inefficient', 'efficient')",-0.15599257,-0.10822937,2.278143,2.3285828,1.5850163,1.372983,0.2120333
62,2.6221275,2.036764,"('incompetent', 'brilliant')",0.14920214,0.3101959,1.092225,1.2413212,1.2878515,1.1960937,0.0917578
56,2.5021296,1.9404837,"('impractical', 'practical')",0.6096147,0.6743834,0.46105242,0.3980103,1.1909322,1.0042925,0.1866397
46,2.320675,1.5264572,"('uncompetitive', 'competitive')",0.18038502,0.16401862,1.8303974,2.1274786,1.443819,1.2726515,0.1711675
80,2.258064,1.875915,"('dominated', 'dominating')",-0.23713158,-0.054236513,1.2020934,1.4652365,1.0743419,1.0956384,-0.0212965
81,2.1650827,1.661161,"('submissive', 'aggressive')",0.85584193,0.9880266,1.0790952,1.1982838,1.3666733,1.2824904,0.0841829
21,2.107346,1.52677,"('immoral', 'moral')",0.46238837,0.67459166,0.7768207,0.91060233,1.1155183,1.0373213,0.078197
59,-2.093322,-1.587963,"('foolish', 'wise')",0.7348521,0.7326301,-0.7620655,-0.7997912,-0.7068451,-0.5517081,-0.155137
17,-2.0678995,-1.9531752,"('nasty', 'nice')",-0.14827666,-0.023658216,-0.39313617,-0.24599336,-0.8697708,-0.7409422,-0.1288286
16,-2.0522218,-1.9702674,"('unpopular', 'popular')",-0.5061147,-0.6351068,0.32231146,0.34914583,-0.7453417,-0.7520761,0.0067344
11,1.9884405,1.5735626,"('unhelpful', 'helpful')",-0.13970232,-0.15838853,2.7144425,2.698967,1.5210603,1.3713803,0.14968
4,-1.9479327,-1.5309734,"('disliked', 'liked')",0.14724693,0.1800834,-3.5633938,-3.2781363,-1.7880265,-1.5430088,-0.2450177
36,-1.8913463,-1.3093132,"('hostile', 'amicable')",0.33020765,0.19033271,-1.2512298,-1.455919,-0.9374561,-0.8582998,-0.0791563
70,1.8798703,1.5141102,"('lethargic', 'energetic')",-0.41791862,-0.36345956,1.7800711,1.9256663,1.0806743,1.0254389,0.0552354
76,1.8583406,1.1446779,"('anxious', 'daring')",-0.04411925,-0.11585311,1.1549739,1.2564174,0.9897318,0.7617474,0.2279844
10,1.8465977,1.299056,"('unsympathetic', 'sympathetic')",-1.440645,-1.3654509,0.27331364,0.3918765,0.2264221,0.1084939,0.1179282
7,1.7424417,1.4574661,"('insensitive', 'sensitive')",0.40074983,0.54059064,0.47797588,0.51739264,0.8737225,0.8384832,0.0352393
14,1.6772339,1.4805273,"('antisocial', 'social')",1.2883269,1.4754425,0.3602618,0.5425719,1.1086076,1.1661806,-0.057573
19,-1.6418442,-1.3734535,"('inhospitable', 'hospitable')",-0.4344583,-0.43514594,-0.40411067,-0.41082644,-0.8268044,-0.7398086,-0.0869958
69,-1.6106384,-0.7452503,"('lazy', 'industrious')",1.3843106,1.5454127,0.09408164,0.17709436,-0.044082,0.3257522,-0.3698342
12,1.5288777,1.4902807,"('unsupportive', 'supportive')",0.9887334,1.0565016,0.0033854116,0.22394545,0.8403321,0.923576,-0.0832439
48,1.5272977,1.0317036,"('unintelligent', 'intelligent')",-0.88281506,-0.8597744,-0.47182313,-0.49137396,0.0575532,-0.1064816,0.1640348
65,1.5111288,0.9992232,"('insecure', 'secure')",-0.10609553,-0.1250971,0.3863353,0.41537914,0.5971228,0.4298351,0.1672877
86,1.5044659,1.0780487,"('uninfluential', 'influential')",-0.9137902,-0.79889894,-0.02509145,0.16483352,0.1885281,0.1479944,0.0405337
43,1.4782333,1.0040334,"('irresponsible', 'responsible')",0.38367975,0.32630754,0.5345808,0.4588481,0.7988313,0.5963964,0.2024349
5,-1.4777794,-0.9815029,"('distant', 'outgoing')",0.9577292,0.9001216,-0.9098987,-1.057357,-0.4766496,-0.3795794,-0.0970702
6,-1.458982,-0.940523,"('distant', 'open')",0.18666062,0.16618156,-1.2614107,-1.421035,-0.8445773,-0.7317921,-0.1127852
63,1.4002961,0.9167572,"('unperceptive', 'insightful')",0.93550724,0.9480119,2.1230128,2.175372,1.486272,1.3467137,0.1395583
29,-1.3752141,-1.1087779,"('unfair', 'fair')",-0.42422244,-0.29860264,-1.3888696,-1.2721771,-1.0627688,-0.8931859,-0.1695829
79,-1.3025553,-1.0689526,"('wavering', 'unwavering')",0.061388247,-0.008752409,0.12907214,-0.052804507,-0.3706983,-0.3768365,0.0061382
72,1.2303413,1.0119573,"('unambitious', 'ambitious')",0.11417282,0.092340596,-1.4923415,-1.6879969,-0.0492758,-0.1945663,0.1452905
13,1.2153986,0.666911,"('impolite', 'polite')",0.06467503,0.12461449,0.8500338,0.9068468,0.7100358,0.5661241,0.1439117
39,1.1960799,1.255818,"('exploitative', 'cooperative')",1.224914,1.3627455,0.29992384,0.3642771,0.9069726,0.9942803,-0.0873077
51,1.1646338,0.7677075,"('uneducated', 'educated')",-0.37435055,-0.31362134,0.77513313,0.93575203,0.5218054,0.4632794,0.058526
50,-1.1365192,-1.0582062,"('clumsy', 'skillful')",0.8115522,0.72874874,1.4392297,1.3977823,0.3714209,0.3561083,0.0153126
23,1.1140144,0.534961,"('insincere', 'sincere')",0.5755413,0.5199263,4.320584,3.9288929,2.0033798,1.66126,0.3421198
30,1.075627,0.79292685,"('intolerant', 'tolerant')",0.20269237,0.20239316,0.6723233,0.68673795,0.6502142,0.560686,0.0895282
75,-1.049266,-0.7453085,"('meek', 'impulsive')",-0.3264567,-0.24672866,-1.0439609,-1.12436,-0.8065612,-0.7054657,-0.1010955
1,-1.0311524,-0.9030396,"('unfriendly', 'friendly')",1.1848698,0.9732826,-0.5024115,-0.71823275,-0.1162314,-0.2159966,0.0997652
32,1.0086757,0.9351018,"('unkind', 'kind')",0.20408498,0.24317351,0.74037427,0.73698336,0.651045,0.6384195,0.0126255
24,0.9816424,0.8559021,"('dishonest', 'honest')",-0.17948912,-0.1337415,-0.7665901,-0.93732435,0.0118544,-0.0717213,0.0835757
82,0.9657775,0.43617633,"('poor', 'rich')",-0.4776245,-0.63393974,3.1541069,2.8872976,1.2140866,0.8965114,0.3175752
22,0.8634345,0.5376058,"('untrustworthy', 'trustworthy')",-0.56538534,-0.42729378,-0.31040326,-0.07056565,-0.004118,0.0132488,-0.0173668
77,0.85093194,0.56501,"('unmotivated', 'motivated')",0.70283073,0.89920425,0.7262971,0.87652016,0.7600199,0.7802448,-0.0202249
0,0.8074414,0.42802352,"('unsociable', 'sociable')",-0.3540816,-0.26846784,0.3694089,0.5291356,0.2742562,0.2295638,0.0446924
40,-0.77753556,-0.73059356,"('stingy', 'generous')",1.376446,1.45581,-0.9553627,-0.91677153,-0.1188174,-0.0638517,-0.0549657
87,0.721713,0.6224426,"('unsuccessful', 'successful')",1.187917,1.0641437,1.0693009,1.0218545,0.992977,0.9028136,0.0901634
8,-0.7194733,-0.37707773,"('unaffectionate', 'affectionate')",0.118782476,-0.08008143,-0.89158654,-1.0898249,-0.4974258,-0.5156614,0.0182356
37,0.7073744,0.5541807,"('fake', 'genuine')",-0.938061,-0.9978732,0.45187038,0.2908665,0.0737279,-0.050942,0.1246699
38,0.68397343,0.54848003,"('untruthful', 'truthful')",0.550356,0.5604042,-0.045680776,-0.12378234,0.3962162,0.3283673,0.0678489
34,0.68066424,0.5412721,"('mean', 'honorable')",0.7661099,0.78353035,2.9879704,2.7044318,1.4782481,1.343078,0.1351701
74,0.66813946,0.5112838,"('undedicated', 'dedicated')",0.40136772,0.35717958,0.13495183,0.17250577,0.4014863,0.3469897,0.0544966
57,0.6610262,0.24190827,"('unimaginative', 'imaginative')",-0.13262492,-0.12241512,-1.6731063,-1.4876442,-0.3815684,-0.4560504,0.074482
18,-0.65825135,-0.59376144,"('disagreeable', 'welcoming')",0.011991084,0.19504318,0.101130195,0.23245674,-0.18171,-0.0554205,-0.1262895
25,-0.6152857,-0.22526048,"('egoistic', 'altruistic')",0.49907923,0.4457028,1.3522116,1.384215,0.4120017,0.5348858,-0.1228841
