,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
10,-2.0615,-2.2745092,"('unsympathetic', 'sympathetic')",-2.0615001,-2.2745092,0.2130091
77,-2.0077286,-1.8882576,"('unmotivated', 'motivated')",-2.0077286,-1.8882576,-0.119471
86,-1.8369775,-1.8565764,"('uninfluential', 'influential')",-1.8369775,-1.8565764,0.0195989
57,-1.8116809,-2.3153303,"('unimaginative', 'imaginative')",-1.8116809,-2.3153303,0.5036494
46,-1.7175844,-2.1304722,"('uncompetitive', 'competitive')",-1.7175844,-2.1304722,0.4128878
28,-1.5802894,-1.7431744,"('disloyal', 'loyal')",-1.5802894,-1.7431744,0.162885
40,-1.4705129,-0.7478248,"('stingy', 'generous')",-1.4705129,-0.7478248,-0.7226881
15,1.4411539,1.3532114,"('boring', 'funny')",1.4411539,1.3532114,0.0879425
3,-1.4176984,-1.533305,"('repellent', 'pleasant')",-1.4176984,-1.533305,0.1156066
0,-1.4054959,-1.8131585,"('unsociable', 'sociable')",-1.4054959,-1.8131585,0.4076626
34,1.3908515,1.6587901,"('mean', 'honorable')",1.3908515,1.6587901,-0.2679386
70,-1.3428128,-1.6419437,"('lethargic', 'energetic')",-1.3428128,-1.6419437,0.2991309
45,-1.3342801,-1.7540567,"('incompetent', 'competent')",-1.3342801,-1.7540567,0.4197766
64,-1.3265456,-1.929753,"('shy', 'confident')",-1.3265456,-1.9297529,0.6032073
55,-1.3218073,-1.6582893,"('incompetent', 'clever')",-1.3218073,-1.6582893,0.336482
81,-1.2868661,-1.8763566,"('submissive', 'aggressive')",-1.2868661,-1.8763566,0.5894905
22,-1.2865034,-1.4871929,"('untrustworthy', 'trustworthy')",-1.2865034,-1.4871929,0.2006895
69,1.2422428,1.4281622,"('lazy', 'industrious')",1.2422428,1.4281622,-0.1859194
13,-1.2239906,-1.3072774,"('impolite', 'polite')",-1.2239906,-1.3072774,0.0832868
21,-1.1780261,-1.6418794,"('immoral', 'moral')",-1.1780261,-1.6418794,0.4638533
12,-1.1433864,-1.3591504,"('unsupportive', 'supportive')",-1.1433864,-1.3591504,0.215764
48,-1.1071216,-1.1010625,"('unintelligent', 'intelligent')",-1.1071216,-1.1010625,-0.0060591
68,-1.0735027,-0.8820789,"('dependent', 'independent')",-1.0735027,-0.8820789,-0.1914238
36,1.0693294,1.1967112,"('hostile', 'amicable')",1.0693294,1.1967112,-0.1273818
78,-1.032543,-0.87161905,"('nonresilient', 'resilient')",-1.0325429,-0.871619,-0.1609239
85,1.0295179,1.0859834,"('insignificant', 'prestigious')",1.0295179,1.0859834,-0.0564655
26,1.0126268,0.9107933,"('hardhearted', 'benevolent')",1.0126268,0.9107933,0.1018335
35,0.9793068,1.2917268,"('corrupt', 'incorrupt')",0.9793068,1.2917268,-0.31242
51,-0.971827,-0.9405855,"('uneducated', 'educated')",-0.971827,-0.9405855,-0.0312415
2,0.8590452,0.17475657,"('unlikable', 'likable')",0.8590452,0.1747566,0.6842886
47,0.818557,0.63524544,"('stupid', 'smart')",0.818557,0.6352454,0.1833116
