,national_male,national_female,tuple,city_male,city_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.9994178,-3.2563667,"('hostile', 'amicable')",-3.2826297,-3.1758823,-1.1094306,-1.7996577,-2.4638259,-2.743969,0.2801431
39,2.049709,1.9888239,"('exploitative', 'cooperative')",1.6044065,1.4894706,0.24921161,0.29373044,1.3011091,1.2573416,0.0437675
56,1.9776279,2.2492814,"('impractical', 'practical')",2.599698,2.6352742,0.27237448,0.80689687,1.6165668,1.8971508,-0.280584
12,1.868297,2.251517,"('unsupportive', 'supportive')",0.88684314,1.0806025,-1.944493,-1.5661128,0.2702157,0.5886689,-0.3184532
14,1.8139794,2.228142,"('antisocial', 'social')",2.8758893,2.9715295,0.10933448,0.55575544,1.5997345,1.9184758,-0.3187413
62,1.7796032,2.120135,"('incompetent', 'brilliant')",2.268816,2.2529304,0.98356736,1.6426111,1.6773287,2.0052255,-0.3278968
35,-1.5637214,-1.892099,"('corrupt', 'incorrupt')",-2.7545507,-2.7639437,-1.058814,-1.7902371,-1.7923621,-2.1487598,0.3563977
52,-1.505958,-1.8594472,"('irrational', 'rational')",-1.4159431,-1.3959131,-0.58785117,-1.0929178,-1.1699174,-1.449426,0.2795086
21,1.4761804,1.8459759,"('immoral', 'moral')",1.9288238,1.9938757,0.103538595,0.74286944,1.1695143,1.5275737,-0.3580594
80,1.4659837,1.6713735,"('dominated', 'dominating')",1.4114603,1.2677721,-0.19432484,0.24486732,0.8943731,1.0613376,-0.1669645
63,1.4191266,1.5782235,"('unperceptive', 'insightful')",1.3878328,1.5201535,0.5909138,1.0870894,1.1326244,1.3951554,-0.262531
42,1.3892549,1.5201111,"('unreliable', 'reliable')",1.0085227,1.1516975,-2.7494025,-2.2787063,-0.1172083,0.1310341,-0.2482424
32,1.3842008,1.7557362,"('unkind', 'kind')",1.0172665,1.0810966,1.1995157,1.5888838,1.2003277,1.475239,-0.2749113
31,-1.3808981,-1.6506095,"('evil', 'good')",-1.9890704,-1.8559867,-1.4354645,-2.0179496,-1.6018109,-1.8415152,0.2397043
75,-1.3360718,-1.7182477,"('meek', 'impulsive')",-1.221395,-1.2728639,-1.0648012,-1.2583443,-1.2074227,-1.4164853,0.2090626
67,1.3180605,1.5464997,"('doubtful', 'determined')",1.52281,1.726703,-0.39523464,-0.23051694,0.8152119,1.0142287,-0.1990168
8,-1.2667934,-1.5814553,"('unaffectionate', 'affectionate')",-1.4968415,-1.5775204,0.44951865,0.3038044,-0.7713721,-0.9517237,0.1803516
38,1.2585788,1.1985687,"('untruthful', 'truthful')",0.36519042,0.43318522,-0.06180182,0.0043626167,0.5206558,0.5453722,-0.0247164
13,1.2581674,1.568831,"('impolite', 'polite')",1.724866,1.7657404,0.02241908,0.6120049,1.0018175,1.3155254,-0.3137079
24,1.2390386,1.3086623,"('dishonest', 'honest')",0.8169023,0.7360282,0.98323774,1.1745322,1.0130595,1.0730743,-0.0600148
60,1.237716,1.7180915,"('inefficient', 'efficient')",2.4963794,2.4891996,0.6912091,1.4257531,1.4751015,1.8776814,-0.4025799
43,1.2185127,1.3444184,"('irresponsible', 'responsible')",1.7585046,1.7288088,0.816209,1.3412352,1.2644088,1.4714874,-0.2070786
50,-1.2176001,-1.2528704,"('clumsy', 'skillful')",-0.9218892,-0.8033199,-0.03473473,-0.05334178,-0.7247413,-0.7031774,-0.0215639
11,1.2008839,1.5514572,"('unhelpful', 'helpful')",1.8624079,1.9433211,2.2208884,2.792933,1.7613934,2.0959037,-0.3345103
19,-1.1993046,-1.3107074,"('inhospitable', 'hospitable')",-1.1357857,-1.0269319,-0.8892897,-1.0283675,-1.0747933,-1.1220023,0.047209
53,-1.1805359,-1.1491156,"('uncreative', 'creative')",-0.4177847,-0.29156077,0.44445238,0.37064165,-0.3846227,-0.3566782,-0.0279445
28,1.1628299,1.2643733,"('disloyal', 'loyal')",0.093851596,0.059734143,1.2957163,1.3143389,0.8507992,0.8794821,-0.0286829
23,1.1442175,1.4696008,"('insincere', 'sincere')",1.3844064,1.4561751,7.0326877,7.2535257,3.1871039,3.3931007,-0.2059968
65,1.0927671,1.3898299,"('insecure', 'secure')",1.1945748,1.0292782,0.5289429,1.1362022,0.9387616,1.1851034,-0.2463418
26,1.0589883,0.9292384,"('hardhearted', 'benevolent')",-0.11045653,-0.2513651,0.9794086,0.67996776,0.6426468,0.4526137,0.1900331
48,1.0581485,1.1882943,"('unintelligent', 'intelligent')",0.5956317,0.5078591,1.2572374,1.5944405,0.9703392,1.0968646,-0.1265254
25,-1.0557746,-1.0055575,"('egoistic', 'altruistic')",-1.2151018,-1.1929331,0.9129209,0.6141006,-0.4526518,-0.52813,0.0754782
70,1.0222142,1.3112006,"('lethargic', 'energetic')",1.4187132,1.30717,0.6106223,1.1949506,1.0171833,1.271107,-0.2539237
7,1.018697,1.364352,"('insensitive', 'sensitive')",1.2861619,1.4451493,0.80972224,1.295181,1.0381937,1.3682273,-0.3300336
6,-0.9622786,-1.128671,"('distant', 'open')",-2.349566,-2.10109,-0.6672363,-1.1575536,-1.3263603,-1.4624383,0.136078
