,celgene_male,celgene_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.4811456,-2.8359478,"('unsympathetic', 'sympathetic')",-0.6809425,-0.5205073,-1.5810441,-1.6782275,0.0971834
86,-2.341082,-2.373605,"('uninfluential', 'influential')",-0.4934413,-0.3435021,-1.4172617,-1.3585535,-0.0587082
57,-2.0345347,-2.0580122,"('unimaginative', 'imaginative')",-3.2649522,-2.9631422,-2.6497436,-2.5105772,-0.1391664
45,-2.0257483,-2.211844,"('incompetent', 'competent')",-0.20557031,-0.071348414,-1.1156592,-1.1415962,0.025937
69,1.9448432,2.6685326,"('lazy', 'industrious')",-0.42593855,-0.37851244,0.7594523,1.1450101,-0.3855578
13,-1.8032628,-1.896821,"('impolite', 'polite')",-1.1519034,-1.011498,-1.4775832,-1.4541595,-0.0234237
28,-1.7697115,-1.9098713,"('disloyal', 'loyal')",0.85552925,0.63015383,-0.4570911,-0.6398587,0.1827676
0,-1.63284,-1.8654957,"('unsociable', 'sociable')",-0.22805916,-0.20199385,-0.9304496,-1.0337448,0.1032952
11,-1.59734,-1.9242859,"('unhelpful', 'helpful')",1.1319185,1.1086519,-0.2327107,-0.407817,0.1751063
35,1.5665239,1.984273,"('corrupt', 'incorrupt')",-0.29439408,-0.46518865,0.6360649,0.7595422,-0.1234773
23,-1.5224981,-2.0815575,"('insincere', 'sincere')",5.3926873,4.890181,1.9350946,1.4043118,0.5307828
84,1.4066573,1.2838898,"('inferior', 'superior')",1.3102905,0.9659149,1.3584739,1.1249024,0.2335715
43,-1.3820388,-1.8420733,"('irresponsible', 'responsible')",0.270107,0.24250782,-0.5559659,-0.7997828,0.2438169
30,-1.3613466,-1.5433856,"('intolerant', 'tolerant')",0.5409963,0.590554,-0.4101751,-0.4764158,0.0662407
25,1.3069156,1.1357085,"('egoistic', 'altruistic')",1.736928,1.3124826,1.5219219,1.2240956,0.2978263
85,1.2959201,1.7839912,"('insignificant', 'prestigious')",0.10073037,-0.117965326,0.6983253,0.8330129,-0.1346876
60,-1.2787399,-2.2883525,"('inefficient', 'efficient')",-0.019358288,-0.11641941,-0.6490491,-1.2023859,0.5533368
73,1.2723728,1.3867075,"('helpless', 'self-reliant')",-2.9378264,-3.0399015,-0.8327268,-0.826597,-0.0061298
55,-1.2718624,-1.97947,"('incompetent', 'clever')",0.4995386,0.6937222,-0.3861619,-0.6428739,0.256712
81,-1.2599221,-1.6468934,"('submissive', 'aggressive')",-0.593311,-0.30450678,-0.9266165,-0.9757001,0.0490836
46,-1.2531531,-1.6232752,"('uncompetitive', 'competitive')",-0.8811322,-0.75289965,-1.0671426,-1.1880875,0.1209449
