,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.6147342,-2.8425007,"('unsympathetic', 'sympathetic')",-3.5517507,-3.5830138,0.4263029,0.8529786,-1.913394,-1.8575118,-0.0558822
43,-2.0219584,-2.1449559,"('irresponsible', 'responsible')",-3.2092,-3.328072,0.6004636,0.958206,-1.5435648,-1.5049407,-0.0386241
45,-1.8747678,-2.2577617,"('incompetent', 'competent')",-2.5928137,-2.9787827,0.05858057,0.30106404,-1.4696671,-1.6451602,0.1754931
0,-1.8587902,-1.727953,"('unsociable', 'sociable')",-2.2300444,-2.141412,-0.23898736,0.2839362,-1.4426074,-1.1951429,-0.2474645
70,-1.7318724,-1.7714458,"('lethargic', 'energetic')",-2.080021,-2.334876,0.79297143,0.84128517,-1.0063074,-1.0883455,0.0820381
69,1.6704682,1.995011,"('lazy', 'industrious')",2.842641,3.1952465,-1.423676,-1.4620169,1.0298111,1.2427468,-0.2129357
3,-1.6695846,-1.673972,"('repellent', 'pleasant')",-1.6426398,-1.705513,1.1471133,1.0845019,-0.7217037,-0.7649945,0.0432908
33,1.631446,1.5909196,"('wrong', 'right')",1.9719368,2.0124161,-1.1241002,-1.4653955,0.8264275,0.7126468,0.1137807
63,-1.5880618,-1.8248577,"('unperceptive', 'insightful')",-2.0197582,-2.2298598,0.9644929,0.7828486,-0.8811091,-1.090623,0.2095139
13,-1.5483091,-1.2642171,"('impolite', 'polite')",-2.6608462,-2.3678546,-0.45193985,0.1355086,-1.5536984,-1.1655211,-0.3881773
46,-1.5136747,-1.4472001,"('uncompetitive', 'competitive')",-2.695698,-2.8370523,0.025898864,0.3076439,-1.3944912,-1.3255361,-0.0689551
57,-1.5109011,-1.735188,"('unimaginative', 'imaginative')",-2.069868,-2.4041114,-2.7200766,-2.5663738,-2.1002819,-2.2352244,0.1349425
35,1.4461071,1.7567924,"('corrupt', 'incorrupt')",2.908057,3.2686024,-1.1957436,-1.4193696,1.0528069,1.2020084,-0.1492015
30,-1.4332035,-1.3671905,"('intolerant', 'tolerant')",-1.850467,-1.835471,0.55833894,0.86039037,-0.9084438,-0.780757,-0.1276868
14,-1.3525063,-1.2422377,"('antisocial', 'social')",-1.618982,-1.5551848,-0.106159985,0.44785917,-1.0258827,-0.7831877,-0.242695
42,-1.2791772,-1.0764495,"('unreliable', 'reliable')",-0.4564759,-0.4107939,-2.5723758,-2.7278414,-1.4360097,-1.4050283,-0.0309814
41,-1.2316447,-1.52384,"('unforgiving', 'forgiving')",-2.0331407,-2.2899885,-0.3071362,0.038006753,-1.1906405,-1.2586072,0.0679667
82,-1.2133248,-1.510064,"('poor', 'rich')",-1.7346182,-1.7588634,6.7842097,6.3239813,1.2787556,1.0183512,0.2604044
56,-1.2018526,-1.4535532,"('impractical', 'practical')",-1.270935,-1.4718177,-0.20730504,0.21891789,-0.8933642,-0.902151,0.0087868
86,-1.1975626,-1.265996,"('uninfluential', 'influential')",-2.1495786,-2.3155816,-0.27213368,-0.40713486,-1.206425,-1.3295708,0.1231458
23,-1.1924376,-1.55073,"('insincere', 'sincere')",-2.0801928,-2.2481787,6.301999,6.229748,1.0097895,0.8102797,0.1995098
25,1.1822014,1.2523134,"('egoistic', 'altruistic')",0.98785174,1.0103054,0.43799752,0.1304496,0.8693502,0.7976894,0.0716608
76,-1.1608121,-1.2588094,"('anxious', 'daring')",-1.4654613,-1.5630472,0.5012576,0.5441657,-0.7083386,-0.7592303,0.0508917
22,-1.118072,-1.2730552,"('untrustworthy', 'trustworthy')",-1.719345,-1.911637,-0.5406082,-0.83497465,-1.1260084,-1.3398889,0.2138805
55,-1.080116,-1.1967976,"('incompetent', 'clever')",-2.3081279,-2.413975,0.83801466,1.0226127,-0.8500764,-0.86272,0.0126436
51,-1.0621437,-0.9280799,"('uneducated', 'educated')",-1.197851,-1.1140858,0.6523145,0.7628794,-0.5358934,-0.4264288,-0.1094646
21,-1.0285145,-0.74570054,"('immoral', 'moral')",-2.2228165,-2.0380614,-0.1150768,0.06344305,-1.1221359,-0.906773,-0.2153629
77,-0.9902278,-0.95105374,"('unmotivated', 'motivated')",-0.22765584,-0.45214722,-0.6228797,-0.630787,-0.6135878,-0.677996,0.0644082
7,-0.9767033,-1.0463215,"('insensitive', 'sensitive')",-1.906278,-1.8625579,0.82342577,1.0064702,-0.6865185,-0.6341364,-0.0523821
60,-0.9277896,-1.2388687,"('inefficient', 'efficient')",-1.9765403,-2.2547588,0.5622624,0.9028873,-0.7806892,-0.8635801,0.0828909
71,0.92544556,0.97627056,"('diffident', 'self-confident')",0.8497219,0.84638256,0.232035,0.07639919,0.6690675,0.6330174,0.0360501
85,0.8808117,0.97074574,"('insignificant', 'prestigious')",1.4345496,1.5738693,-1.3049916,-1.3519529,0.3367899,0.397554,-0.0607641
47,-0.8533889,-1.0769604,"('stupid', 'smart')",-1.10893,-1.4182799,5.278605,5.376397,1.1054287,0.9603856,0.1450431
65,-0.85282713,-0.73711693,"('insecure', 'secure')",-1.8480046,-1.7516309,0.77996564,0.80791855,-0.6402887,-0.5602764,-0.0800123
75,0.8475035,0.7346003,"('meek', 'impulsive')",1.5806215,1.4158952,-0.9857553,-1.0897417,0.4807899,0.3535846,0.1272053
78,-0.8052007,-1.0733348,"('nonresilient', 'resilient')",-0.0857848,-0.31073418,0.82827514,0.7267406,-0.0209034,-0.2191095,0.1982061
27,-0.80274624,-0.7948241,"('hardhearted', 'softhearted')",-1.4850357,-1.2987385,0.7819123,0.7793633,-0.5019565,-0.4380664,-0.0638901
11,-0.7831605,-0.83166945,"('unhelpful', 'helpful')",-2.2242289,-2.3225055,2.3395705,2.6493657,-0.2226063,-0.1682697,-0.0543366
20,-0.7557176,-0.8813294,"('rough', 'thoughtful')",-0.6173538,-0.6186764,1.2125765,1.2237737,-0.0534983,-0.0920774,0.0385791
15,0.72330225,0.75536525,"('boring', 'funny')",-0.026499946,0.01698025,-0.3165422,-0.6073086,0.1267534,0.0550123,0.0717411
32,-0.7218146,-0.672074,"('unkind', 'kind')",-1.858512,-1.8095236,0.96012026,1.1828353,-0.5400688,-0.4329208,-0.107148
12,-0.6876641,-0.6696175,"('unsupportive', 'supportive')",-1.5798469,-1.6565859,-1.9298503,-1.8344166,-1.3991203,-1.3868732,-0.0122471
62,-0.66155136,-0.8098132,"('incompetent', 'brilliant')",-1.540979,-1.8316605,0.7913491,0.79528594,-0.4703937,-0.6153959,0.1450022
59,0.6514343,0.68699324,"('foolish', 'wise')",1.1857556,1.0689204,-0.24715948,-0.82526386,0.5300101,0.3102166,0.2197935
