,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
55,5.599516,5.216237,"('incompetent', 'clever')",1.3837934,1.3060527,-1.463929,-1.7535204,1.8397934,1.5895898,0.2502036
31,-5.2288547,-4.886945,"('evil', 'good')",-1.5875027,-1.5473527,0.51414406,0.72366154,-2.1007379,-1.9035454,-0.1971925
10,5.0696,4.72961,"('unsympathetic', 'sympathetic')",1.0086187,0.9816532,-1.7468889,-1.9563359,1.4437768,1.2516424,0.1921344
46,4.99732,4.4665403,"('uncompetitive', 'competitive')",1.169603,0.96829945,-0.95303077,-1.1334789,1.7379642,1.433787,0.3041772
7,4.873107,4.6977563,"('insensitive', 'sensitive')",1.502672,1.5311521,-0.049981855,-0.23036541,2.108599,1.9995144,0.1090846
60,4.790849,4.6296306,"('inefficient', 'efficient')",1.3589288,1.4175175,-0.7789833,-0.8801166,1.7902649,1.7223439,0.067921
35,-4.4682484,-4.0423846,"('corrupt', 'incorrupt')",-0.61200047,-0.6206284,0.8945165,1.2433578,-1.3952441,-1.1398851,-0.255359
62,4.4659843,4.0261364,"('incompetent', 'brilliant')",1.4091347,1.2529616,-0.17149992,-0.36641735,1.9012065,1.6375602,0.2636463
21,4.4262443,4.354957,"('immoral', 'moral')",0.55530155,0.7664359,-1.4466709,-1.4375532,1.1782916,1.2279467,-0.0496551
80,4.4237213,3.9747562,"('dominated', 'dominating')",1.6734459,1.1659265,-0.9122737,-1.2883701,1.7282977,1.2841042,0.4441935
36,-4.414615,-4.0015564,"('hostile', 'amicable')",-1.6692785,-1.4701768,1.4987941,1.9398139,-1.5283666,-1.1773064,-0.3510602
85,-4.3399744,-3.9853663,"('insignificant', 'prestigious')",-1.4250747,-1.0733594,1.031999,1.4925016,-1.5776833,-1.1887414,-0.3889419
79,-4.1597304,-3.9631095,"('wavering', 'unwavering')",-0.36295527,-0.41744456,1.0433223,1.2425847,-1.1597877,-1.0459898,-0.1137979
6,-3.803477,-3.607587,"('distant', 'open')",-0.55099267,-0.34575456,1.0163952,1.2533251,-1.1126916,-0.9000055,-0.2126861
14,3.6212718,3.3654592,"('antisocial', 'social')",1.0551496,0.84335256,-1.1848972,-1.4643027,1.1638413,0.9148364,0.2490049
5,-3.5528634,-3.4339793,"('distant', 'outgoing')",-0.5653417,-0.45171496,0.948436,1.1880567,-1.0565897,-0.8992125,-0.1573772
11,3.4710226,3.0355804,"('unhelpful', 'helpful')",1.2765801,1.2093631,0.42849496,0.347328,1.7253658,1.5307573,0.1946085
23,3.4504974,3.1888742,"('insincere', 'sincere')",1.5464851,1.6267923,2.8292253,2.5758843,2.608736,2.4638503,0.1448857
56,3.4348934,3.2184858,"('impractical', 'practical')",1.3979248,1.1329315,-0.021452814,-0.21203063,1.6037884,1.3797957,0.2239927
81,3.4261484,3.0888562,"('submissive', 'aggressive')",0.62045133,0.5760863,-1.8642846,-2.0245237,0.7274384,0.5468063,0.1806321
43,3.415069,3.009219,"('irresponsible', 'responsible')",1.0607321,0.87255555,-1.0721036,-1.2732327,1.134566,0.8695139,0.2650521
