,verisign_male,verisign_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.1734955,-2.2898662,"('uninfluential', 'influential')",-0.23698917,-0.3153482,-1.2052424,-1.3026072,0.0973648
10,-2.058134,-1.8787127,"('unsympathetic', 'sympathetic')",-0.35739347,-0.3343109,-1.2077638,-1.1065118,-0.101252
0,-1.7423822,-1.8171722,"('unsociable', 'sociable')",-0.099718034,-0.29949942,-0.9210501,-1.0583358,0.1372857
9,-1.676239,-1.9558475,"('unaffectionate', 'caring')",0.99732554,1.2439424,-0.3394567,-0.3559526,0.0164959
12,-1.6450974,-1.6097081,"('unsupportive', 'supportive')",-1.516324,-1.4596798,-1.5807106,-1.534694,-0.0460166
43,-1.5820488,-1.5866997,"('irresponsible', 'responsible')",0.46767762,0.45216665,-0.5571856,-0.5672665,0.0100809
8,-1.5256735,-1.8320105,"('unaffectionate', 'affectionate')",0.38521114,0.5909249,-0.5702312,-0.6205428,0.0503116
72,-1.4831116,-1.6102675,"('unambitious', 'ambitious')",-0.7756074,-0.62475383,-1.1293595,-1.1175107,-0.0118488
73,1.4647787,1.2853959,"('helpless', 'self-reliant')",-2.6697173,-2.7453625,-0.6024693,-0.7299833,0.127514
69,1.3909727,1.3006874,"('lazy', 'industrious')",-0.4911486,-0.5918054,0.4499121,0.354441,0.0954711
51,-1.3080435,-1.1424034,"('uneducated', 'educated')",0.6282695,0.6101582,-0.339887,-0.2661226,-0.0737644
55,-1.3046058,-1.1208183,"('incompetent', 'clever')",0.47106338,0.20279366,-0.4167712,-0.4590123,0.0422411
45,-1.2986103,-1.1936392,"('incompetent', 'competent')",-0.13014343,-0.26902682,-0.7143769,-0.731333,0.0169561
63,-1.2788041,-1.1295639,"('unperceptive', 'insightful')",1.1941402,1.339983,-0.0423319,0.1052095,-0.1475414
1,-1.2777733,-1.7219781,"('unfriendly', 'friendly')",1.6190106,1.5276781,0.1706187,-0.09715,0.2677687
28,-1.1435452,-1.2176609,"('disloyal', 'loyal')",0.84325933,0.9270673,-0.1501429,-0.1452968,-0.0048461
35,1.120378,1.0928475,"('corrupt', 'incorrupt')",-0.451882,-0.5105249,0.334248,0.2911613,0.0430867
24,-1.0336514,-1.2217066,"('dishonest', 'honest')",0.6100105,0.7699902,-0.2118204,-0.2258582,0.0140378
7,-1.0333061,-0.9493115,"('insensitive', 'sensitive')",0.6759281,0.5441067,-0.178689,-0.2026024,0.0239134
57,-1.0216482,-1.1680075,"('unimaginative', 'imaginative')",-2.2624025,-2.5817153,-1.6420254,-1.8748615,0.2328361
84,1.0040507,0.9488675,"('inferior', 'superior')",1.245351,1.0837002,1.1247008,1.0162839,0.1084169
13,-0.99687445,-1.043521,"('impolite', 'polite')",-0.082165636,-0.13359433,-0.53952,-0.5885577,0.0490377
66,-0.97508097,-0.70623976,"('inactive', 'active')",0.118518844,0.24631292,-0.4282811,-0.2299634,-0.1983177
62,-0.9685722,-0.5318769,"('incompetent', 'brilliant')",0.54028445,0.8737084,-0.2141439,0.1709158,-0.3850597
41,-0.93119687,-1.259562,"('unforgiving', 'forgiving')",0.023325078,-0.12540886,-0.4539359,-0.6924855,0.2385496
46,-0.9250303,-0.80460787,"('uncompetitive', 'competitive')",-0.61128074,-0.6976231,-0.7681555,-0.7511154,-0.0170401
54,-0.92424214,-0.7761861,"('incapable', 'capable')",0.8677732,1.182063,-0.0282345,0.2029384,-0.2311729
3,-0.90323776,-0.9111395,"('repellent', 'pleasant')",0.14197089,-0.030819755,-0.3806334,-0.4709796,0.0903462
70,-0.89102614,-0.631611,"('lethargic', 'energetic')",0.5716255,0.75899553,-0.1597003,0.0636923,-0.2233926
18,-0.88920355,-1.2621955,"('disagreeable', 'welcoming')",-0.30394328,-0.32566443,-0.5965734,-0.7939299,0.1973565
