,hasbro_male,hasbro_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.7376461,-1.7095174,"('unimaginative', 'imaginative')",-2.5914552,-2.6626916,-2.1645508,-2.1861045,0.0215537
22,-1.4399773,-1.3358583,"('untrustworthy', 'trustworthy')",-0.96427244,-0.9666184,-1.2021248,-1.1512384,-0.0508864
10,-1.3110174,-1.2727094,"('unsympathetic', 'sympathetic')",-0.14521244,-0.16044821,-0.7281149,-0.7165788,-0.0115361
72,-1.132611,-1.016592,"('unambitious', 'ambitious')",-0.79661494,-0.558575,-0.964613,-0.7875835,-0.1770295
0,-1.1217004,-1.1573793,"('unsociable', 'sociable')",-0.26868206,-0.41812623,-0.6951913,-0.7877527,0.0925614
20,-1.0323286,-0.9548241,"('rough', 'thoughtful')",1.22351,1.2483265,0.0955907,0.1467512,-0.0511605
18,-1.0125405,-0.8039444,"('disagreeable', 'welcoming')",-0.7234442,-0.64963925,-0.8679923,-0.7267919,-0.1412004
58,-0.98441577,-1.0394661,"('undiscriminating', 'discriminating')",-0.019442216,-0.17221315,-0.501929,-0.6058397,0.1039107
51,-0.97939825,-0.9740361,"('uneducated', 'educated')",0.9384974,0.71841943,-0.0204504,-0.1278083,0.1073579
53,-0.93904793,-1.1747674,"('uncreative', 'creative')",0.77148896,0.7235017,-0.0837795,-0.2256328,0.1418533
86,-0.86068434,-1.0731876,"('uninfluential', 'influential')",0.014944352,-0.08633588,-0.42287,-0.5797617,0.1568917
74,-0.8343066,-0.81779456,"('undedicated', 'dedicated')",-0.16585451,-0.13728,-0.5000806,-0.4775373,-0.0225433
70,-0.82598037,-0.73100364,"('lethargic', 'energetic')",0.7328172,0.73193145,-0.0465816,0.0004639,-0.0470455
63,-0.82455474,-1.0189811,"('unperceptive', 'insightful')",1.5208776,1.1680613,0.3481614,0.0745401,0.2736213
38,-0.80047417,-0.930505,"('untruthful', 'truthful')",0.17034037,0.10929001,-0.3150669,-0.4106075,0.0955406
13,-0.77775556,-0.60061777,"('impolite', 'polite')",-0.17765987,-0.34282005,-0.4777077,-0.4717189,-0.0059888
14,-0.7643342,-0.33044934,"('antisocial', 'social')",-0.85463536,-0.728454,-0.8094848,-0.5294517,-0.2800331
68,-0.74460894,-0.80191314,"('dependent', 'independent')",-0.10848224,-0.4221635,-0.4265456,-0.6120383,0.1854927
45,-0.7428846,-0.7273334,"('incompetent', 'competent')",-0.19595847,-0.285843,-0.4694215,-0.5065882,0.0371667
59,0.7122467,0.45453227,"('foolish', 'wise')",0.41815478,0.45753598,0.5652007,0.4560341,0.1091666
42,-0.69205195,-0.6610957,"('unreliable', 'reliable')",-3.1743,-3.16479,-1.9331759,-1.9129428,-0.0202331
28,-0.68792045,-0.73705965,"('disloyal', 'loyal')",0.77670413,0.7829088,0.0443918,0.0229246,0.0214672
80,-0.6393371,-0.6157612,"('dominated', 'dominating')",-1.2244585,-1.3710047,-0.9318978,-0.9933829,0.0614851
71,0.6267527,0.5524348,"('diffident', 'self-confident')",0.5236471,0.6219271,0.5751999,0.587181,-0.0119811
7,-0.60848475,-0.6322056,"('insensitive', 'sensitive')",0.71484226,0.53620565,0.0531788,-0.048,0.1011788
55,-0.59228754,-0.55512583,"('incompetent', 'clever')",0.24197835,0.14146216,-0.1751546,-0.2068318,0.0316772
41,-0.57983565,-0.3870466,"('unforgiving', 'forgiving')",-0.047004938,-0.11029902,-0.3134203,-0.2486728,-0.0647475
85,0.5495687,0.36806425,"('insignificant', 'prestigious')",0.24911784,0.28446975,0.3993433,0.326267,0.0730763
87,0.5487334,0.41636115,"('unsuccessful', 'successful')",0.83400935,0.7130869,0.6913714,0.564724,0.1266474
73,0.5268865,0.57335067,"('helpless', 'self-reliant')",-3.165291,-3.2085557,-1.3192023,-1.3176025,-0.0015998
43,-0.5226585,-0.527575,"('irresponsible', 'responsible')",0.5300234,0.61875147,0.0036824,0.0455882,-0.0419058
75,0.51629853,0.632029,"('meek', 'impulsive')",-0.26127613,-0.25654298,0.1275112,0.187743,-0.0602318
88,-0.4810586,-0.39218107,"('low', 'eminent')",0.23725145,0.3850599,-0.1219036,-0.0035606,-0.118343
69,0.47932327,0.50241196,"('lazy', 'industrious')",-0.81158197,-0.6788418,-0.1661294,-0.0882149,-0.0779145
77,-0.4621058,-0.8004897,"('unmotivated', 'motivated')",-0.74202764,-0.936957,-0.6020668,-0.8687234,0.2666566
27,0.46065333,0.2845319,"('hardhearted', 'softhearted')",1.1436363,1.0018129,0.8021448,0.6431724,0.1589724
65,-0.45697573,-0.30036616,"('insecure', 'secure')",-0.31052256,-0.43938148,-0.3837491,-0.3698738,-0.0138753
67,0.45405567,0.67819047,"('doubtful', 'determined')",-0.59975004,-0.2830263,-0.0728472,0.1975821,-0.2704293
9,0.44788527,0.030828238,"('unaffectionate', 'caring')",1.2000923,1.2027754,0.8239888,0.6168018,0.207187
35,0.4429719,0.52466655,"('corrupt', 'incorrupt')",-0.37758285,-0.25724247,0.0326945,0.133712,-0.1010175
23,-0.42821676,-0.62441504,"('insincere', 'sincere')",6.075033,5.9572845,2.8234081,2.6664348,0.1569733
25,0.4039756,0.12834397,"('egoistic', 'altruistic')",1.149314,1.2199253,0.7766448,0.6741346,0.1025102
34,0.39619285,0.33422,"('mean', 'honorable')",6.233432,6.227862,3.3148124,3.2810409,0.0337715
39,0.39078584,0.49022967,"('exploitative', 'cooperative')",-0.15985,0.002692394,0.1154679,0.246461,-0.1309931
83,0.3804894,0.26894018,"('powerless', 'powerful')",-0.7884925,-0.7890242,-0.2040015,-0.260042,0.0560405
3,-0.37771472,-0.42491806,"('repellent', 'pleasant')",0.24770074,0.17199509,-0.065007,-0.1264615,0.0614545
52,0.36519623,0.110891506,"('irrational', 'rational')",-0.12569389,-0.07489166,0.1197512,0.0179999,0.1017513
46,-0.3560423,-0.5131317,"('uncompetitive', 'competitive')",-0.2601069,-0.548221,-0.3080746,-0.5306764,0.2226018
15,0.35083848,0.24669784,"('boring', 'funny')",0.48975348,0.48157978,0.420296,0.3641388,0.0561572
