,moodys_male,moodys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
44,-1.4674059,-1.7015778,"('prejudiced', 'unprejudiced')",-1.8621957,-1.932585,-1.6648009,-1.8170815,0.1522806
88,-1.3193039,-1.2225183,"('low', 'eminent')",-0.55970097,-0.48982075,-0.9395024,-0.8561695,-0.0833329
14,1.2430241,1.1594789,"('antisocial', 'social')",0.12495282,0.013909695,0.6839885,0.5866943,0.0972942
26,1.2242379,1.9881666,"('hardhearted', 'benevolent')",1.5504503,2.041045,1.3873441,2.0146058,-0.6272617
39,1.1862375,0.93385357,"('exploitative', 'cooperative')",0.23080774,0.22380452,0.7085226,0.5788291,0.1296935
75,-1.1354254,-0.6704,"('meek', 'impulsive')",-0.8439831,-0.5525862,-0.9897043,-0.6114931,-0.3782112
16,-1.047495,-1.1811446,"('unpopular', 'popular')",0.21037354,0.11229952,-0.4185607,-0.5344225,0.1158618
56,1.0114597,1.1627921,"('impractical', 'practical')",-0.4186156,-0.32233182,0.2964221,0.4202302,-0.1238081
36,-0.94628286,-0.2344355,"('hostile', 'amicable')",-0.7571841,-0.48813516,-0.8517334,-0.3612853,-0.4904481
41,0.9369295,1.359013,"('unforgiving', 'forgiving')",0.0046573635,0.10902089,0.4707935,0.7340169,-0.2632234
2,0.93386334,1.166253,"('unlikable', 'likable')",0.25855678,0.42980295,0.5962101,0.798028,-0.2018179
82,-0.91059077,-1.0117154,"('poor', 'rich')",6.4425607,6.3466425,2.765985,2.6674635,0.0985215
53,-0.89445144,-0.41140455,"('uncreative', 'creative')",0.18871784,0.37539285,-0.3528668,-0.0180058,-0.334861
31,-0.8934177,-0.3793017,"('evil', 'good')",-0.9894235,-0.72661793,-0.9414206,-0.5529598,-0.3884608
12,0.864111,1.0091684,"('unsupportive', 'supportive')",-1.7478445,-1.8073628,-0.4418667,-0.3990972,-0.0427695
6,-0.8285209,-0.013561763,"('distant', 'open')",-0.6128208,-0.42198408,-0.7206708,-0.2177729,-0.5028979
15,-0.80186653,-0.3466728,"('boring', 'funny')",-0.16784027,-0.028380418,-0.4848534,-0.1875266,-0.2973268
29,-0.78521967,-0.7045395,"('unfair', 'fair')",-0.33061308,-0.24534574,-0.5579164,-0.4749426,-0.0829738
40,0.7706257,0.81887573,"('stingy', 'generous')",-1.1394682,-1.3666477,-0.1844212,-0.273886,0.0894648
57,-0.7541235,-0.43885106,"('unimaginative', 'imaginative')",-3.0483449,-2.8991416,-1.9012341,-1.6689963,-0.2322378
74,0.7398676,0.87856495,"('undedicated', 'dedicated')",-0.18835548,-0.07008092,0.2757561,0.404242,-0.1284859
45,-0.7094216,-0.7109537,"('incompetent', 'competent')",0.08686041,0.11578946,-0.3112806,-0.2975821,-0.0136985
79,-0.7070908,-0.10277122,"('wavering', 'unwavering')",-0.63504905,-0.37138566,-0.6710699,-0.2370784,-0.4339915
77,0.6912407,0.44341427,"('unmotivated', 'motivated')",-0.988747,-1.2475827,-0.1487531,-0.4020842,0.2533311
30,0.66673076,0.7329351,"('intolerant', 'tolerant')",0.7920686,0.7933357,0.7293997,0.7631354,-0.0337357
4,-0.6631388,-0.35198316,"('disliked', 'liked')",-6.9389334,-6.7193804,-3.8010361,-3.5356817,-0.2653544
80,0.65210503,0.29384083,"('dominated', 'dominating')",-0.2149338,-0.45669913,0.2185856,-0.0814292,0.3000148
63,0.6367674,0.75458014,"('unperceptive', 'insightful')",0.9166939,0.94982743,0.7767307,0.8522038,-0.0754731
78,0.6282114,0.25644428,"('nonresilient', 'resilient')",0.410407,0.058599986,0.5193092,0.1575221,0.3617871
