,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
40,0.46075428,0.648264,"('stingy', 'generous')",-2.370512,-2.2783034,-0.9548789,-0.8150197,-0.1398592
35,-0.45493746,-0.23304434,"('corrupt', 'incorrupt')",-1.4195246,-1.4882618,-0.937231,-0.8606531,-0.0765779
70,0.43001926,0.61842006,"('lethargic', 'energetic')",0.89004105,1.0890512,0.6600301,0.8537357,-0.1937056
55,-0.42172453,-0.49436697,"('incompetent', 'clever')",0.4240744,0.53550744,0.0011749,0.0205702,-0.0193953
88,0.41392022,0.33763945,"('low', 'eminent')",0.020331688,0.0073705614,0.217126,0.172505,0.044621
1,0.40641397,0.6505623,"('unfriendly', 'friendly')",1.2269534,1.2278126,0.8166837,0.9391875,-0.1225038
21,0.39663973,0.19242685,"('immoral', 'moral')",0.04686752,0.043735985,0.2217536,0.1180814,0.1036722
52,0.38597408,0.3891619,"('irrational', 'rational')",-0.51038533,-0.70038134,-0.0622056,-0.1556097,0.0934041
50,0.37796837,0.3924247,"('clumsy', 'skillful')",0.4156574,0.3233931,0.3968129,0.3579089,0.038904
84,0.37330598,0.22731128,"('inferior', 'superior')",-0.17539257,-0.17828664,0.0989567,0.0245123,0.0744444
4,0.37223235,0.47982833,"('disliked', 'liked')",-7.3022637,-7.0338855,-3.4650156,-3.2770286,-0.187987
60,0.3531107,0.18474409,"('inefficient', 'efficient')",1.415111,1.4718677,0.8841108,0.8283059,0.0558049
64,-0.32701084,-0.3267468,"('shy', 'confident')",-6.5546856,-6.1820846,-3.4408481,-3.2544158,-0.1864323
49,0.31582594,0.06798195,"('unable', 'able')",-0.3125382,-0.41940853,0.0016439,-0.1757133,0.1773572
74,0.29932383,0.40218377,"('undedicated', 'dedicated')",-0.03717678,0.18082443,0.1310735,0.2915041,-0.1604306
77,0.28783944,0.21023321,"('unmotivated', 'motivated')",-0.74844784,-0.69711024,-0.2303042,-0.2434385,0.0131343
20,0.27533367,0.16468619,"('rough', 'thoughtful')",0.14537458,0.17758963,0.2103541,0.1711379,0.0392162
47,0.2472235,0.21108228,"('stupid', 'smart')",6.002931,5.736418,3.1250772,2.9737501,0.1513271
81,-0.24711694,-0.6217016,"('submissive', 'aggressive')",0.17908922,0.16827445,-0.0340139,-0.2267136,0.1926997
46,-0.22677153,-0.19274709,"('uncompetitive', 'competitive')",-0.24752998,-0.058230266,-0.2371508,-0.1254887,-0.1116621
0,-0.19948815,-0.3886425,"('unsociable', 'sociable')",0.77007407,0.8077774,0.285293,0.2095675,0.0757255
78,0.1919815,0.07123103,"('nonresilient', 'resilient')",0.6124104,0.5319876,0.402196,0.3016093,0.1005867
76,0.17890114,0.16304252,"('anxious', 'daring')",0.40045398,0.54984146,0.2896776,0.356442,-0.0667644
28,-0.1750863,-0.24585895,"('disloyal', 'loyal')",1.3864367,1.2996933,0.6056752,0.5269172,0.078758
48,-0.14661294,-0.2700887,"('unintelligent', 'intelligent')",0.53923804,0.53745604,0.1963125,0.1336837,0.0626288
8,0.12334384,0.35173166,"('unaffectionate', 'affectionate')",0.3008732,0.3291381,0.2121085,0.3404349,-0.1283264
58,0.11576175,0.46541,"('undiscriminating', 'discriminating')",-0.19488087,0.19848768,-0.0395596,0.3319488,-0.3715084
10,-0.10957969,-0.07116267,"('unsympathetic', 'sympathetic')",0.8356872,0.9500747,0.3630538,0.439456,-0.0764022
13,0.086496264,-0.10725432,"('impolite', 'polite')",0.8750444,0.883716,0.4807703,0.3882308,0.0925395
53,-0.08112072,-0.15107617,"('uncreative', 'creative')",0.37694904,0.41767356,0.1479142,0.1332987,0.0146155
25,-0.08007216,-0.039318774,"('egoistic', 'altruistic')",0.20220558,0.04634647,0.0610667,0.0035138,0.0575529
75,-0.07388596,0.0690704,"('meek', 'impulsive')",-1.224761,-1.1496646,-0.6493235,-0.5402972,-0.1090263
41,-0.06653595,0.09539686,"('unforgiving', 'forgiving')",0.42487663,0.58070296,0.1791703,0.3380499,-0.1588796
19,0.062871136,0.15825428,"('inhospitable', 'hospitable')",-0.26767546,-0.33292812,-0.1024022,-0.0873369,-0.0150653
65,0.009744588,-0.12764236,"('insecure', 'secure')",0.19033131,0.24229437,0.1000379,0.057326,0.0427119
3,0.003947135,0.014456827,"('repellent', 'pleasant')",0.22612879,0.17413959,0.115038,0.0942982,0.0207398
