,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.500346,-2.4781377,"('uninfluential', 'influential')",-0.5989008,-0.8109744,-1.5496234,-1.644556,0.0949326
10,-2.2540216,-2.1297927,"('unsympathetic', 'sympathetic')",-0.16214418,-0.6012349,-1.2080829,-1.3655138,0.1574309
0,-2.1771472,-2.1131961,"('unsociable', 'sociable')",-0.071942344,-0.44755828,-1.1245447,-1.2803771,0.1558324
53,-1.8876452,-1.8401401,"('uncreative', 'creative')",0.19329004,0.31399775,-0.8471776,-0.7630712,-0.0841064
57,-1.8031251,-1.8237059,"('unimaginative', 'imaginative')",-2.7248127,-2.87425,-2.2639689,-2.348978,0.0850091
55,-1.7859299,-1.7607243,"('incompetent', 'clever')",0.31530243,-0.07994451,-0.7353138,-0.9203344,0.1850206
13,-1.7505746,-1.517473,"('impolite', 'polite')",-0.6057599,-1.0602121,-1.1781672,-1.2888426,0.1106754
45,-1.740827,-1.7450964,"('incompetent', 'competent')",0.08407784,-0.26626337,-0.8283746,-1.0056798,0.1773052
43,-1.5960637,-1.2917764,"('irresponsible', 'responsible')",0.47679183,0.12894374,-0.5596359,-0.5814164,0.0217805
22,-1.4756444,-1.1926188,"('untrustworthy', 'trustworthy')",-1.1294818,-1.4211637,-1.3025631,-1.3068912,0.0043281
75,1.4627684,1.446812,"('meek', 'impulsive')",-0.44753066,-0.18674007,0.5076189,0.630036,-0.1224171
1,-1.4561026,-1.5316057,"('unfriendly', 'friendly')",1.1616993,1.343058,-0.1472017,-0.0942739,-0.0529278
56,-1.3653129,-1.2015533,"('impractical', 'practical')",-0.08988606,-0.62123734,-0.7275995,-0.9113953,0.1837958
32,-1.3620298,-1.1963992,"('unkind', 'kind')",0.49980238,0.3807948,-0.4311137,-0.4078022,-0.0233115
77,-1.3618033,-1.0564326,"('unmotivated', 'motivated')",-0.979187,-1.1096761,-1.1704952,-1.0830543,-0.0874409
12,-1.3246664,-1.2479517,"('unsupportive', 'supportive')",-1.936069,-1.9330704,-1.6303678,-1.5905111,-0.0398567
21,-1.3154219,-1.144933,"('immoral', 'moral')",-0.4918611,-0.80339545,-0.9036415,-0.9741642,0.0705227
46,-1.3087887,-1.4369781,"('uncompetitive', 'competitive')",-0.62393457,-1.0534277,-0.9663616,-1.2452029,0.2788413
9,-1.2621814,-1.2375033,"('unaffectionate', 'caring')",0.876455,0.9388199,-0.1928632,-0.1493417,-0.0435215
28,-1.2510259,-1.2553828,"('disloyal', 'loyal')",0.94000685,0.63734376,-0.1555095,-0.3090195,0.15351
19,-1.250698,-1.0513667,"('inhospitable', 'hospitable')",-0.9143231,-0.4760628,-1.0825105,-0.7637147,-0.3187958
69,1.2124364,1.3201333,"('lazy', 'industrious')",-0.72603434,-0.22760962,0.243201,0.5462618,-0.3030608
23,-1.181063,-1.3046604,"('insincere', 'sincere')",5.5080256,4.673999,2.1634812,1.6846693,0.4788119
65,-1.1790376,-1.178411,"('insecure', 'secure')",-0.17402384,-0.65113366,-0.6765307,-0.9147723,0.2382416
73,1.1786325,1.2869164,"('helpless', 'self-reliant')",-3.1184926,-2.6371908,-0.9699301,-0.6751372,-0.2947929
51,-1.0509382,-1.2557467,"('uneducated', 'educated')",0.428055,0.12369236,-0.3114416,-0.5660272,0.2545856
63,-1.0451071,-1.0713438,"('unperceptive', 'insightful')",0.62720287,0.4014936,-0.2089521,-0.3349251,0.125973
11,-1.0406448,-1.0889374,"('unhelpful', 'helpful')",1.7761587,1.4058691,0.367757,0.1584659,0.2092911
60,-0.98479766,-0.9096364,"('inefficient', 'efficient')",0.4042425,-0.0913164,-0.2902776,-0.5004764,0.2101988
7,-0.9820494,-1.0583845,"('insensitive', 'sensitive')",0.5842459,0.12407322,-0.1989017,-0.4671557,0.268254
3,-0.9625847,-0.6766944,"('repellent', 'pleasant')",0.6819481,0.59189785,-0.1403183,-0.0423983,-0.09792
70,-0.92422825,-1.0251073,"('lethargic', 'energetic')",0.22667721,-0.07156178,-0.3487755,-0.5483345,0.199559
14,-0.8796804,-0.9342849,"('antisocial', 'social')",0.17700517,-0.3410452,-0.3513376,-0.637665,0.2863274
61,-0.866858,-0.70684093,"('illogical', 'logical')",0.5643687,0.43819255,-0.1512446,-0.1343242,-0.0169204
30,-0.85799104,-0.82075304,"('intolerant', 'tolerant')",1.028319,0.7947424,0.085164,-0.0130053,0.0981693
24,-0.8462906,-0.7240101,"('dishonest', 'honest')",0.67190546,0.535607,-0.0871926,-0.0942016,0.007009
47,-0.8355153,-0.56935304,"('stupid', 'smart')",4.961513,4.558542,2.0629988,1.9945943,0.0684045
78,-0.82972944,-0.85902095,"('nonresilient', 'resilient')",-0.04782052,-0.21910734,-0.438775,-0.5390642,0.1002892
38,-0.8234895,-0.8110797,"('untruthful', 'truthful')",-0.14231336,-0.12950754,-0.4829014,-0.4702936,-0.0126078
35,0.8028878,0.87624335,"('corrupt', 'incorrupt')",-0.7309416,-0.3417196,0.0359731,0.2672619,-0.2312888
68,-0.7141777,-0.86125535,"('dependent', 'independent')",-0.858569,-0.92067116,-0.7863734,-0.8909633,0.1045899
41,-0.6660209,-0.4226871,"('unforgiving', 'forgiving')",-0.040495485,-0.2684249,-0.3532582,-0.345556,-0.0077022
71,-0.6412741,-0.6912739,"('diffident', 'self-confident')",0.29772812,0.23765074,-0.171773,-0.2268116,0.0550386
74,-0.62389535,-0.43155304,"('undedicated', 'dedicated')",-0.36298478,-0.30674356,-0.4934401,-0.3691483,-0.1242918
6,-0.6195723,-0.32236838,"('distant', 'open')",-0.7978673,-0.3366717,-0.7087198,-0.32952,-0.3791998
82,-0.6094636,-0.6657336,"('poor', 'rich')",5.633099,5.3770943,2.5118177,2.3556805,0.1561372
18,-0.60317564,-0.45384046,"('disagreeable', 'welcoming')",-0.765358,-0.5495831,-0.6842668,-0.5017118,-0.182555
44,0.6015565,0.6876399,"('prejudiced', 'unprejudiced')",-1.5232681,-1.3036375,-0.4608558,-0.3079988,-0.152857
54,-0.58310395,-0.54129434,"('incapable', 'capable')",0.6322169,0.7072981,0.0245565,0.0830019,-0.0584454
58,-0.5297139,-0.58074313,"('undiscriminating', 'discriminating')",0.23981605,0.27450573,-0.1449489,-0.1531187,0.0081698
29,-0.515758,-0.46998176,"('unfair', 'fair')",-0.46461445,-0.45131668,-0.4901862,-0.4606492,-0.029537
8,-0.50032234,-0.6722319,"('unaffectionate', 'affectionate')",0.28882307,0.6519287,-0.1057496,-0.0101516,-0.095598
2,0.45182815,0.80515295,"('unlikable', 'likable')",0.5551374,0.91113335,0.5034828,0.8581432,-0.3546604
50,0.43793187,0.32252926,"('clumsy', 'skillful')",-0.33673343,-0.12697229,0.0505992,0.0977785,-0.0471793
