,interpublic_male,interpublic_female,tuple,group_male,group_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
69,2.6558015,2.5268764,"('lazy', 'industrious')",-0.122722626,-0.6105924,1.1331828,0.6505962,-0.26511225,-0.42892244,0.8502874,0.5344895,0.3157979
10,-2.4546242,-2.3836756,"('unsympathetic', 'sympathetic')",1.218024,1.2780236,-0.9263437,-0.9044144,-0.24429245,-0.28720126,-0.6018091,-0.5743169,-0.0274922
46,-2.19824,-2.1338036,"('uncompetitive', 'competitive')",2.9881318,3.2239926,-0.6476759,-0.3724638,-0.7760105,-0.7852612,-0.1584487,-0.016884,-0.1415647
86,-2.0149593,-2.0750918,"('uninfluential', 'influential')",0.7102268,0.6383282,-1.2925757,-1.4708291,-0.251866,-0.4015825,-0.7122936,-0.8272938,0.1150002
48,-1.9926544,-2.0672216,"('unintelligent', 'intelligent')",-0.06534594,-0.10722187,-1.0467697,-1.2124552,0.3546989,0.10847451,-0.6875178,-0.819606,0.1320882
55,-1.8381321,-1.7694597,"('incompetent', 'clever')",2.7478278,3.0086284,-0.22185098,-0.08112723,-0.03239745,-0.04368797,0.1638618,0.2785884,-0.1147266
78,-1.7706761,-1.8030277,"('nonresilient', 'resilient')",0.76462924,0.73447806,0.11064215,-0.04574985,-0.23577653,-0.44592458,-0.2827953,-0.390056,0.1072607
63,-1.7558477,-1.8617505,"('unperceptive', 'insightful')",1.9811546,1.7732677,0.37226856,0.1791099,0.61141956,0.3049371,0.3022487,0.0988911,0.2033576
44,1.5833042,1.7148422,"('prejudiced', 'unprejudiced')",-0.2908099,-0.12571354,-0.5640161,-0.3189294,-1.398572,-1.3158364,-0.1675234,-0.0114093,-0.1561141
28,-1.5344533,-1.4378766,"('disloyal', 'loyal')",0.22052996,0.38662764,-0.7741691,-0.83393395,1.4919395,1.5326953,-0.1490382,-0.0881219,-0.0609163
43,-1.5067637,-1.4415075,"('irresponsible', 'responsible')",1.471253,1.6971126,-0.19941045,-0.18171702,0.72799903,0.7740491,0.1232695,0.2119843,-0.0887148
0,-1.4941189,-1.3207934,"('unsociable', 'sociable')",0.92151,1.0716364,-0.26835263,-0.31965414,-0.6779689,-0.6701957,-0.3797326,-0.3097517,-0.0699809
35,1.4377272,1.4391459,"('corrupt', 'incorrupt')",-2.4316785,-2.5627575,-0.27931678,-0.18500406,0.09352082,0.2807402,-0.2949368,-0.2569689,-0.0379679
23,-1.375198,-1.2163333,"('insincere', 'sincere')",0.6217157,0.8239928,-0.3178116,-0.25215113,6.0756545,6.105782,1.2510902,1.3653226,-0.1142324
8,-1.3730288,-1.5008632,"('unaffectionate', 'affectionate')",-0.926083,-1.1161277,-1.7980494,-2.1465628,0.9033794,0.7075534,-0.7984455,-1.0140001,0.2155546
73,1.3589245,1.2851741,"('helpless', 'self-reliant')",0.011363059,0.035726894,0.270576,0.26913497,-3.4438603,-3.5655348,-0.4507492,-0.4938747,0.0431255
15,1.3140876,1.4190617,"('boring', 'funny')",-1.2721993,-1.0179598,0.3807217,0.62786937,0.18667373,0.59934825,0.152321,0.4070799,-0.2547589
21,-1.2985489,-1.0795176,"('immoral', 'moral')",1.4654931,1.9498665,0.019470233,0.41435313,-1.2289515,-0.98540795,-0.2606343,0.0748235,-0.3354578
51,-1.2640649,-1.2689232,"('uneducated', 'educated')",1.4052192,1.3377545,0.47857085,0.51533014,0.25055972,0.18122104,0.2175712,0.1913456,0.0262256
9,-1.2582456,-1.3979253,"('unaffectionate', 'caring')",-0.6836747,-0.8810499,-1.2871354,-1.7154404,1.4592785,1.2605187,-0.4424443,-0.6834742,0.2410299
59,1.2254555,1.1353426,"('foolish', 'wise')",-1.5705382,-1.8588864,0.08153784,-0.119037084,0.41855988,0.3243967,0.0387538,-0.129546,0.1682998
3,-1.2053373,-1.1744289,"('repellent', 'pleasant')",1.3084136,1.4446888,0.65210676,0.73783845,0.26401076,0.32804486,0.2547985,0.3340358,-0.0792373
33,1.1866362,1.031361,"('wrong', 'right')",-0.11087786,-0.3807124,0.12999715,-0.08358328,-0.39904356,-0.47961053,0.201678,0.0218637,0.1798143
39,1.1684889,1.1236084,"('exploitative', 'cooperative')",2.2757528,2.0138423,1.6087377,1.4825302,0.17705469,0.25656334,1.3075086,1.219136,0.0883726
45,-1.1433847,-1.1194605,"('incompetent', 'competent')",1.3048625,1.3843513,-0.07275674,-0.14717743,-0.21000476,-0.19757727,-0.0303209,-0.019966,-0.0103549
53,-1.095847,-1.0894616,"('uncreative', 'creative')",0.037130553,-0.16521768,0.62864345,0.47274232,1.4772493,1.4520404,0.2617941,0.1675259,0.0942682
12,-1.0787756,-1.2506028,"('unsupportive', 'supportive')",1.5915587,1.259887,-0.8104111,-1.0596112,-1.8041537,-2.1145217,-0.5254455,-0.7912122,0.2657667
1,-1.0747621,-1.1961467,"('unfriendly', 'friendly')",-1.1928006,-1.5583527,-0.8470088,-1.3310066,2.075945,1.9460666,-0.2596567,-0.5348598,0.2752031
42,1.0731099,1.179291,"('unreliable', 'reliable')",1.847494,1.98522,0.013752621,0.23334391,-3.0806458,-3.194789,-0.0365723,0.0507665,-0.0873388
11,-1.0445237,-0.88291204,"('unhelpful', 'helpful')",0.61290705,0.8304193,0.29323834,0.44184315,2.0893435,2.0795243,0.4877413,0.6172187,-0.1294774
41,-1.0350373,-1.0153962,"('unforgiving', 'forgiving')",0.7535811,0.64841723,0.50711375,0.46909457,0.4821114,0.39415878,0.1769422,0.1240686,0.0528736
49,-0.97688,-0.88610774,"('unable', 'able')",-0.9887037,-0.89921755,-1.2888654,-1.0934151,-0.88645244,-0.8906959,-1.0352254,-0.9423591,-0.0928663
85,0.93261194,0.9888976,"('insignificant', 'prestigious')",-2.1643484,-2.222277,-1.1481164,-1.0121417,1.0767108,1.233771,-0.3257855,-0.2529375,-0.072848
75,0.89856166,0.96172434,"('meek', 'impulsive')",-0.7400865,-0.72498316,-0.8489759,-0.6490514,-0.058052536,-0.0438631,-0.1871383,-0.1140433,-0.073095
38,-0.8650286,-0.72208047,"('untruthful', 'truthful')",-1.0355892,-0.9660653,-0.8230734,-0.8903457,0.10983344,0.13823368,-0.6534644,-0.6100644,-0.0434
57,-0.863044,-0.9082705,"('unimaginative', 'imaginative')",0.6718483,0.74216217,-0.3728476,-0.39055824,-2.309749,-2.4018512,-0.718448,-0.7396294,0.0211814
82,-0.86251557,-0.5941732,"('poor', 'rich')",-0.029629163,0.42511857,0.8677744,1.1962341,6.6369715,6.819235,1.6531503,1.9616036,-0.3084533
77,-0.857047,-0.8098823,"('unmotivated', 'motivated')",0.82252616,0.71200156,-0.28007245,-0.2821785,-1.232126,-1.2154676,-0.3866798,-0.3988817,0.0122019
6,0.8403978,0.63227475,"('distant', 'open')",-3.0999467,-3.5646906,-1.5632645,-2.0477107,0.5281183,0.50843656,-0.8236738,-1.1179224,0.2942486
67,0.8323874,0.9213601,"('doubtful', 'determined')",1.204437,1.209747,0.70049524,0.8119951,-0.5616416,-0.4209616,0.5439196,0.6305351,-0.0866155
62,-0.8221483,-0.77600235,"('incompetent', 'brilliant')",1.4051274,1.6152391,-0.51489305,-0.48559877,0.13889176,0.1289363,0.0517444,0.1206436,-0.0688992
61,-0.8093186,-0.79259044,"('illogical', 'logical')",0.25187564,0.17306846,0.041717768,-0.033275798,0.1401828,0.10920542,-0.0938856,-0.1358981,0.0420125
