,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,3.0217204,3.2090251,"('hostile', 'amicable')",2.017643,1.7487408,2.5196817,2.478883,0.0407987
10,-2.608537,-2.6947014,"('unsympathetic', 'sympathetic')",-2.8045003,-2.6912754,-2.7065187,-2.6929884,-0.0135303
69,2.4916592,2.7122362,"('lazy', 'industrious')",1.8407872,1.8045746,2.166223,2.2584054,-0.0921824
45,-2.4482641,-2.469496,"('incompetent', 'competent')",-2.0888405,-2.0673585,-2.2685523,-2.2684274,-0.0001249
55,-2.2905483,-2.4450376,"('incompetent', 'clever')",-1.8681275,-1.8215108,-2.0793378,-2.1332741,0.0539363
28,-2.2498367,-2.1678524,"('disloyal', 'loyal')",-1.267672,-1.2983823,-1.7587543,-1.7331173,-0.025637
48,-2.1750119,-2.2818668,"('unintelligent', 'intelligent')",-1.6957872,-1.719716,-1.9353995,-2.0007913,0.0653918
24,-2.0636337,-1.774978,"('dishonest', 'honest')",-1.1855814,-1.0426904,-1.6246076,-1.4088342,-0.2157734
86,-2.0320075,-2.0819488,"('uninfluential', 'influential')",-2.2800272,-2.1794736,-2.1560173,-2.1307111,-0.0253062
37,-1.9610882,-1.9025879,"('fake', 'genuine')",-1.0197136,-1.0235617,-1.4904009,-1.4630748,-0.0273261
30,-1.8740464,-1.8861716,"('intolerant', 'tolerant')",-1.4129297,-1.3480678,-1.643488,-1.6171197,-0.0263683
70,-1.8341491,-1.9017295,"('lethargic', 'energetic')",-0.98511386,-0.9196051,-1.4096315,-1.4106673,0.0010358
66,1.7256727,1.8859886,"('inactive', 'active')",1.2955885,1.2465816,1.5106306,1.5662851,-0.0556545
23,-1.6800175,-1.753044,"('insincere', 'sincere')",0.28077134,0.03682442,-0.699623,-0.8581098,0.1584868
62,-1.6765567,-1.6613821,"('incompetent', 'brilliant')",-1.0776219,-0.85877717,-1.3770893,-1.2600796,-0.1170097
2,1.6053656,1.7482144,"('unlikable', 'likable')",0.8800067,0.8002857,1.2426862,1.27425,-0.0315638
11,-1.6003389,-1.7199051,"('unhelpful', 'helpful')",-0.59659123,-0.7805513,-1.0984651,-1.2502282,0.1517631
81,-1.5624233,-1.8144747,"('submissive', 'aggressive')",-1.4896576,-1.3737065,-1.5260406,-1.5940906,0.06805
38,-1.5295568,-1.2190027,"('untruthful', 'truthful')",-0.72347194,-0.73277605,-1.1265143,-0.9758894,-0.1506249
60,-1.5170159,-1.6861255,"('inefficient', 'efficient')",-1.6833534,-1.4291154,-1.6001847,-1.5576205,-0.0425642
6,1.5003628,1.9401363,"('distant', 'open')",1.126842,1.1251543,1.3136024,1.5326452,-0.2190428
51,-1.4954965,-1.7497367,"('uneducated', 'educated')",-1.6961042,-1.626157,-1.5958004,-1.6879468,0.0921464
43,-1.4579713,-1.4075056,"('irresponsible', 'responsible')",-1.3593688,-1.3212205,-1.4086701,-1.3643631,-0.044307
13,-1.4028995,-1.4486469,"('impolite', 'polite')",-1.3805783,-1.2236521,-1.3917389,-1.3361495,-0.0555894
5,1.4027812,1.7903273,"('distant', 'outgoing')",0.8038614,0.873128,1.1033213,1.3317276,-0.2284063
52,1.3850086,1.565573,"('irrational', 'rational')",1.211193,0.9466336,1.2981007,1.2561033,0.0419974
88,-1.3250344,-1.3130887,"('low', 'eminent')",-0.9204554,-0.9166657,-1.1227449,-1.1148772,-0.0078677
7,-1.2983568,-1.3089797,"('insensitive', 'sensitive')",-1.1445686,-1.0693225,-1.2214627,-1.189151,-0.0323117
56,-1.2759546,-1.3176923,"('impractical', 'practical')",-0.8507604,-0.6447893,-1.0633575,-0.9812407,-0.0821168
71,1.2445304,1.3624865,"('diffident', 'self-confident')",1.1683414,1.2726191,1.2064359,1.3175528,-0.1111169
15,1.2362415,1.3411902,"('boring', 'funny')",1.2316962,1.11503,1.2339689,1.2281101,0.0058588
35,1.1954908,1.565175,"('corrupt', 'incorrupt')",1.1919807,1.1065495,1.1937358,1.3358623,-0.1421265
40,1.1867046,1.3154294,"('stingy', 'generous')",0.14363678,0.25584203,0.6651707,0.7856357,-0.120465
46,-1.1665673,-1.3753066,"('uncompetitive', 'competitive')",-1.923709,-1.6276652,-1.5451381,-1.5014858,-0.0436523
