,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.6607814,-3.7134845,"('unsympathetic', 'sympathetic')",-0.6060551,-0.95060205,-2.1334183,-2.3320432,0.1986249
86,-2.6695623,-2.867674,"('uninfluential', 'influential')",-0.17884722,-0.5493528,-1.4242048,-1.7085135,0.2843087
28,-2.5747864,-2.750567,"('disloyal', 'loyal')",1.0868316,0.8886444,-0.7439774,-0.9309613,0.1869839
45,-2.3901124,-2.2576509,"('incompetent', 'competent')",-0.17491193,-0.35145772,-1.2825122,-1.3045542,0.022042
43,-2.2680147,-2.1532433,"('irresponsible', 'responsible')",0.3234331,0.28137287,-0.9722908,-0.9359352,-0.0363556
24,-2.2425447,-2.2914433,"('dishonest', 'honest')",0.3517493,0.3048987,-0.9453977,-0.9932723,0.0478746
13,-2.1137044,-1.9834615,"('impolite', 'polite')",-1.1196607,-1.0527079,-1.6166825,-1.5180848,-0.0985977
46,-2.1056607,-2.0495892,"('uncompetitive', 'competitive')",-0.9247239,-1.1128403,-1.5151923,-1.5812147,0.0660224
11,-2.086904,-1.8777066,"('unhelpful', 'helpful')",1.4553812,1.5991572,-0.3157614,-0.1392747,-0.1764867
81,-2.0651233,-1.9275928,"('submissive', 'aggressive')",-0.90947825,-0.9003378,-1.4873008,-1.4139652,-0.0733356
55,-2.032222,-2.0199912,"('incompetent', 'clever')",0.5260886,0.16639563,-0.7530667,-0.9267977,0.173731
62,-2.0000906,-1.6680713,"('incompetent', 'brilliant')",0.09905037,0.33086038,-0.9505201,-0.6686054,-0.2819147
70,-1.9905303,-1.8344208,"('lethargic', 'energetic')",-0.16470906,-0.32574424,-1.0776197,-1.0800825,0.0024628
23,-1.9414172,-1.9862089,"('insincere', 'sincere')",5.626833,5.547168,1.8427079,1.7804794,0.0622285
12,-1.893449,-1.86683,"('unsupportive', 'supportive')",-1.8531661,-1.9048768,-1.8733075,-1.8858534,0.0125459
0,-1.8458507,-2.0705054,"('unsociable', 'sociable')",-0.12790336,-0.45957023,-0.986877,-1.2650378,0.2781608
