,dynegy_male,dynegy_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.395848,-2.5316079,"('unsympathetic', 'sympathetic')",-0.67234474,-0.85871524,-1.5340964,-1.6951616,0.1610652
86,-1.9786315,-2.1881998,"('uninfluential', 'influential')",0.030023906,-0.19046184,-0.9743038,-1.1893308,0.215027
53,-1.7291087,-1.6894685,"('uncreative', 'creative')",0.66523355,0.65367883,-0.5319376,-0.5178949,-0.0140427
9,-1.5895802,-1.7009491,"('unaffectionate', 'caring')",1.3234588,1.3276625,-0.1330607,-0.1866433,0.0535826
1,-1.5205219,-1.7670947,"('unfriendly', 'friendly')",2.0224235,1.853598,0.2509508,0.0432516,0.2076992
57,-1.4977665,-1.7487946,"('unimaginative', 'imaginative')",-2.4998024,-2.7405388,-1.9987844,-2.2446666,0.2458822
24,-1.4447405,-1.4842807,"('dishonest', 'honest')",0.33462027,0.47796512,-0.5550601,-0.5031578,-0.0519023
28,-1.412705,-1.5094025,"('disloyal', 'loyal')",0.38436913,0.47325453,-0.5141679,-0.518074,0.0039061
45,-1.3655475,-1.2383962,"('incompetent', 'competent')",-0.637513,-0.62448776,-1.0015303,-0.931442,-0.0700883
72,-1.274495,-1.1608334,"('unambitious', 'ambitious')",-0.8967231,-0.7001209,-1.0856091,-0.9304771,-0.155132
8,-1.2375429,-1.3571708,"('unaffectionate', 'affectionate')",1.1276767,1.0445986,-0.0549331,-0.1562861,0.101353
23,-1.2185625,-1.0448538,"('insincere', 'sincere')",5.515893,5.6878934,2.1486652,2.3215199,-0.1728547
0,-1.1625091,-1.30636,"('unsociable', 'sociable')",-0.67424595,-0.8082094,-0.9183775,-1.0572847,0.1389072
13,-1.1312863,-1.2215389,"('impolite', 'polite')",-0.58870983,-0.5705114,-0.859998,-0.8960252,0.0360272
38,-1.1235503,-1.1127161,"('untruthful', 'truthful')",0.15740028,0.32563648,-0.483075,-0.3935398,-0.0895352
73,1.102346,1.2365885,"('helpless', 'self-reliant')",-2.8092167,-2.5792022,-0.8534354,-0.6713068,-0.1821286
36,-1.0768498,-1.1522019,"('hostile', 'amicable')",0.12729356,-0.13045815,-0.4747781,-0.64133,0.1665519
7,-1.0753082,-0.9117788,"('insensitive', 'sensitive')",0.69744253,0.833345,-0.1889328,-0.0392169,-0.1497159
48,-1.0573465,-1.1844757,"('unintelligent', 'intelligent')",0.86237365,0.70728254,-0.0974864,-0.2385966,0.1411102
69,1.0402585,0.88374466,"('lazy', 'industrious')",-0.22567447,-0.5063249,0.407292,0.1887099,0.2185821
70,-0.99116814,-0.8397583,"('lethargic', 'energetic')",0.26345116,0.4730351,-0.3638585,-0.1833616,-0.1804969
43,-0.9896995,-1.0332268,"('irresponsible', 'responsible')",0.37948406,0.32550088,-0.3051077,-0.353863,0.0487553
54,-0.9781346,-0.9966453,"('incapable', 'capable')",1.3217816,1.3793691,0.1718235,0.1913619,-0.0195384
65,-0.90154946,-0.8700327,"('insecure', 'secure')",-0.7334857,-0.6268415,-0.8175176,-0.7484371,-0.0690805
61,-0.8894382,-0.96958417,"('illogical', 'logical')",0.14849734,0.01865719,-0.3704704,-0.4754635,0.1049931
25,-0.8537431,-0.918697,"('egoistic', 'altruistic')",1.5731125,1.5918729,0.3596847,0.336588,0.0230967
44,0.85270095,0.7984925,"('prejudiced', 'unprejudiced')",-1.5529913,-1.6816281,-0.3501452,-0.4415678,0.0914226
74,-0.80775714,-0.73541784,"('undedicated', 'dedicated')",-0.18942022,-0.11183242,-0.4985887,-0.4236251,-0.0749636
79,-0.78177714,-0.81326216,"('wavering', 'unwavering')",0.17402929,-0.006798202,-0.3038739,-0.4100302,0.1061563
32,-0.7561384,-0.80718637,"('unkind', 'kind')",0.7315345,0.6741799,-0.012302,-0.0665032,0.0542012
88,-0.721503,-0.96344036,"('low', 'eminent')",0.30398887,0.31712335,-0.2087571,-0.3231585,0.1144014
41,-0.7211517,-0.7846987,"('unforgiving', 'forgiving')",0.0036189612,-0.14295101,-0.3587664,-0.4638249,0.1050585
82,-0.6858664,-0.33344924,"('poor', 'rich')",5.692865,6.193229,2.5034993,2.9298899,-0.4263906
81,-0.6847366,-0.68844324,"('submissive', 'aggressive')",-1.0594113,-0.92573035,-0.8720739,-0.8070868,-0.0649871
77,-0.6405388,-0.8109508,"('unmotivated', 'motivated')",-1.072109,-1.1550075,-0.8563239,-0.9829792,0.1266553
46,-0.6293182,-0.73865134,"('uncompetitive', 'competitive')",-0.86412716,-0.8538709,-0.7467227,-0.7962611,0.0495384
51,-0.6263758,-0.64561397,"('uneducated', 'educated')",0.6986763,0.66051275,0.0361502,0.0074494,0.0287008
