,emc_male,emc_female,tuple,corp_male,corp_female,ma_male,ma_female,average_male,average_female,male-female
1,-1.9222257,-2.2509296,"('unfriendly', 'friendly')",-0.17410111,-0.31369573,2.1474862,2.0322223,0.0170531,-0.1774677,0.1945208
8,-1.7833333,-2.1098201,"('unaffectionate', 'affectionate')",-0.26854298,-0.39796442,1.2429606,1.2561842,-0.2696386,-0.4172001,0.1475615
6,-1.6340268,-1.7745228,"('distant', 'open')",-1.0880839,-1.201759,0.30294582,0.39567533,-0.8063883,-0.8602021,0.0538138
31,-1.5690092,-1.7873347,"('evil', 'good')",-0.0061092917,-0.21625197,-0.66031986,-0.68976355,-0.7451461,-0.8977834,0.1526373
62,1.5530926,1.6071222,"('incompetent', 'brilliant')",1.0059268,1.0303786,0.59386015,0.5543158,1.0509599,1.0639389,-0.012979
39,1.3518492,1.4680846,"('exploitative', 'cooperative')",1.0846536,1.1125041,-0.07701795,-0.06966108,0.786495,0.8369759,-0.0504809
80,1.3398671,1.320781,"('dominated', 'dominating')",0.078177586,0.0038582496,-0.61640364,-0.8981625,0.2672137,0.1421589,0.1250548
60,1.2953682,1.455619,"('inefficient', 'efficient')",-0.5062064,-0.12531832,-0.059411153,0.038423188,0.2432502,0.4562413,-0.2129911
36,-1.2762599,-1.7540444,"('hostile', 'amicable')",-0.4706398,-1.0449268,0.4763266,0.40614134,-0.4235244,-0.79761,0.3740856
9,-1.2501378,-1.4466544,"('unaffectionate', 'caring')",0.04973308,0.07894802,1.9595894,1.9604266,0.2530615,0.1975734,0.0554881
56,1.1841553,1.2224576,"('impractical', 'practical')",-0.021148492,0.026034165,-0.40553418,-0.50472957,0.2524909,0.2479207,0.0045702
5,-1.1268352,-1.2444203,"('distant', 'outgoing')",-0.5277973,-0.5638388,-0.25542185,-0.20157135,-0.6366848,-0.6699435,0.0332587
19,-1.0878975,-1.2034012,"('inhospitable', 'hospitable')",-0.6344746,-0.8326841,-0.5799161,-0.56804675,-0.7674294,-0.8680441,0.1006147
73,1.0842991,1.0853547,"('helpless', 'self-reliant')",1.3196868,1.3504964,-3.4247503,-3.4788465,-0.3402548,-0.3476652,0.0074104
54,-1.0426859,-0.995193,"('incapable', 'capable')",-0.35451958,-0.104610205,1.2501144,1.3719523,-0.0490303,0.0907164,-0.1397467
18,-1.0336022,-1.1173066,"('disagreeable', 'welcoming')",-0.18731484,-0.21364155,-0.17139009,-0.12957685,-0.4641024,-0.4868416,0.0227392
87,1.033057,0.8822251,"('unsuccessful', 'successful')",2.2102492,1.683606,0.42002642,-0.016412195,1.2211108,0.8498063,0.3713045
