,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.6901245,-2.8199406,"('unsympathetic', 'sympathetic')",-3.455472,-3.546964,-0.18585268,-0.16925791,-2.110483,-2.1787208,0.0682378
43,-1.9471383,-2.2016108,"('irresponsible', 'responsible')",-3.1637654,-3.3609426,0.20567971,0.27455735,-1.6350746,-1.7626654,0.1275908
45,-1.9173874,-2.108861,"('incompetent', 'competent')",-2.5363529,-2.6523178,-0.42715833,-0.17644566,-1.6269662,-1.6458748,0.0189086
0,-1.8308702,-1.8853639,"('unsociable', 'sociable')",-2.0726717,-2.1469972,-0.4854552,-0.5592567,-1.462999,-1.5305392,0.0675402
25,1.8065282,1.5711635,"('egoistic', 'altruistic')",1.4996898,1.2313721,1.4506234,1.3539286,1.5856139,1.385488,0.2001259
30,-1.7508175,-1.713632,"('intolerant', 'tolerant')",-2.045557,-1.9811311,0.12543017,0.35510337,-1.2236482,-1.1132199,-0.1104283
13,-1.6824119,-1.7537194,"('impolite', 'polite')",-2.64893,-2.6164567,-0.8728932,-0.89179707,-1.734745,-1.7539911,0.0192461
33,1.6356478,1.5798804,"('wrong', 'right')",1.927423,1.9275464,-0.48672077,-0.49793148,1.02545,1.0031651,0.0222849
42,-1.5443872,-1.7108256,"('unreliable', 'reliable')",-0.7083082,-0.8999967,-3.3478484,-3.3715467,-1.866848,-1.994123,0.127275
69,1.540956,1.81633,"('lazy', 'industrious')",2.8512049,2.9728882,-0.8413691,-0.5968648,1.1835972,1.3974511,-0.2138539
56,-1.5245982,-1.7142124,"('impractical', 'practical')",-1.6463505,-1.7555523,-1.230925,-1.2418413,-1.4672912,-1.5705353,0.1032441
46,-1.5176666,-1.8055767,"('uncompetitive', 'competitive')",-2.6894288,-2.8762314,-0.9576155,-0.9859026,-1.7215702,-1.8892369,0.1676667
70,-1.4869022,-1.7397778,"('lethargic', 'energetic')",-1.9232892,-2.095645,0.25034994,0.10881507,-1.0532805,-1.2422026,0.1889221
14,-1.4261788,-1.3582305,"('antisocial', 'social')",-1.5796709,-1.5147328,-0.31871912,-0.2779501,-1.1081897,-1.0503045,-0.0578852
35,1.3821542,1.7240273,"('corrupt', 'incorrupt')",2.790771,3.069613,-0.66865367,-0.382732,1.1680904,1.4703027,-0.3022123
60,-1.3684118,-1.5640731,"('inefficient', 'efficient')",-2.1630416,-2.284926,-0.22318529,-0.2986785,-1.2515462,-1.3825591,0.1310129
76,-1.3534343,-1.4471936,"('anxious', 'daring')",-1.5963602,-1.8018312,-0.40196574,-0.5641079,-1.1172535,-1.2710443,0.1537908
57,-1.334372,-1.5101657,"('unimaginative', 'imaginative')",-1.9703388,-2.0912712,-2.910411,-2.904363,-2.0717072,-2.1685999,0.0968927
82,-1.3275026,-1.4344697,"('poor', 'rich')",-1.8335553,-1.899524,6.145646,6.0186276,0.9948627,0.894878,0.0999847
63,-1.2871718,-1.5463392,"('unperceptive', 'insightful')",-1.8861916,-2.0144837,0.6322433,0.5885816,-0.84704,-0.9907471,0.1437071
3,-1.2780914,-1.4189028,"('repellent', 'pleasant')",-1.4632328,-1.5224749,1.1264353,0.7921555,-0.5382963,-0.7164074,0.1781111
86,-1.1625684,-1.1450107,"('uninfluential', 'influential')",-2.0920758,-2.0358722,-0.3144948,-0.23845863,-1.1897131,-1.1397805,-0.0499326
85,1.1583667,1.2690825,"('insignificant', 'prestigious')",1.7275487,1.7642323,-0.1654488,0.066560686,0.9068221,1.0332918,-0.1264697
41,-1.1135073,-1.4175062,"('unforgiving', 'forgiving')",-1.9414263,-2.0084815,-0.16201967,0.048866276,-1.0723178,-1.1257071,0.0533893
21,-1.0514238,-1.1627053,"('immoral', 'moral')",-2.0433803,-2.1280577,-0.713756,-0.7795178,-1.26952,-1.3567602,0.0872402
77,-1.0341344,-1.3401346,"('unmotivated', 'motivated')",-0.23569016,-0.6177715,-1.0008261,-1.1955402,-0.7568835,-1.0511487,0.2942652
51,-1.0325879,-1.1335852,"('uneducated', 'educated')",-1.1277075,-1.2143235,0.39336374,0.27446622,-0.5889773,-0.6911475,0.1021702
81,-1.0076356,-0.905264,"('submissive', 'aggressive')",-1.0626112,-1.1164609,-1.0178986,-1.0756121,-1.0293818,-1.0324457,0.0030639
23,-1.0018029,-1.412907,"('insincere', 'sincere')",-1.8510482,-2.0483952,6.163827,5.7868447,1.1036586,0.7751808,0.3284778
22,-0.9984554,-1.2915462,"('untrustworthy', 'trustworthy')",-1.6992826,-1.8501804,-0.8250765,-0.8224222,-1.1742716,-1.3213829,0.1471113
55,-0.9776601,-1.2890589,"('incompetent', 'clever')",-2.1795173,-2.3323457,0.2059331,0.12658314,-0.9837481,-1.1649405,0.1811924
65,-0.9644191,-1.2400268,"('insecure', 'secure')",-1.8085103,-2.0275347,-0.035332583,-0.3068818,-0.9360874,-1.1914811,0.2553937
52,0.90533763,0.9101902,"('irrational', 'rational')",0.22031063,0.22246224,0.20862043,0.27747485,0.4447562,0.4700425,-0.0252863
71,0.901686,0.929262,"('diffident', 'self-confident')",0.8166353,0.79438865,0.39843652,0.3661339,0.705586,0.6965949,0.0089911
7,-0.87887555,-1.0935847,"('insensitive', 'sensitive')",-1.722073,-1.8571764,0.83194375,0.64382744,-0.5896683,-0.7689779,0.1793096
75,0.849869,0.9870127,"('meek', 'impulsive')",1.4562811,1.5191101,-0.7994184,-0.6279498,0.5022438,0.6260577,-0.1238139
47,-0.83666676,-1.0925858,"('stupid', 'smart')",-1.0878025,-1.2064049,4.7950892,4.7553215,0.9568733,0.8187769,0.1380964
15,0.7874999,0.9224708,"('boring', 'funny')",0.10054359,0.1626888,-0.16321847,-0.00020845793,0.2416083,0.3616504,-0.1200421
11,-0.7610254,-1.0057573,"('unhelpful', 'helpful')",-2.2976882,-2.3855205,1.6616538,1.6741489,-0.4656866,-0.5723763,0.1066897
20,-0.7491808,-0.8556396,"('rough', 'thoughtful')",-0.5344404,-0.5609519,0.9500418,0.8062982,-0.1111931,-0.2034311,0.092238
59,0.73943317,0.6890834,"('foolish', 'wise')",1.078128,1.0150346,0.048935916,0.17995822,0.6221657,0.6280254,-0.0058597
32,-0.73550373,-0.8881577,"('unkind', 'kind')",-1.670649,-1.7243909,0.87163544,0.877648,-0.5115058,-0.5783002,0.0667944
49,-0.69746655,-0.6842294,"('unable', 'able')",-0.62262803,-0.63426214,-0.34125856,-0.40804374,-0.5537844,-0.5755117,0.0217273
8,0.6857623,0.4689042,"('unaffectionate', 'affectionate')",-0.72011185,-0.82034546,1.1127998,1.2633164,0.3594834,0.3039584,0.055525
28,-0.6824657,-0.9408379,"('disloyal', 'loyal')",-1.0991358,-1.206747,1.1836482,1.1048971,-0.1993177,-0.3475626,0.1482449
64,-0.64304554,-0.5995082,"('shy', 'confident')",-0.45447356,-0.43825,-6.615822,-6.315192,-2.5711136,-2.4509835,-0.1201301
36,0.6171956,0.6267512,"('hostile', 'amicable')",0.92821366,0.9092134,-0.20750454,-0.14099137,0.4459682,0.4649911,-0.0190229
62,-0.5814555,-0.7366374,"('incompetent', 'brilliant')",-1.6376755,-1.7423066,0.17368661,0.27299544,-0.6818148,-0.7353162,0.0535014
53,-0.574823,-0.72333527,"('uncreative', 'creative')",-0.99568474,-1.1343995,0.52354705,0.42073417,-0.3489869,-0.4790002,0.1300133
78,-0.57460505,-0.7104557,"('nonresilient', 'resilient')",0.11276837,-0.16762966,0.7278839,0.5521733,0.0886824,-0.1086374,0.1973198
31,0.5735093,0.6789749,"('evil', 'good')",0.77372515,0.7409079,-0.9219232,-0.872917,0.1417704,0.1823219,-0.0405515
27,-0.53225815,-0.57937044,"('hardhearted', 'softhearted')",-1.1630151,-1.2241231,1.4157256,1.3717772,-0.0931826,-0.1439054,0.0507228
68,-0.52938354,-0.65587807,"('dependent', 'independent')",-0.26647592,-0.3056057,-0.9128789,-1.279466,-0.5695794,-0.7469833,0.1774039
24,-0.49072438,-0.6785344,"('dishonest', 'honest')",-2.3735209,-2.3434634,0.36805594,0.53686786,-0.832063,-0.8283767,-0.0036863
12,-0.4384727,-0.5456232,"('unsupportive', 'supportive')",-1.4445319,-1.4868281,-1.8830447,-1.7479837,-1.2553498,-1.2601449,0.0047951
54,0.4279656,0.27866408,"('incapable', 'capable')",0.8031753,0.5802164,1.2000276,1.0377103,0.8103895,0.6321969,0.1781926
34,-0.4256253,-0.49068645,"('mean', 'honorable')",-1.1551594,-1.2129486,5.347886,5.098312,1.2557004,1.131559,0.1241414
