,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.6532865,-2.659466,"('unsympathetic', 'sympathetic')",-3.7867875,-3.5487444,-1.8432318,-1.5587661,0.11777385,0.052274186,-2.041383,-1.9286755,-0.1127075
55,-1.8843077,-2.1903915,"('incompetent', 'clever')",-2.223129,-2.1373956,-0.6793545,-0.62617457,0.46365422,0.11483775,-1.0807843,-1.2097811,0.1289968
57,-1.8685446,-1.7974652,"('unimaginative', 'imaginative')",-2.4607172,-2.1623468,-1.4821689,-1.2765368,-3.5640233,-3.5837827,-2.3438635,-2.2050328,-0.1388307
46,-1.68365,-1.7112055,"('uncompetitive', 'competitive')",-2.1869051,-1.979065,-0.47390872,-0.32915866,-0.3283828,-0.45403624,-1.1682117,-1.1183664,-0.0498453
69,1.6669086,1.7234448,"('lazy', 'industrious')",2.6631536,2.524601,0.96932745,0.9231936,-1.6304232,-1.4007032,0.9172417,0.942634,-0.0253923
65,-1.5885379,-1.65017,"('insecure', 'secure')",-1.6854844,-1.790631,-0.58269227,-0.62686396,0.433025,0.28062138,-0.8559225,-0.946761,0.0908385
85,1.5873984,1.8898836,"('insignificant', 'prestigious')",2.105035,2.1274757,1.9910196,1.8892603,-0.32438725,-0.2752059,1.3397665,1.4078534,-0.0680869
21,-1.5109059,-2.1395884,"('immoral', 'moral')",-2.2685242,-2.4930236,-0.33551228,-0.42519075,-0.46419084,-0.8420799,-1.1447833,-1.4749708,0.3301875
73,1.4598767,1.7441144,"('helpless', 'self-reliant')",2.5226698,2.594072,1.1414165,1.195297,-3.374076,-3.325168,0.4374717,0.5520789,-0.1146072
48,-1.4161366,-1.8012797,"('unintelligent', 'intelligent')",-1.6597878,-1.6087246,-0.034299884,-0.074250124,0.13109495,-0.03951333,-0.7447823,-0.8809419,0.1361596
28,-1.4149424,-1.0433707,"('disloyal', 'loyal')",-1.6088364,-1.1492385,-0.1168991,0.17820601,1.2311802,1.3359891,-0.4773744,-0.1696036,-0.3077708
71,1.3861831,1.3937113,"('diffident', 'self-confident')",1.0128782,0.98366255,1.9557347,1.9158489,0.36209634,0.35228604,1.1792231,1.1613772,0.0178459
81,-1.3837913,-1.9182373,"('submissive', 'aggressive')",-2.9465773,-3.179787,-0.85038096,-0.95211184,-0.6781075,-1.1222194,-1.4647143,-1.7930889,0.3283746
3,-1.3654082,-1.4447949,"('repellent', 'pleasant')",-1.2161485,-1.3014396,-1.5706085,-1.5748141,0.54560053,0.40783203,-0.9016412,-0.9783041,0.0766629
70,-1.3441536,-1.5003978,"('lethargic', 'energetic')",-1.8925604,-1.962546,-0.765652,-0.823348,0.5511393,0.24524422,-0.8628067,-1.0102619,0.1474552
