,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.086021,-1.7394564,"('uninfluential', 'influential')",-0.5105,-0.5840713,-1.2982605,-1.1617639,-0.1364966
10,-2.019551,-1.7996205,"('unsympathetic', 'sympathetic')",-0.11795964,-0.383465,-1.0687554,-1.0915427,0.0227873
11,-1.91592,-1.7251122,"('unhelpful', 'helpful')",1.7876809,1.5785313,-0.0641196,-0.0732905,0.0091709
77,-1.9147112,-1.6026305,"('unmotivated', 'motivated')",-0.9978575,-0.94745773,-1.4562844,-1.2750441,-0.1812403
0,-1.9085438,-1.464765,"('unsociable', 'sociable')",-0.33544937,-0.21618026,-1.1219966,-0.8404726,-0.281524
28,-1.8307163,-1.6859704,"('disloyal', 'loyal')",0.6912008,0.5413415,-0.5697577,-0.5723145,0.0025568
23,-1.7666235,-1.5458232,"('insincere', 'sincere')",5.55275,5.3942733,1.8930633,1.9242251,-0.0311618
46,-1.6729591,-1.3877156,"('uncompetitive', 'competitive')",-0.7552344,-0.92645717,-1.2140968,-1.1570864,-0.0570104
45,-1.5946069,-1.2620746,"('incompetent', 'competent')",-0.014227979,-0.13724832,-0.8044174,-0.6996614,-0.104756
55,-1.5855815,-1.2424802,"('incompetent', 'clever')",0.7253553,0.5677823,-0.4301131,-0.3373489,-0.0927642
14,-1.5464003,-1.1627238,"('antisocial', 'social')",-0.00238242,-0.034033954,-0.7743914,-0.5983789,-0.1760125
69,1.5425754,1.2838819,"('lazy', 'industrious')",-0.9642795,-0.68223995,0.2891479,0.300821,-0.0116731
81,-1.4703063,-1.1694127,"('submissive', 'aggressive')",-0.13386708,-0.3791317,-0.8020867,-0.7742722,-0.0278145
57,-1.4348159,-1.4893345,"('unimaginative', 'imaginative')",-2.9437184,-3.2047315,-2.1892672,-2.347033,0.1577658
21,-1.4289236,-1.0865996,"('immoral', 'moral')",-0.107152656,-0.16800132,-0.7680382,-0.6273004,-0.1407378
1,-1.4084958,-1.4898361,"('unfriendly', 'friendly')",0.9111254,0.79000175,-0.2486852,-0.3499172,0.101232
63,-1.3747026,-1.1480691,"('unperceptive', 'insightful')",0.67118055,0.51708543,-0.351761,-0.3154919,-0.0362691
32,-1.3604684,-1.233089,"('unkind', 'kind')",0.50963604,0.4814643,-0.4254162,-0.3758124,-0.0496038
62,-1.3407742,-0.959425,"('incompetent', 'brilliant')",0.9306244,0.76287735,-0.2050749,-0.0982738,-0.1068011
60,-1.3398391,-0.8988576,"('inefficient', 'efficient')",0.5302569,0.5047527,-0.4047911,-0.1970524,-0.2077387
44,1.2405841,1.0521832,"('prejudiced', 'unprejudiced')",-1.2638265,-1.2066278,-0.0116212,-0.0772223,0.0656011
43,-1.1975764,-1.0921175,"('irresponsible', 'responsible')",0.68443733,0.4559083,-0.2565695,-0.3181046,0.0615351
73,1.1368623,1.0670989,"('helpless', 'self-reliant')",-2.8969874,-2.9221482,-0.8800626,-0.9275247,0.0474621
38,-1.134125,-0.9811941,"('untruthful', 'truthful')",-0.30600843,-0.28419164,-0.7200667,-0.6326929,-0.0873738
9,-1.1198969,-1.220008,"('unaffectionate', 'caring')",0.9005591,0.7870333,-0.1096689,-0.2164873,0.1068184
41,-1.1043622,-0.93472445,"('unforgiving', 'forgiving')",-0.4061198,-0.44175938,-0.755241,-0.6882419,-0.0669991
51,-1.1041908,-0.767358,"('uneducated', 'educated')",0.4442697,0.5104699,-0.3299606,-0.128444,-0.2015166
7,-1.0883715,-1.1782019,"('insensitive', 'sensitive')",0.63651973,0.30009407,-0.2259259,-0.4390539,0.213128
75,1.0841616,0.9000282,"('meek', 'impulsive')",-0.6721865,-0.5991331,0.2059876,0.1504476,0.05554
56,-1.0626342,-0.6790598,"('impractical', 'practical')",-0.018871268,-0.1574455,-0.5407528,-0.4182526,-0.1225002
8,-1.0478313,-1.316458,"('unaffectionate', 'affectionate')",0.37325287,0.19064018,-0.3372892,-0.5629089,0.2256197
35,1.0323185,0.8237925,"('corrupt', 'incorrupt')",-0.92965883,-0.6642587,0.0513298,0.0797669,-0.0284371
53,-0.99077964,-1.095112,"('uncreative', 'creative')",0.15881498,0.10120724,-0.4159823,-0.4969524,0.0809701
78,-0.95634955,-0.7619612,"('nonresilient', 'resilient')",0.11276874,0.06901379,-0.4217904,-0.3464737,-0.0753167
52,0.94008327,0.7412102,"('irrational', 'rational')",-0.5340404,-0.4049235,0.2030214,0.1681434,0.034878
3,-0.9371304,-0.85809153,"('repellent', 'pleasant')",0.47579986,0.41763234,-0.2306653,-0.2202296,-0.0104357
13,-0.9343656,-0.66877675,"('impolite', 'polite')",-0.40553886,-0.30921423,-0.6699522,-0.4889955,-0.1809567
33,0.92253983,0.863446,"('wrong', 'right')",-0.39489636,-0.4627862,0.2638217,0.2003299,0.0634918
15,0.8462388,0.6740841,"('boring', 'funny')",0.13022496,0.09289625,0.4882319,0.3834902,0.1047417
12,-0.8248656,-0.71896654,"('unsupportive', 'supportive')",-1.8837181,-2.0275838,-1.3542919,-1.3732752,0.0189833
85,0.8104986,0.55314267,"('insignificant', 'prestigious')",-0.95019627,-0.85880035,-0.0698488,-0.1528288,0.08298
65,-0.79067206,-0.69481236,"('insecure', 'secure')",0.033777542,-0.04812114,-0.3784473,-0.3714668,-0.0069805
22,-0.78820366,-0.7882483,"('untrustworthy', 'trustworthy')",-0.6605328,-0.796597,-0.7243682,-0.7924227,0.0680545
59,0.75222284,0.54633886,"('foolish', 'wise')",-0.053572882,0.10742393,0.349325,0.3268814,0.0224436
70,-0.71450514,-0.711333,"('lethargic', 'energetic')",0.6013286,0.3082839,-0.0565883,-0.2015245,0.1449362
6,0.6355967,0.44545555,"('distant', 'open')",-0.91167307,-0.7433284,-0.1380382,-0.1489364,0.0108982
71,0.6001972,0.5714259,"('diffident', 'self-confident')",0.33274877,0.16478887,0.466473,0.3681074,0.0983656
24,-0.56480485,-0.5054286,"('dishonest', 'honest')",0.79642475,0.6164258,0.1158099,0.0554986,0.0603113
47,-0.5442106,-0.59728193,"('stupid', 'smart')",5.2863464,5.191733,2.371068,2.2972255,0.0738425
49,-0.53927267,-0.4160165,"('unable', 'able')",-0.3204883,-0.28937906,-0.4298805,-0.3526978,-0.0771827
48,-0.5334457,-0.4838812,"('unintelligent', 'intelligent')",1.1944004,1.1294073,0.3304774,0.322763,0.0077144
20,-0.5197017,-0.5357477,"('rough', 'thoughtful')",1.1133316,1.0548389,0.2968149,0.2595456,0.0372693
83,-0.49524832,-0.21060137,"('powerless', 'powerful')",-0.5621122,-0.54704165,-0.5286803,-0.3788215,-0.1498588
27,0.49423993,0.18918084,"('hardhearted', 'softhearted')",1.292873,1.1614057,0.8935565,0.6752933,0.2182632
74,-0.48328114,-0.17796712,"('undedicated', 'dedicated')",-0.5223662,-0.5237591,-0.5028237,-0.3508631,-0.1519606
61,-0.4804686,-0.30028144,"('illogical', 'logical')",0.63494664,0.68291277,0.077239,0.1913157,-0.1140767
4,0.47950485,0.7170494,"('disliked', 'liked')",-7.107216,-6.92609,-3.3138554,-3.1045201,-0.2093353
40,0.4631614,0.43771508,"('stingy', 'generous')",-1.9884042,-2.103,-0.7626214,-0.8326424,0.070021
66,0.44680434,0.2874583,"('inactive', 'active')",0.19082132,0.23640487,0.3188128,0.2619316,0.0568812
82,-0.4365613,-0.39671424,"('poor', 'rich')",5.865816,5.934,2.7146275,2.7686429,-0.0540154
