,bed_male,bed_female,tuple,bath_male,bath_female,&_male,&_female,beyond_male,beyond_female,inc_male,inc_female,average_male,average_female,male-female
56,1.9986788,1.3489903,"('impractical', 'practical')",1.1465305,0.92751384,-0.83665186,-0.983071,0.15094629,0.033486612,0.295382,-0.05921404,0.5509772,0.2535411,0.2974361
77,-1.4725829,-1.9620692,"('unmotivated', 'motivated')",-1.4759967,-1.3740948,-2.0812347,-2.1189282,-1.5613267,-1.604823,-0.93348515,-1.2482256,-1.5049253,-1.6616282,0.1567029
66,-1.4371998,-1.0486332,"('inactive', 'active')",-0.70769536,-0.5913523,0.9969828,1.07703,0.6751143,0.8454299,0.40294033,0.57221705,-0.0139715,0.1709383,-0.1849098
71,1.3490379,1.4169657,"('diffident', 'self-confident')",1.95145,2.1791348,0.8411694,0.64466166,1.7349552,1.7071321,0.7776578,0.65271443,1.3308541,1.3201217,0.0107324
12,1.3467892,1.2080977,"('unsupportive', 'supportive')",0.67475075,0.7109308,0.37159324,0.30855635,0.5888697,0.6218849,-1.1365298,-1.4813803,0.3690946,0.2736179,0.0954767
43,1.3153623,0.77884156,"('irresponsible', 'responsible')",0.708253,0.64593023,-0.3642161,-0.83561707,-1.0705732,-1.1790054,1.1992913,0.9283645,0.3576235,0.0677028,0.2899207
53,-1.304402,-1.3386737,"('uncreative', 'creative')",-0.2933333,-0.11848438,0.3671599,0.2727904,-1.3196284,-1.2281798,0.7878736,0.9401913,-0.352466,-0.2944713,-0.0579947
15,1.1571834,1.200715,"('boring', 'funny')",0.9785279,1.1999093,0.6511762,0.7330444,0.2613068,0.2871824,0.38204172,0.42997628,0.6860472,0.7701654,-0.0841182
3,-1.1303525,-1.5259444,"('repellent', 'pleasant')",-1.5697204,-1.7863886,-1.4123229,-1.3515296,-1.1599865,-1.363046,-0.24271691,-0.2821006,-1.1030198,-1.2618019,0.1587821
47,1.1015856,0.9743585,"('stupid', 'smart')",0.61025745,0.66236854,0.6961459,0.6679072,-0.1549868,0.09236216,5.1349006,5.6560264,1.4775805,1.6106045,-0.133024
36,-1.0554171,-0.04094443,"('hostile', 'amicable')",0.047771506,0.5245476,1.0263729,1.5096622,0.90831155,1.1800947,-0.20244601,0.48151842,0.1449186,0.7309757,-0.5860571
25,-1.0447721,-0.5600939,"('egoistic', 'altruistic')",0.48438054,0.9307904,0.055442035,0.20180382,-0.79725164,-0.579728,1.2121074,1.5621951,-0.0180188,0.3109935,-0.3290123
73,1.0175356,1.1816945,"('helpless', 'self-reliant')",0.6827627,0.7482008,1.4139475,1.6180415,1.7062802,1.7306051,-2.3914187,-2.5752022,0.4858215,0.540668,-0.0548465
68,-0.987047,-1.3072636,"('dependent', 'independent')",-0.82119936,-1.0873451,-0.9587904,-0.95933855,-0.16348872,-0.21881557,-0.58583504,-0.62552094,-0.7032721,-0.8396567,0.1363846
86,-0.9755891,-1.56698,"('uninfluential', 'influential')",-0.39206934,-0.47332877,-1.9225687,-1.953289,-2.5362053,-2.4738517,-0.21339098,-0.50538594,-1.2079646,-1.394567,0.1866024
60,0.97553414,-0.057450626,"('inefficient', 'efficient')",0.6233304,0.42143542,-1.3886212,-1.7140524,-0.97213966,-0.97684765,0.3532457,-0.06865523,-0.0817301,-0.4791141,0.397384
42,0.964914,0.64096516,"('unreliable', 'reliable')",1.3276337,1.201747,1.4103316,1.3960882,1.1948994,1.2056217,-2.2840354,-2.5263147,0.5227487,0.3836215,0.1391272
