,patterson_male,patterson_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
56,3.7854407,3.0944521,"('impractical', 'practical')",1.6585993,1.7108285,0.31568527,0.35141787,1.9199084,1.7188996,0.2010088
60,3.5173235,2.2456574,"('inefficient', 'efficient')",2.138306,2.2710693,0.34645578,0.4651669,2.0006949,1.6606312,0.3400637
36,-3.4071238,-2.1007833,"('hostile', 'amicable')",-2.8129344,-2.877397,-0.6163626,-0.63129103,-2.278807,-1.8698238,-0.4089832
16,-3.2040699,-2.7425816,"('unpopular', 'popular')",-1.3445787,-1.2563285,0.33665746,0.26102966,-1.4039971,-1.2459601,-0.158037
52,-3.1861234,-2.315806,"('irrational', 'rational')",-1.4709647,-1.4662921,-0.40432736,-0.53159773,-1.6871386,-1.4378986,-0.24924
85,-3.153736,-1.4319371,"('insignificant', 'prestigious')",-0.8379814,-0.6179037,-0.30628312,-0.11713718,-1.4326669,-0.722326,-0.7103409
14,3.0604274,2.3203185,"('antisocial', 'social')",1.5931197,1.8305521,-0.4319738,-0.38297683,1.4071911,1.2559645,0.1512266
31,-2.919695,-1.5904989,"('evil', 'good')",-1.1157701,-1.3212135,-1.2166426,-1.377523,-1.7507025,-1.429745,-0.3209575
35,-2.7379825,-1.3378994,"('corrupt', 'incorrupt')",-2.626303,-2.5465324,-1.0477054,-0.9525659,-2.1373304,-1.6123327,-0.5249977
55,2.721794,1.4952033,"('incompetent', 'clever')",1.6291171,1.7417865,0.44048476,0.3518961,1.597132,1.1962953,0.4008367
10,2.7155905,1.6145924,"('unsympathetic', 'sympathetic')",0.77214235,0.779569,0.2672588,0.31879205,1.2516639,0.9043179,0.347346
81,2.714598,1.411924,"('submissive', 'aggressive')",1.429107,1.5055547,-0.18773364,0.008594826,1.3186571,0.9753578,0.3432993
70,2.5423265,1.6153551,"('lethargic', 'energetic')",1.1526103,1.233117,1.2219219,1.2651671,1.6389529,1.3712131,0.2677398
6,-2.5108976,-1.4773477,"('distant', 'open')",-1.8876086,-1.979272,0.20721929,0.14402978,-1.3970957,-1.1041966,-0.2928991
21,2.445328,1.5726266,"('immoral', 'moral')",1.0573969,1.2573444,-0.47304505,-0.38955784,1.0098933,0.813471,0.1964223
46,2.435161,1.0592766,"('uncompetitive', 'competitive')",2.2277143,2.2831223,-0.062218275,0.0009878278,1.5335523,1.1144622,0.4190901
5,-2.390644,-1.511413,"('distant', 'outgoing')",-1.3186588,-1.4028678,-0.26763093,-0.3389542,-1.3256447,-1.0844117,-0.241233
44,-2.2920554,-2.0279288,"('prejudiced', 'unprejudiced')",-1.1435955,-1.0204226,-1.7306511,-1.540358,-1.7221006,-1.5295698,-0.1925308
12,2.2858436,2.167332,"('unsupportive', 'supportive')",1.6079285,1.6669801,-0.9394085,-0.93338734,0.9847879,0.9669749,0.017813
59,-2.1941214,-1.0359697,"('foolish', 'wise')",-1.0778186,-1.0438038,0.049739346,0.040537834,-1.0740669,-0.6797452,-0.3943217
51,2.1138117,1.4056345,"('uneducated', 'educated')",0.56454307,0.75575733,0.59704006,0.8136497,1.0917983,0.9916805,0.1001178
4,-2.0583067,-1.8209369,"('disliked', 'liked')",-0.38596505,-0.4854032,-5.9916134,-6.042662,-2.8119618,-2.7830009,-0.0289609
