,millipore_male,millipore_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.7564815,-1.8591801,"('uninfluential', 'influential')",-0.609709,-0.6436695,-1.1830952,-1.2514248,0.0683296
1,-1.5871832,-1.7353894,"('unfriendly', 'friendly')",1.2109776,1.1360582,-0.1881028,-0.2996656,0.1115628
19,-1.5541425,-1.552356,"('inhospitable', 'hospitable')",-0.79667515,-0.67989844,-1.1754088,-1.1161273,-0.0592815
10,-1.4975407,-1.5279585,"('unsympathetic', 'sympathetic')",-0.48968148,-0.4036887,-0.9936111,-0.9658236,-0.0277875
9,-1.3918964,-1.585761,"('unaffectionate', 'caring')",1.277472,1.2574098,-0.0572122,-0.1641756,0.1069634
52,-1.3232347,-1.3703592,"('irrational', 'rational')",0.18296495,0.14873905,-0.5701349,-0.61081,0.0406751
6,-1.288885,-1.2467755,"('distant', 'open')",-0.60933673,-0.5970796,-0.9491109,-0.9219276,-0.0271833
85,-1.2640998,-1.3717308,"('insignificant', 'prestigious')",-0.46409357,-0.51850206,-0.8640967,-0.9451164,0.0810197
53,-1.2236578,-1.3619342,"('uncreative', 'creative')",0.42250258,0.3538048,-0.4005776,-0.5040647,0.1034871
8,-1.1920569,-1.4442031,"('unaffectionate', 'affectionate')",0.6647862,0.6068466,-0.2636353,-0.4186783,0.155043
45,-1.1767137,-1.182391,"('incompetent', 'competent')",-0.25505486,-0.24880975,-0.7158843,-0.7156004,-0.0002839
38,-1.1071583,-1.0864887,"('untruthful', 'truthful')",0.021322884,0.019625163,-0.5429177,-0.5334318,-0.0094859
12,-1.1053926,-1.1592865,"('unsupportive', 'supportive')",-2.0657554,-2.0664866,-1.5855739,-1.6128865,0.0273126
36,-1.092614,-1.22674,"('hostile', 'amicable')",-0.52007085,-0.57634795,-0.8063425,-0.901544,0.0952015
16,-1.0921351,-1.1667252,"('unpopular', 'popular')",0.26133075,0.20794202,-0.4154022,-0.4793916,0.0639894
0,-1.0629174,-1.1458901,"('unsociable', 'sociable')",-0.32261,-0.4353544,-0.6927637,-0.7906222,0.0978585
66,-1.0453815,-1.0989195,"('inactive', 'active')",-0.2877659,-0.26604167,-0.6665737,-0.6824806,0.0159069
63,-1.0432197,-1.1144841,"('unperceptive', 'insightful')",0.6332245,0.6379856,-0.2049976,-0.2382492,0.0332516
79,-1.0144312,-0.9401485,"('wavering', 'unwavering')",-0.64935344,-0.51756424,-0.8318924,-0.7288563,-0.1030361
39,0.97213703,0.8664765,"('exploitative', 'cooperative')",0.32479787,0.33257505,0.6484674,0.5995257,0.0489417
73,0.9384865,1.0421505,"('helpless', 'self-reliant')",-2.905611,-2.8333755,-0.9835622,-0.8956125,-0.0879497
60,0.9348378,0.8508506,"('inefficient', 'efficient')",0.41499135,0.42892748,0.6749146,0.639889,0.0350256
43,-0.8945262,-0.9345927,"('irresponsible', 'responsible')",0.35916865,0.36189455,-0.2676788,-0.2863491,0.0186703
46,-0.83992285,-0.9050729,"('uncompetitive', 'competitive')",-0.95454603,-1.0395594,-0.8972344,-0.9723161,0.0750817
61,-0.813224,-0.89173216,"('illogical', 'logical')",0.2898932,0.20731823,-0.2616654,-0.342207,0.0805416
57,-0.7910115,-0.83116806,"('unimaginative', 'imaginative')",-2.9707782,-2.9806423,-1.8808949,-1.9059052,0.0250103
44,0.76755834,0.82946926,"('prejudiced', 'unprejudiced')",-1.3377824,-1.3068557,-0.285112,-0.2386932,-0.0464188
54,-0.7664201,-0.81802976,"('incapable', 'capable')",0.7582033,0.900053,-0.0041084,0.0410116,-0.04512
5,-0.7560011,-0.68488044,"('distant', 'outgoing')",-0.4507379,-0.40502644,-0.6033695,-0.5449535,-0.058416
31,-0.7446144,-0.6874334,"('evil', 'good')",-1.0072324,-0.99414515,-0.8759234,-0.8407893,-0.0351341
3,-0.74198693,-0.7429621,"('repellent', 'pleasant')",0.54886675,0.5693826,-0.0965601,-0.0867898,-0.0097703
56,0.7059609,0.69312346,"('impractical', 'practical')",-0.15545158,-0.16501892,0.2752547,0.2640523,0.0112024
23,-0.6844156,-0.866782,"('insincere', 'sincere')",5.6990614,5.6970973,2.5073228,2.4151576,0.0921652
78,-0.67862487,-0.75813156,"('nonresilient', 'resilient')",0.3636427,0.34540513,-0.1574911,-0.2063632,0.0488721
71,-0.666035,-0.6969447,"('diffident', 'self-confident')",0.4777499,0.45996788,-0.0941425,-0.1184884,0.0243459
14,0.6591642,0.6537009,"('antisocial', 'social')",-0.24048693,-0.23395015,0.2093386,0.2098754,-0.0005368
11,-0.62280154,-0.7238171,"('unhelpful', 'helpful')",2.0238085,1.947707,0.7005035,0.611945,0.0885585
24,-0.6134777,-0.60317177,"('dishonest', 'honest')",0.6330503,0.63104045,0.0097863,0.0139343,-0.004148
69,0.57214314,0.58517873,"('lazy', 'industrious')",-0.4955167,-0.48077223,0.0383132,0.0522033,-0.0138901
81,0.5656523,0.55594224,"('submissive', 'aggressive')",-0.36865363,-0.37249184,0.0984993,0.0917252,0.0067741
70,-0.55448145,-0.60724634,"('lethargic', 'energetic')",0.04513812,0.05900207,-0.2546717,-0.2741221,0.0194504
33,-0.54806906,-0.48266688,"('wrong', 'right')",-0.6436835,-0.6598711,-0.5958763,-0.571269,-0.0246073
37,0.5211942,0.4668095,"('fake', 'genuine')",0.16492307,0.22386523,0.3430586,0.3453374,-0.0022788
28,-0.50227654,-0.7400354,"('disloyal', 'loyal')",0.9949637,0.8336478,0.2463436,0.0468062,0.1995374
27,-0.47830233,-0.6166149,"('hardhearted', 'softhearted')",0.8656728,0.8489972,0.1936852,0.1161911,0.0774941
42,0.4652205,0.47228983,"('unreliable', 'reliable')",-3.1759074,-3.1228464,-1.3553435,-1.3252783,-0.0300652
72,-0.46313092,-0.48050877,"('unambitious', 'ambitious')",-0.10469164,-0.06147592,-0.2839113,-0.2709923,-0.012919
25,-0.45447907,-0.5583539,"('egoistic', 'altruistic')",0.95855004,0.9140799,0.2520355,0.177863,0.0741725
77,-0.43122518,-0.50928664,"('unmotivated', 'motivated')",-0.8356316,-0.8332492,-0.6334284,-0.6712679,0.0378395
17,-0.421996,-0.37936577,"('nasty', 'nice')",-0.53671014,-0.5440869,-0.4793531,-0.4617263,-0.0176268
13,-0.40982735,-0.30142778,"('impolite', 'polite')",-0.7352697,-0.7304369,-0.5725485,-0.5159323,-0.0566162
4,-0.40338942,-0.27732804,"('disliked', 'liked')",-6.7892118,-6.78018,-3.5963006,-3.528754,-0.0675466
21,0.3925532,0.4261727,"('immoral', 'moral')",-0.39096683,-0.35123375,0.0007932,0.0374695,-0.0366763
