,darden_male,darden_female,tuple,restaurants_male,restaurants_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.639282,-1.3606356,"('unimaginative', 'imaginative')",0.49191844,0.69987184,-2.4238038,-2.193536,-1.1903892,-0.9514333,-0.2389559
86,-1.6240638,-1.572857,"('uninfluential', 'influential')",0.75276816,0.9480701,0.05044398,0.16506447,-0.2736172,-0.1532408,-0.1203764
10,-1.4603869,-1.2583529,"('unsympathetic', 'sympathetic')",0.46640486,0.5931902,-0.24859549,-0.24827726,-0.4141925,-0.30448,-0.1097125
1,-1.4464139,-1.7761102,"('unfriendly', 'friendly')",0.46207613,0.50595814,1.9891016,1.8340043,0.3349213,0.1879507,0.1469706
58,-1.4125559,-1.4055798,"('undiscriminating', 'discriminating')",-0.14053725,0.04377319,-0.058067575,-0.039355565,-0.5370536,-0.467054,-0.0699996
0,-1.3785462,-1.307739,"('unsociable', 'sociable')",1.7797166,1.7757592,-0.14581229,-0.112614885,0.0851194,0.1184684,-0.033349
35,1.209677,1.1383029,"('corrupt', 'incorrupt')",-1.8542053,-1.9345094,-0.35742345,-0.54046404,-0.3339839,-0.4455568,0.1115729
77,-1.0925616,-1.0128978,"('unmotivated', 'motivated')",-0.11014803,-0.05221986,-1.2351582,-1.0987269,-0.8126226,-0.7212815,-0.0913411
27,-1.0241795,-1.0570816,"('hardhearted', 'softhearted')",0.29317284,0.18791568,1.5201329,1.4657456,0.2630421,0.1988599,0.0641822
59,1.0239992,0.85724527,"('foolish', 'wise')",-0.7325542,-0.7444746,0.33730206,0.2509708,0.2095824,0.1212472,0.0883352
72,-1.0083065,-1.080883,"('unambitious', 'ambitious')",-0.5589982,-0.66951203,-0.93350613,-1.0422224,-0.8336036,-0.9308724,0.0972688
17,-0.9669028,-1.0392267,"('nasty', 'nice')",-0.58892417,-0.5867234,-0.5695916,-0.50683117,-0.7084728,-0.7109271,0.0024543
43,-0.9551485,-0.8362885,"('irresponsible', 'responsible')",1.50805,1.5334496,0.704551,0.8101595,0.4191508,0.5024402,-0.0832894
61,-0.9531771,-0.9038336,"('illogical', 'logical')",0.53735715,0.6525359,0.2983135,0.452226,-0.0391688,0.0669761,-0.1061449
83,-0.92185766,-1.0032573,"('powerless', 'powerful')",-0.25950137,-0.27601528,-1.361811,-1.2879211,-0.8477233,-0.8557312,0.0080079
3,-0.86358416,-0.65556437,"('repellent', 'pleasant')",-0.6149246,-0.47657388,0.025233062,0.16791697,-0.4844252,-0.3214071,-0.1630181
41,-0.825687,-1.0017338,"('unforgiving', 'forgiving')",0.81758523,0.7559681,-0.06594601,-0.09890091,-0.0246826,-0.1148889,0.0902063
69,0.7931236,1.0545763,"('lazy', 'industrious')",-0.43610215,-0.42674407,-0.6836975,-0.61404157,-0.108892,0.0045969,-0.1134889
20,-0.7364501,-0.74278474,"('rough', 'thoughtful')",-0.33076334,-0.27267566,1.1148916,1.2192547,0.0158927,0.0679315,-0.0520388
48,-0.7118692,-0.94436616,"('unintelligent', 'intelligent')",0.7283192,0.6789438,0.7338944,0.6675737,0.2501148,0.1340504,0.1160644
28,-0.70972526,-0.91468155,"('disloyal', 'loyal')",-0.06989814,-0.17850202,1.0225408,0.7999076,0.0809725,-0.0977586,0.1787311
21,-0.6725125,-0.7081765,"('immoral', 'moral')",1.3973775,1.5494424,-0.4403574,-0.34244144,0.0948359,0.1662748,-0.0714389
40,-0.6504699,-0.5487832,"('stingy', 'generous')",0.09688929,0.16793963,-1.3528019,-1.3505207,-0.6354609,-0.5771214,-0.0583395
39,0.64843553,0.9047567,"('exploitative', 'cooperative')",1.5130713,1.5612396,0.39818436,0.49827856,0.8532304,0.9880916,-0.1348612
65,-0.64297277,-0.69961697,"('insecure', 'secure')",0.20474604,0.2734887,-0.115474254,-0.0753535,-0.184567,-0.1671606,-0.0174064
45,-0.64222145,-0.640361,"('incompetent', 'competent')",0.97834826,0.91129506,-0.14400426,-0.20491809,0.0640408,0.0220053,0.0420355
37,0.6243459,0.6955743,"('fake', 'genuine')",0.1726784,0.18844447,0.39815962,0.3086235,0.3983947,0.3975474,0.0008473
26,-0.577727,-0.6318034,"('hardhearted', 'benevolent')",0.59969294,0.7587494,1.4621215,1.4725652,0.4946958,0.5331704,-0.0384746
60,-0.57473385,-0.6575529,"('inefficient', 'efficient')",2.5187788,2.2863698,0.5799245,0.43044257,0.8413231,0.6864198,0.1549033
14,-0.5650452,-0.55716294,"('antisocial', 'social')",1.7187461,1.7589569,-0.6320123,-0.57165354,0.1738962,0.2100468,-0.0361506
81,-0.55723107,-0.5477912,"('submissive', 'aggressive')",0.86694777,0.82282495,-0.5548587,-0.56934696,-0.081714,-0.0981044,0.0163904
79,0.52981824,0.49585164,"('wavering', 'unwavering')",-0.9240103,-0.9762218,0.10526113,0.09174672,-0.0963103,-0.1295411,0.0332308
88,-0.5151112,-0.41547728,"('low', 'eminent')",-0.6532014,-0.5435081,0.101635545,0.11037108,-0.355559,-0.2828714,-0.0726876
73,0.50109947,0.47244945,"('helpless', 'self-reliant')",0.3611887,0.28870946,-2.9780009,-3.0426993,-0.7052375,-0.7605135,0.055276
15,0.4928022,0.39736053,"('boring', 'funny')",0.8429249,0.85145444,0.14791323,0.12915848,0.4945468,0.4593245,0.0352223
82,0.4921883,0.3227479,"('poor', 'rich')",0.80503,0.7802609,6.116806,5.8623624,2.4713415,2.3217904,0.1495511
