,allegheny_male,allegheny_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
85,2.9831178,2.957722,"('insignificant', 'prestigious')",0.30506873,0.43758175,0.76576996,0.91622263,1.3513188,1.4371754,-0.0858566
9,2.1515057,2.1744046,"('unaffectionate', 'caring')",0.31124413,0.31230664,0.96503574,0.9592514,1.1425952,1.1486542,-0.006059
12,2.1043868,2.1073465,"('unsupportive', 'supportive')",0.9209384,0.834805,-1.7353662,-1.5625728,0.4299864,0.4598596,-0.0298732
74,1.9050761,1.905906,"('undedicated', 'dedicated')",-0.06984605,-0.23723876,-0.15271653,-0.041028835,0.5608379,0.5425461,0.0182918
66,1.7303144,1.7035445,"('inactive', 'active')",-0.60412836,-0.50800145,1.2706567,1.3056569,0.7989476,0.8337333,-0.0347857
53,1.6256344,1.6801347,"('uncreative', 'creative')",0.980214,1.0885502,0.86852527,1.0233676,1.1581245,1.2640175,-0.105893
71,1.6064754,1.5196524,"('diffident', 'self-confident')",1.5485953,1.6372627,0.6584363,0.64155114,1.271169,1.2661554,0.0050136
29,-1.5684351,-1.4403292,"('unfair', 'fair')",-0.3638367,-0.37318128,-0.13469641,-0.11369692,-0.6889894,-0.6424025,-0.0465869
16,-1.5417958,-1.3741708,"('unpopular', 'popular')",-0.36222777,-0.26195225,0.4748567,0.60470015,-0.476389,-0.3438076,-0.1325814
39,1.5216552,1.3469509,"('exploitative', 'cooperative')",0.073837906,-0.021599151,-0.06575623,0.009799419,0.5099123,0.4450504,0.0648619
65,-1.4956559,-1.5750641,"('insecure', 'secure')",0.5346441,0.47056514,-0.55429196,-0.55390716,-0.5051012,-0.552802,0.0477008
44,-1.4950233,-1.5683653,"('prejudiced', 'unprejudiced')",-0.35215536,-0.3410062,-1.1825484,-1.1303557,-1.009909,-1.0132424,0.0033334
8,1.4356716,1.3971827,"('unaffectionate', 'affectionate')",-0.95203567,-0.8650768,0.5672929,0.59755754,0.3503096,0.3765545,-0.0262449
72,1.4118438,1.2299836,"('unambitious', 'ambitious')",0.72175044,0.74072653,-0.9857126,-1.1277643,0.3826272,0.2809819,0.1016453
40,1.4112753,1.6830661,"('stingy', 'generous')",0.41550183,0.37014073,-1.5751576,-1.3370159,0.0838732,0.2387304,-0.1548572
63,1.3833303,1.2905163,"('unperceptive', 'insightful')",0.76668507,0.6728506,0.71855134,0.7947896,0.9561889,0.9193855,0.0368034
3,-1.3339545,-1.4032325,"('repellent', 'pleasant')",0.15332612,0.0031769183,0.13364877,0.064068384,-0.3489932,-0.445329,0.0963358
1,1.3061746,1.3469226,"('unfriendly', 'friendly')",0.6951728,0.7061462,1.6521682,1.8519745,1.2178386,1.3016811,-0.0838425
55,-1.2877367,-1.2452725,"('incompetent', 'clever')",-0.20402662,-0.40475783,-0.46827462,-0.4097194,-0.6533459,-0.6865833,0.0332374
24,1.2447064,1.2143242,"('dishonest', 'honest')",0.7709235,0.70823455,0.37879917,0.4178671,0.798143,0.780142,0.018001
79,1.2429876,1.3489383,"('wavering', 'unwavering')",-0.5850865,-0.4640743,0.38183123,0.41051817,0.3465774,0.4317941,-0.0852167
45,-1.2385293,-1.3022194,"('incompetent', 'competent')",-0.41896692,-0.5708607,-0.44593817,-0.40155652,-0.7011448,-0.7582122,0.0570674
27,1.1898297,1.166,"('hardhearted', 'softhearted')",0.4645179,0.5160558,1.8547815,1.8013955,1.1697097,1.1611505,0.0085592
59,1.1646383,1.2804198,"('foolish', 'wise')",0.7644409,0.83377784,0.65100074,0.69267356,0.8600267,0.9356238,-0.0755971
84,1.1381747,1.0653107,"('inferior', 'superior')",0.22124536,0.21125026,0.7353992,0.83354723,0.6982731,0.7033695,-0.0050964
0,-1.1087772,-1.1615314,"('unsociable', 'sociable')",-0.23105794,-0.40635094,-0.835292,-0.76017815,-0.7250423,-0.7760202,0.0509779
5,1.0908076,1.1867048,"('distant', 'outgoing')",-0.18264191,-0.06502897,-0.07775951,-0.0055338405,0.276802,0.3720473,-0.0952453
26,1.0889419,1.2597567,"('hardhearted', 'benevolent')",0.6593368,0.78938866,1.4168434,1.5843071,1.0550407,1.2111508,-0.1561101
6,1.0842175,1.3283639,"('distant', 'open')",-0.666602,-0.5189456,0.4772181,0.5498528,0.2982779,0.4530903,-0.1548124
54,1.0664306,0.8684472,"('incapable', 'capable')",-0.1850898,-0.18952394,1.0259513,1.0170751,0.635764,0.5653328,0.0704312
14,-1.0598735,-0.97429377,"('antisocial', 'social')",0.63258463,0.60148066,-1.1258311,-1.0555708,-0.5177066,-0.476128,-0.0415786
68,-1.0334196,-1.006755,"('dependent', 'independent')",-0.12986343,-0.088411495,-0.43931288,-0.4671803,-0.5341986,-0.5207822,-0.0134164
73,1.0293528,1.2531598,"('helpless', 'self-reliant')",1.312639,1.4443716,-3.0185661,-2.8656995,-0.2255247,-0.0560561,-0.1694686
33,0.9721075,1.1307783,"('wrong', 'right')",1.1179599,1.1228585,-0.40735593,-0.2990792,0.5609038,0.6515192,-0.0906154
82,-0.9599267,-1.080702,"('poor', 'rich')",-0.26352948,-0.2380403,5.880493,5.6888824,1.5523456,1.4567134,0.0956322
7,0.95203334,0.80374223,"('insensitive', 'sensitive')",1.1619258,1.1093968,0.6809162,0.684291,0.931625,0.8658101,0.0658149
25,0.82836777,0.95180434,"('egoistic', 'altruistic')",0.87393236,1.0474582,1.6826743,1.879004,1.1283248,1.2927555,-0.1644307
22,-0.81965595,-0.9006679,"('untrustworthy', 'trustworthy')",-0.63409907,-0.77898365,-1.0271648,-0.9456086,-0.8269733,-0.8750867,0.0481134
37,0.8057356,0.72887427,"('fake', 'genuine')",0.34650332,0.35724887,0.42602196,0.51461416,0.5260869,0.5335791,-0.0074922
81,-0.78679967,-0.89513695,"('submissive', 'aggressive')",1.6033635,1.3242781,-0.9972869,-1.0694945,-0.060241,-0.2134511,0.1532101
80,0.7376969,0.5479816,"('dominated', 'dominating')",0.33473742,0.1316475,-1.131281,-1.1493365,-0.0196156,-0.1565691,0.1369535
17,-0.7187537,-0.5993162,"('nasty', 'nice')",-0.8753084,-0.8700132,-0.45442116,-0.41390622,-0.6828278,-0.6277452,-0.0550826
86,0.6964236,0.44542003,"('uninfluential', 'influential')",0.90611094,0.7817405,-0.3252985,-0.29094067,0.4257453,0.3120733,0.113672
50,0.68452144,0.69251,"('clumsy', 'skillful')",-0.23355052,-0.24435249,0.47652507,0.46824956,0.3091653,0.305469,0.0036963
32,0.6553529,0.6603679,"('unkind', 'kind')",0.21473563,0.16186175,0.6268761,0.6852217,0.4989882,0.5024838,-0.0034956
75,0.6284594,0.7320274,"('meek', 'impulsive')",-0.059259113,0.067640334,-0.09208352,-0.08438398,0.1590389,0.2384279,-0.079389
69,0.5548195,0.6508846,"('lazy', 'industrious')",0.7175225,0.8302045,-0.06279654,0.058269843,0.4031818,0.5131197,-0.1099379
49,-0.53266764,-0.6709703,"('unable', 'able')",-0.04269842,-0.08186958,-0.23472425,-0.23397118,-0.2700301,-0.328937,0.0589069
19,0.528149,0.60427064,"('inhospitable', 'hospitable')",-0.86048925,-0.6963117,-0.031230599,0.083901376,-0.1211903,-0.0027132,-0.1184771
70,0.52233624,0.33170822,"('lethargic', 'energetic')",0.57554317,0.43876612,0.5507024,0.48239034,0.5495272,0.4176215,0.1319057
77,0.5121971,0.33588207,"('unmotivated', 'motivated')",0.90959346,0.7762887,-1.1955547,-1.1683629,0.075412,-0.0187307,0.0941427
4,-0.45199353,-0.052771483,"('disliked', 'liked')",0.391123,0.49864283,-6.4791965,-6.0631194,-2.1800224,-1.872416,-0.3076064
78,0.42736438,0.33278334,"('nonresilient', 'resilient')",0.3777983,0.2376655,0.16403723,0.16570795,0.3230666,0.2453856,0.077681
60,-0.37609908,-0.54481107,"('inefficient', 'efficient')",2.0078218,1.8464136,-0.31167436,-0.37438178,0.4400161,0.3090736,0.1309425
61,0.369008,0.33773702,"('illogical', 'logical')",1.2453291,1.1974359,0.10674968,0.11352564,0.5736956,0.5495662,0.0241294
2,0.36418718,0.4098646,"('unlikable', 'likable')",1.1060804,1.0873224,0.5644733,0.6862525,0.678247,0.7278131,-0.0495661
47,-0.3593021,-0.46529332,"('stupid', 'smart')",0.5728678,0.55296177,5.3415365,5.143524,1.8517008,1.7437309,0.1079699
88,0.31726778,0.2902468,"('low', 'eminent')",-0.1373523,-0.2493902,0.08505209,0.15402983,0.0883225,0.0649621,0.0233604
30,0.29255432,0.30612162,"('intolerant', 'tolerant')",1.0449771,1.016095,0.79586625,0.8626284,0.7111325,0.7282817,-0.0171492
62,-0.28654754,-0.46255505,"('incompetent', 'brilliant')",0.670496,0.47104797,-0.23147169,-0.2784399,0.0508256,-0.0899823,0.1408079
18,0.2667536,0.29666358,"('disagreeable', 'welcoming')",-0.8226541,-0.8375791,-0.3452537,-0.32539266,-0.3003847,-0.2887694,-0.0116153
21,0.26400393,0.24340099,"('immoral', 'moral')",1.4432667,1.3272921,-0.90618265,-0.8307068,0.2670293,0.2466621,0.0203672
10,0.24793854,0.22705826,"('unsympathetic', 'sympathetic')",-0.24987271,-0.47123423,-0.53936094,-0.60747975,-0.1804317,-0.2838852,0.1034535
36,0.23403952,0.41612017,"('hostile', 'amicable')",-0.8519891,-0.62728935,0.39661697,0.604443,-0.0737775,0.1310913,-0.2048688
38,0.22167212,0.3642291,"('untruthful', 'truthful')",0.40490958,0.34558254,-0.18036695,-0.14104019,0.1487382,0.1895905,-0.0408523
48,-0.22098158,-0.30565342,"('unintelligent', 'intelligent')",1.3831477,1.268776,0.22182032,0.26187778,0.4613288,0.4083335,0.0529953
51,0.22064616,0.3108133,"('uneducated', 'educated')",-0.13137564,-0.17450339,0.091864385,0.063102424,0.0603783,0.0664708,-0.0060925
64,-0.19725382,-0.18569829,"('shy', 'confident')",0.96456844,0.86629885,-6.554213,-6.288183,-1.9289662,-1.8691942,-0.059772
28,0.18845183,0.26290643,"('disloyal', 'loyal')",-0.06475753,-0.21299186,0.73375726,0.75959456,0.2858172,0.2698364,0.0159808
11,-0.17911194,-0.2759287,"('unhelpful', 'helpful')",0.54867494,0.3490411,1.5592594,1.4546535,0.6429408,0.5092553,0.1336855
67,0.17644377,0.38684028,"('doubtful', 'determined')",-0.4018698,-0.39367428,-0.71407247,-0.62872326,-0.3131662,-0.2118524,-0.1013138
23,0.1657643,0.03623623,"('insincere', 'sincere')",0.27927503,0.11798586,5.454528,5.141315,1.9665224,1.765179,0.2013434
31,0.15650032,0.41964248,"('evil', 'good')",-1.2472774,-1.1223145,-0.7487716,-0.68433094,-0.6131829,-0.4623343,-0.1508486
41,-0.1482831,0.14507055,"('unforgiving', 'forgiving')",-0.60157466,-0.7323991,-0.16011332,-0.030527214,-0.3033237,-0.2059519,-0.0973718
83,0.14419582,0.14341927,"('powerless', 'powerful')",1.0305073,1.0579456,-1.2282863,-1.2160022,-0.017861,-0.0048791,-0.0129819
57,0.13552527,0.19517551,"('unimaginative', 'imaginative')",0.99575925,0.8633094,-2.546555,-2.3925617,-0.4717569,-0.4446923,-0.0270646
20,-0.13192165,-0.18999183,"('rough', 'thoughtful')",-0.013307925,0.019057551,1.0201732,1.1329029,0.2916479,0.3206562,-0.0290083
15,-0.11976874,0.07739492,"('boring', 'funny')",-0.4220787,-0.34661004,0.10808584,0.24289931,-0.1445872,-0.0087719,-0.1358153
