,corning_male,corning_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-1.52759,-1.4018254,"('hostile', 'amicable')",-0.046423133,0.13715053,-0.7870066,-0.6323375,-0.1546691
53,-1.442877,-1.2272489,"('uncreative', 'creative')",0.5432049,0.6369823,-0.4498361,-0.2951333,-0.1547028
1,-1.4404367,-1.4334229,"('unfriendly', 'friendly')",2.0914931,2.0843883,0.3255282,0.3254827,4.55e-05
31,-1.4326085,-1.2851143,"('evil', 'good')",-0.6770339,-0.5098725,-1.0548213,-0.8974934,-0.1573279
39,1.1854565,0.9878689,"('exploitative', 'cooperative')",-0.11677077,-0.032914262,0.5343429,0.4774773,0.0568656
6,-1.1197364,-0.93085605,"('distant', 'open')",0.30839515,0.4933708,-0.4056706,-0.2187426,-0.186928
88,-1.097988,-1.0756248,"('low', 'eminent')",0.42855424,0.32099217,-0.3347169,-0.3773163,0.0425994
42,1.084809,0.9128823,"('unreliable', 'reliable')",-3.0612712,-3.2778637,-0.9882311,-1.1824907,0.1942596
5,-1.043413,-0.85972667,"('distant', 'outgoing')",-0.04898093,0.16551581,-0.546197,-0.3471054,-0.1990916
60,1.0393395,1.0164943,"('inefficient', 'efficient')",0.08348817,-0.18083942,0.5614139,0.4178274,0.1435865
16,-0.97480005,-0.8491527,"('unpopular', 'popular')",0.1678473,0.21864918,-0.4034764,-0.3152518,-0.0882246
80,0.91164947,0.913666,"('dominated', 'dominating')",-1.1770272,-1.4048786,-0.1326889,-0.2456063,0.1129174
70,0.8313873,0.88198215,"('lethargic', 'energetic')",0.613303,0.44757172,0.7223451,0.6647769,0.0575682
56,0.82488865,0.7705585,"('impractical', 'practical')",-0.37923628,-0.4160808,0.2228262,0.1772388,0.0455874
30,0.82194626,0.74688596,"('intolerant', 'tolerant')",1.2503191,1.1121719,1.0361327,0.929529,0.1066037
62,0.8206305,0.8933382,"('incompetent', 'brilliant')",0.39933723,0.3923981,0.6099839,0.6428682,-0.0328843
73,0.78593946,1.073864,"('helpless', 'self-reliant')",-2.7306936,-2.4834378,-0.9723771,-0.7047869,-0.2675902
37,0.77118677,0.6864609,"('fake', 'genuine')",0.6264211,0.56928766,0.6988039,0.6278743,0.0709296
35,-0.7522556,-0.46275654,"('corrupt', 'incorrupt')",-0.30159557,-0.0593931,-0.5269256,-0.2610748,-0.2658508
