,american_male,american_female,tuple,electric_male,electric_female,power_male,power_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
77,-1.4996922,-1.3002139,"('unmotivated', 'motivated')",-1.492494,-1.565256,-0.5458819,-0.49504274,-1.2522238,-1.3215203,-1.589028,-1.5339258,-1.2758639,-1.2431917,-0.0326722
16,-1.4079201,-1.328748,"('unpopular', 'popular')",0.05822156,0.066610545,-0.3633799,-0.36261845,-0.68846583,-0.60561866,0.49812508,0.6190855,-0.3806839,-0.3222578,-0.0584261
26,1.404514,1.2611965,"('hardhearted', 'benevolent')",2.0185902,1.7625569,1.6707633,1.4111981,2.3864553,2.2876887,1.9872614,1.642243,1.8935169,1.6729767,0.2205402
73,1.334591,1.289263,"('helpless', 'self-reliant')",1.5206426,1.3582355,1.0016022,0.7963073,0.7757127,0.93700415,-3.4369607,-3.4607449,0.2391175,0.1840131,0.0551044
66,1.3287835,1.2244973,"('inactive', 'active')",0.24641584,0.18866034,0.02124437,-0.10505599,0.44812495,0.35888866,1.372322,1.1429701,0.6833781,0.5619921,0.121386
40,1.2439388,1.234731,"('stingy', 'generous')",0.7277447,0.684813,0.17648993,0.17863125,0.14286292,0.2052616,-1.4049448,-1.3779573,0.1772183,0.1850959,-0.0078776
0,-1.2291547,-0.9713722,"('unsociable', 'sociable')",-2.1497715,-2.2355738,-1.2560674,-1.3266281,-0.4371427,-0.4791111,-0.73227143,-0.6575434,-1.1608816,-1.1340458,-0.0268358
29,-1.2221456,-1.1168739,"('unfair', 'fair')",-0.3501587,-0.32003212,-0.11795006,-0.008396849,-1.0414402,-0.90108335,-0.40704438,-0.4263841,-0.6277478,-0.5545541,-0.0731937
49,-1.0883442,-0.94958955,"('unable', 'able')",-0.8679524,-0.6847453,-0.4103603,-0.24460554,-1.3207916,-1.1581982,-0.4925237,-0.08602436,-0.8359944,-0.6246325,-0.2113619
36,-1.0774319,-1.4319797,"('hostile', 'amicable')",0.8441513,0.490627,-0.033419028,-0.22029261,0.120664045,-0.24269766,0.72831047,0.32312563,0.116455,-0.2162435,0.3326985
12,1.0295484,1.2914612,"('unsupportive', 'supportive')",0.014241777,-0.0043372363,0.52930737,0.5287117,-0.850135,-0.7090908,-1.646946,-1.6149276,-0.1847967,-0.1016366,-0.0831601
47,-1.0059545,-0.83256274,"('stupid', 'smart')",-0.9892779,-0.86731136,-0.16928959,-0.050032705,0.39225417,0.5123609,5.346892,5.698789,0.7149248,0.8922486,-0.1773238
51,0.97779655,1.1595219,"('uneducated', 'educated')",-0.2687185,-0.28094333,-0.5021391,-0.6166003,0.16683678,-0.0647273,0.8634877,0.747455,0.2474527,0.1889412,0.0585115
78,-0.91977185,-0.737359,"('nonresilient', 'resilient')",-0.61850274,-0.5985275,0.16431394,0.26821736,-0.27948806,-0.21445964,0.05497437,0.2077609,-0.3196949,-0.2148736,-0.1048213
27,0.89114875,0.7941495,"('hardhearted', 'softhearted')",-0.17967722,-0.11379254,-0.063045934,-0.060670424,-0.17507124,-0.14682043,1.7078961,1.8014141,0.4362501,0.4548561,-0.018606
24,0.7946668,0.96451855,"('dishonest', 'honest')",-1.3013911,-1.106733,-0.9430134,-0.8104226,-0.98013127,-0.7880924,1.2260059,1.380846,-0.2407727,-0.0719767,-0.168796
60,-0.78542686,-0.30530754,"('inefficient', 'efficient')",-1.459241,-1.2069011,-0.7678355,-0.5705414,-1.4113686,-1.181029,-0.60925174,-0.36785144,-1.0066248,-0.726326,-0.2802988
80,0.7838699,0.9421486,"('dominated', 'dominating')",-0.08445251,0.028135814,0.40072608,0.39393955,0.89045495,0.8778737,-1.2290822,-1.172547,0.1523032,0.2139101,-0.0616069
48,0.74906635,0.82868934,"('unintelligent', 'intelligent')",-0.44185498,-0.508359,-0.31694928,-0.3957559,-1.0447321,-1.285514,0.45655775,0.39461422,-0.1195825,-0.1932651,0.0736826
45,-0.74349177,-0.4633445,"('incompetent', 'competent')",-2.3481295,-2.259302,-1.5428004,-1.3820217,-1.887821,-1.7483491,-0.7422547,-0.8715888,-1.4528995,-1.3449212,-0.1079783
62,-0.7398234,-0.31685877,"('incompetent', 'brilliant')",-1.4767766,-1.289041,-0.6233613,-0.45553684,-1.6691262,-1.3759332,-0.32009318,0.032229178,-0.9658361,-0.6810281,-0.284808
39,0.73885137,0.68691397,"('exploitative', 'cooperative')",-0.8409865,-0.81967974,-0.60081136,-0.5674019,0.56483746,0.63170063,0.23669821,0.28916413,0.0197178,0.0441394,-0.0244216
31,-0.7288597,-0.80447,"('evil', 'good')",0.74820703,0.70056593,0.26919046,0.28789544,0.16212167,0.1986011,-0.9197555,-0.81550467,-0.0938192,-0.0865824,-0.0072368
83,-0.71449435,-0.63441575,"('powerless', 'powerful')",0.47178984,0.50553274,1.044745,1.0650986,-0.81158006,-0.7018794,-1.3125774,-1.2696015,-0.2644234,-0.207053,-0.0573704
88,0.6589703,0.5296295,"('low', 'eminent')",-0.3123919,-0.45046565,-0.19503897,-0.30910632,-0.07329898,-0.3384505,0.5021214,0.30632305,0.1160724,-0.052414,0.1684864
72,0.6504717,0.6763215,"('unambitious', 'ambitious')",0.33005872,0.36909276,0.8122677,0.787515,-0.7361847,-0.70524436,-0.8873005,-0.69118124,0.0338626,0.0873007,-0.0534381
74,0.6454979,0.8474375,"('undedicated', 'dedicated')",-0.6920175,-0.7613688,-0.03805349,-0.049717195,-0.25359464,-0.20894808,0.41785052,0.12650473,0.0159366,-0.0092184,0.025155
22,-0.59215665,-0.406896,"('untrustworthy', 'trustworthy')",-1.6918341,-1.6776434,-1.4388207,-1.4058623,-0.265337,-0.1057847,-1.1106569,-1.0095317,-1.0197611,-0.9211436,-0.0986175
1,-0.5805003,-0.53317094,"('unfriendly', 'friendly')",-0.40913367,-0.61775225,0.48689282,0.33122385,-0.2366367,-0.18150142,2.2674823,2.486608,0.3056209,0.2970814,0.0085395
64,0.54117745,0.48276633,"('shy', 'confident')",-0.2939355,-0.36092347,-0.17068824,-0.22957839,0.39633545,0.32241523,-6.7366056,-7.231195,-1.2527433,-1.4033031,0.1505598
11,0.530246,0.76878166,"('unhelpful', 'helpful')",-1.0233414,-1.0312024,-0.5065216,-0.4998247,-0.6202032,-0.5317663,2.071868,2.1275823,0.0904096,0.1667141,-0.0763045
3,-0.52010643,-0.5107615,"('repellent', 'pleasant')",-1.3053321,-1.3016727,-0.6915773,-0.5962306,0.81614995,0.70630085,0.40974006,0.39992717,-0.2582252,-0.2604873,0.0022621
8,-0.51538694,-0.5239294,"('unaffectionate', 'affectionate')",-0.38947693,-0.46329662,-0.48616746,-0.5185338,-1.243612,-1.2268981,0.95257336,1.3010269,-0.336414,-0.2863262,-0.0500878
5,-0.51078,-0.5240281,"('distant', 'outgoing')",0.86308277,0.7242655,0.7413784,0.70946056,-0.44604915,-0.32364812,-0.36973542,-0.0070597157,0.0555793,0.115798,-0.0602187
81,0.51057833,0.70487034,"('submissive', 'aggressive')",-0.902899,-0.9588992,-0.39468002,-0.45380032,-0.22597046,-0.22502944,-1.0518456,-1.1299187,-0.4129633,-0.4125555,-0.0004078
34,-0.505466,-0.42835256,"('mean', 'honorable')",-0.813885,-0.73123485,-0.8053776,-0.7690769,-0.26564348,-0.11965528,6.0868716,6.389558,0.7392999,0.8682476,-0.1289477
13,-0.47585008,-0.17816079,"('impolite', 'polite')",-1.0562156,-0.75626004,-0.9304266,-0.7695292,-0.30738693,-0.18864834,-0.26063994,-0.16898312,-0.6061038,-0.4123163,-0.1937875
28,0.46037105,0.5795448,"('disloyal', 'loyal')",-1.211535,-1.261766,-0.43861693,-0.43647614,-0.75723916,-0.96109885,1.2838634,1.1312983,-0.1326313,-0.1896996,0.0570683
58,0.45780212,0.44479272,"('undiscriminating', 'discriminating')",0.14778164,-0.12205623,0.90290457,0.67541957,0.61467683,0.41827646,0.3403478,0.16815487,0.4927026,0.3169175,0.1757851
30,-0.44931972,-0.1959587,"('intolerant', 'tolerant')",-1.4255837,-1.4555312,-0.7649447,-0.8893657,0.27534533,0.21123035,0.8361549,0.920879,-0.3056696,-0.2817493,-0.0239203
