,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,male-female
45,-2.3986049,-2.7651641,"('incompetent', 'competent')",-2.9391522,-2.7690482,-1.0236365,-0.6415237,-2.1204645,-2.0585787,-0.0618858
70,-2.2857115,-2.2956908,"('lethargic', 'energetic')",-2.262419,-2.0837677,-0.03130107,0.496508,-1.5264772,-1.2943168,-0.2321604
85,2.238771,2.2694292,"('insignificant', 'prestigious')",2.781687,2.6626394,0.9250557,0.19468907,1.9818379,1.7089194,0.2729185
81,-1.9321343,-2.348902,"('submissive', 'aggressive')",-2.484989,-2.6527727,-0.8767142,-0.6213591,-1.7646125,-1.8743445,0.109732
82,-1.9237804,-2.0135753,"('poor', 'rich')",-1.4789277,-1.3396819,5.2459483,5.8481765,0.6144134,0.8316398,-0.2172264
64,-1.8359144,-1.816896,"('shy', 'confident')",-1.3298059,-1.1654899,-6.488404,-6.7660227,-3.2180414,-3.2494694,0.031428
46,-1.786071,-1.8093221,"('uncompetitive', 'competitive')",-2.5734065,-2.1965802,-1.0036476,-0.54902786,-1.7877083,-1.5183101,-0.2693982
63,-1.7799946,-1.8082806,"('unperceptive', 'insightful')",-2.209822,-2.0730677,0.37525696,0.81445915,-1.2048532,-1.0222963,-0.1825569
42,-1.6815472,-1.8475128,"('unreliable', 'reliable')",-1.9129866,-1.6958643,-3.1684625,-3.0549817,-2.2543322,-2.199453,-0.0548792
57,-1.635781,-1.9239757,"('unimaginative', 'imaginative')",-2.0136375,-1.9653437,-2.4359946,-2.6943078,-2.028471,-2.1945424,0.1660714
43,-1.5979174,-1.5769467,"('irresponsible', 'responsible')",-3.2331698,-3.215407,-0.6024374,-0.31693512,-1.8111749,-1.7030962,-0.1080787
55,-1.5277112,-1.5562205,"('incompetent', 'clever')",-2.491814,-2.4263287,-0.24102697,0.2142625,-1.420184,-1.2560956,-0.1640884
39,1.5118319,1.3561314,"('exploitative', 'cooperative')",0.6967609,0.45712918,0.39747217,0.13498178,0.8686883,0.6494141,0.2192742
71,1.5028728,1.5413487,"('diffident', 'self-confident')",1.2838796,1.3423184,0.66193986,0.67715245,1.1495641,1.1869398,-0.0373757
68,-1.4815967,-1.445856,"('dependent', 'independent')",-1.2987337,-1.1688198,-0.6376865,-0.3899733,-1.139339,-1.0015497,-0.1377893
56,-1.4670515,-1.7608578,"('impractical', 'practical')",-2.4455729,-2.4273984,-0.62469697,-0.39348,-1.5124404,-1.5272454,0.014805
87,-1.4344757,-1.3353744,"('unsuccessful', 'successful')",-0.37118188,-0.04758279,0.31606504,0.6789033,-0.4965308,-0.2346846,-0.2618462
51,-1.4187669,-1.532217,"('uneducated', 'educated')",-0.81704175,-0.72626024,0.5403193,0.73871565,-0.5651631,-0.5065872,-0.0585759
22,-1.3862984,-1.5020428,"('untrustworthy', 'trustworthy')",-2.024885,-1.9125137,-1.2513893,-1.1073871,-1.554191,-1.5073145,-0.0468765
76,-1.3561538,-1.5662283,"('anxious', 'daring')",-1.8114262,-1.6749362,0.26042193,0.5096256,-0.9690527,-0.9105129,-0.0585398
9,1.2844816,1.4441323,"('unaffectionate', 'caring')",0.6383996,0.71848774,1.0208989,0.95048094,0.9812601,1.0377003,-0.0564402
84,1.2705663,1.2959836,"('inferior', 'superior')",1.251803,1.3371329,1.0033514,0.8522836,1.1752403,1.1618001,0.0134402
83,1.2448279,1.2664158,"('powerless', 'powerful')",0.6413143,0.6562563,-0.659431,-0.40371224,0.4089038,0.50632,-0.0974162
10,-1.2407438,-1.4495296,"('unsympathetic', 'sympathetic')",-3.6707888,-3.622159,-0.6246374,-0.124723844,-1.84539,-1.7321375,-0.1132525
80,-1.1487868,-1.1021174,"('dominated', 'dominating')",-1.3583344,-1.0417618,-1.405017,-0.7652636,-1.304046,-0.9697142,-0.3343318
62,-1.130194,-1.2871547,"('incompetent', 'brilliant')",-1.8913321,-1.8168713,-0.523738,-0.07290373,-1.1817547,-1.0589765,-0.1227782
