,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.8094965,-1.9714792,"('unsympathetic', 'sympathetic')",-0.67564845,-0.91730595,-0.69233686,-0.8453328,-1.0591606,-1.244706,0.1855454
57,-1.7782128,-1.9604332,"('unimaginative', 'imaginative')",-0.48503426,-0.6641142,-2.447434,-2.4195244,-1.570227,-1.6813574,0.1111304
69,1.5163002,1.6769027,"('lazy', 'industrious')",1.6039274,1.7678463,-0.22057591,-0.09613405,0.9665506,1.116205,-0.1496544
3,-1.4759454,-1.3630947,"('repellent', 'pleasant')",-0.32240716,-0.29411545,0.02696046,-0.0058279503,-0.590464,-0.554346,-0.036118
77,-1.39616,-1.0503376,"('unmotivated', 'motivated')",-0.2907294,-0.17982285,-1.1542041,-0.97819567,-0.9470312,-0.7361186,-0.2109126
86,-1.3866762,-1.5858302,"('uninfluential', 'influential')",-0.000614278,-0.19257288,-0.57872236,-0.6716571,-0.6553376,-0.8166867,0.1613491
70,-1.3632119,-1.3563174,"('lethargic', 'energetic')",0.24061576,0.1768381,0.49745214,0.5817329,-0.2083813,-0.1992488,-0.0091325
53,-1.3619841,-1.2197229,"('uncreative', 'creative')",-0.39777344,-0.31340995,0.6650785,0.7662208,-0.364893,-0.2556373,-0.1092557
82,-1.2119107,-1.0391245,"('poor', 'rich')",-0.9451766,-0.76634306,5.4134216,5.2915,1.0854448,1.1620108,-0.076566
33,1.1697195,1.1292393,"('wrong', 'right')",0.6336565,0.6028273,-0.34165585,-0.32074264,0.48724,0.4704413,0.0167987
14,-1.0234609,-1.3939636,"('antisocial', 'social')",0.82332355,0.49676672,-0.808092,-0.98949265,-0.3360764,-0.6288965,0.2928201
59,1.0226356,0.991156,"('foolish', 'wise')",0.32902935,0.26753852,0.8087611,0.7521566,0.720142,0.6702837,0.0498583
72,-0.98665816,-1.0698874,"('unambitious', 'ambitious')",0.13583356,0.047628917,-0.91148037,-0.9535003,-0.587435,-0.6585863,0.0711513
71,0.9648626,1.1672498,"('diffident', 'self-confident')",0.75884223,0.83607394,0.55161244,0.55714965,0.7584391,0.8534911,-0.095052
43,-0.9360399,-0.840184,"('irresponsible', 'responsible')",0.46629682,0.38070825,0.32040483,0.36521417,-0.0497794,-0.0314205,-0.0183589
35,0.89169776,0.95328194,"('corrupt', 'incorrupt')",-0.7476944,-0.63543105,-0.44862133,-0.49085677,-0.1015393,-0.0576686,-0.0438707
21,-0.88885,-0.9498961,"('immoral', 'moral')",0.17006257,-0.046870522,-0.96907,-1.1187961,-0.5626191,-0.7051876,0.1425685
65,-0.88049865,-1.2667909,"('insecure', 'secure')",0.31053007,0.10375321,-0.19418854,-0.271437,-0.254719,-0.4781582,0.2234392
34,-0.8588353,-0.6252632,"('mean', 'honorable')",0.23541586,0.39278504,5.461563,5.352669,1.6127146,1.7067302,-0.0940156
7,-0.8499219,-0.8580143,"('insensitive', 'sensitive')",-0.018593773,-0.14753965,0.46002364,0.37627855,-0.136164,-0.2097585,0.0735945
51,-0.81431913,-0.8926654,"('uneducated', 'educated')",0.52729887,0.41288954,0.24168125,0.17825562,-0.015113,-0.1005067,0.0853937
0,-0.7987037,-1.158964,"('unsociable', 'sociable')",0.04322169,-0.32549146,-0.41534334,-0.7911004,-0.3902751,-0.7585186,0.3682435
39,0.7972939,0.90264076,"('exploitative', 'cooperative')",0.8069329,0.9229942,-0.11230701,0.09496836,0.4973066,0.6402011,-0.1428945
28,-0.7673748,-0.7186607,"('disloyal', 'loyal')",-0.51623064,-0.5257833,0.34866476,0.3862053,-0.3116469,-0.2860796,-0.0255673
36,-0.7657919,-0.8129248,"('hostile', 'amicable')",-0.45371556,-0.37213546,-0.13014673,-0.20438282,-0.4498847,-0.4631477,0.013263
81,-0.75458616,-1.0405914,"('submissive', 'aggressive')",0.956134,0.602074,-0.4493518,-0.66173947,-0.0826013,-0.3667523,0.284151
63,-0.730988,-0.5900108,"('unperceptive', 'insightful')",1.0176344,0.8506369,1.1205745,0.99603665,0.4690736,0.4188876,0.050186
55,-0.7255411,-1.035115,"('incompetent', 'clever')",-0.5414645,-0.84950525,-0.31281492,-0.4416054,-0.5266069,-0.7754085,0.2488016
58,-0.7225656,-0.8720915,"('undiscriminating', 'discriminating')",0.1444087,0.03281641,-0.19639936,-0.19761823,-0.2581854,-0.3456311,0.0874457
40,-0.7161522,-0.7291466,"('stingy', 'generous')",-0.20378974,-0.2822635,-1.5637636,-1.671776,-0.8279018,-0.8943954,0.0664936
46,-0.7082169,-0.5608407,"('uncompetitive', 'competitive')",0.26252162,0.32814294,-0.6357837,-0.6084321,-0.360493,-0.2803766,-0.0801164
13,-0.6947872,-0.57587713,"('impolite', 'polite')",0.75612813,0.70238113,-0.06714982,-0.22300833,-0.0019363,-0.0321681,0.0302318
84,0.6490482,0.56535447,"('inferior', 'superior')",0.6751031,0.5837628,0.8974249,0.90832686,0.7405254,0.6858147,0.0547107
45,-0.6441674,-0.8095559,"('incompetent', 'competent')",0.033969704,-0.13548635,-0.47163653,-0.5808828,-0.3606114,-0.5086417,0.1480303
25,0.6388732,0.91047424,"('egoistic', 'altruistic')",0.38586,0.627198,1.3066012,1.4211572,0.7771115,0.9862765,-0.209165
