,american_male,american_female,tuple,international_male,international_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
0,-1.716209,-1.6392794,"('unsociable', 'sociable')",-1.7160594,-1.6090335,0.03960135,-0.10427259,-0.8286389,-0.5924168,-1.0553266,-0.9862506,-0.069076
73,1.6666374,1.458872,"('helpless', 'self-reliant')",1.0496448,1.1067275,0.035217594,0.1565156,-2.7215507,-2.9629297,0.0074873,-0.0602037,0.067691
45,-1.5400842,-1.8138182,"('incompetent', 'competent')",-1.0630792,-1.2684805,0.0010398254,-0.32317525,-0.46560186,-0.7677624,-0.7669314,-1.0433091,0.2763777
49,-1.4922851,-1.2733451,"('unable', 'able')",-1.2699025,-1.2086011,-1.3263857,-1.2860149,-0.37322605,-0.2446285,-1.1154499,-1.0031474,-0.1123025
77,-1.354892,-0.97164214,"('unmotivated', 'motivated')",-0.75598174,-0.5977243,0.10250935,0.12670752,-1.4046884,-1.1762626,-0.8532632,-0.6547304,-0.1985328
47,-1.3363913,-1.4754158,"('stupid', 'smart')",-0.5031124,-0.6450881,0.36437172,0.13867635,5.0848994,5.477436,0.9024419,0.8739021,0.0285398
29,-1.2840568,-1.3857102,"('unfair', 'fair')",-0.8294049,-0.8509868,-0.55259186,-0.81804615,-0.60709286,-0.9007316,-0.8182866,-0.9888687,0.1705821
53,-1.1912826,-1.1685822,"('uncreative', 'creative')",-0.8046018,-0.7999925,-0.85019183,-0.6066704,0.805014,0.67565787,-0.5102656,-0.4748968,-0.0353688
16,-1.1356125,-1.259652,"('unpopular', 'popular')",0.2514829,0.14609767,-0.3429227,-0.24278788,0.37958154,0.37798962,-0.2118677,-0.2445881,0.0327204
46,-1.1271774,-1.0883245,"('uncompetitive', 'competitive')",-0.80085504,-0.89237523,1.2714634,0.9706412,-0.5940329,-0.42700338,-0.3126505,-0.3592655,0.046615
78,-1.1219906,-1.0104129,"('nonresilient', 'resilient')",0.039278753,-0.18713668,0.9268188,0.72463465,0.19657552,0.12931426,0.0101706,-0.0859002,0.0960708
86,-1.1048785,-1.1022071,"('uninfluential', 'influential')",-0.9118922,-1.1071761,-0.22916606,-0.38452426,-0.24477431,-0.29685304,-0.6226778,-0.7226901,0.1000123
39,1.0832788,0.6201658,"('exploitative', 'cooperative')",0.8513441,0.17248634,1.6244502,1.0424275,0.3123359,0.18982565,0.9678522,0.5062263,0.4616259
62,-1.0576222,-1.0591955,"('incompetent', 'brilliant')",-0.20388214,-0.18501374,0.5917598,0.63005024,0.06742886,0.31064355,-0.1505789,-0.0758789,-0.0747
55,-1.0336423,-1.2779465,"('incompetent', 'clever')",-1.1655513,-1.6670973,0.7444704,0.49385858,-0.16014624,-0.07011046,-0.4037173,-0.6303239,0.2266066
66,1.0245084,0.59757715,"('inactive', 'active')",0.8899531,0.8057583,0.39334634,-0.16279195,0.9829327,0.3464408,0.8226851,0.3967461,0.425939
82,-0.99789464,-0.4604978,"('poor', 'rich')",-1.0580941,-0.83695924,-0.58809465,0.04896695,5.5528874,6.1689057,0.727201,1.230104,-0.502903
13,-0.9958714,-0.5080053,"('impolite', 'polite')",-0.3883647,-0.115865774,-0.08923744,-0.15082884,-0.4694097,0.050711334,-0.4857208,-0.1809971,-0.3047237
69,0.9905445,0.6420402,"('lazy', 'industrious')",2.4058576,2.4454403,0.31837422,0.34227785,-0.5688232,-1.0090312,0.7864883,0.6051818,0.1813065
57,-0.9765842,-1.0628023,"('unimaginative', 'imaginative')",-0.98550445,-1.0544372,-0.7910123,-0.8692609,-2.1567075,-2.5744126,-1.227452,-1.3902283,0.1627763
10,-0.9494623,-1.1499403,"('unsympathetic', 'sympathetic')",-2.041219,-2.44328,-0.6474302,-1.0391419,-0.48894477,-0.3507272,-1.031764,-1.2457724,0.2140084
14,-0.9475834,-1.2100782,"('antisocial', 'social')",0.18655461,-0.106793925,1.6054499,1.6631774,-0.6744943,-0.6624973,0.0424817,-0.079048,0.1215297
60,-0.9157148,-0.28564805,"('inefficient', 'efficient')",-0.7143305,-0.39142588,0.9544437,1.1340578,-0.45251104,0.31753412,-0.2820282,0.1936295,-0.4756577
26,0.8738368,0.120901756,"('hardhearted', 'benevolent')",1.9147314,1.0904992,1.3743341,0.95060235,1.7552377,1.2331568,1.479535,0.84879,0.630745
3,-0.87178725,-0.9143671,"('repellent', 'pleasant')",-0.73555064,-0.8364162,1.1438683,0.8326255,0.40167892,0.6174952,-0.0154477,-0.0751656,0.0597179
22,-0.8041194,-1.6466988,"('untrustworthy', 'trustworthy')",-0.4108974,-1.1965406,0.5947108,-0.05384369,-0.75286776,-1.2181613,-0.3432934,-1.0288111,0.6855177
40,0.7335318,0.10279522,"('stingy', 'generous')",0.27485687,-0.1496892,0.7086796,0.2996199,-0.9932404,-1.8788142,0.1809569,-0.4065221,0.587479
81,-0.69763535,-0.21424957,"('submissive', 'aggressive')",-0.5581517,-0.24513137,1.4322802,1.3863866,-0.515254,-0.068217546,-0.0846902,0.214697,-0.2993872
85,0.59210986,0.13771367,"('insignificant', 'prestigious')",0.83662146,0.6923729,-0.63459116,-0.5634384,0.47785506,-0.19566791,0.3179988,0.0177451,0.3002537
75,0.57960457,0.7665034,"('meek', 'impulsive')",0.8642163,1.2299407,-0.7215749,-0.4350164,-0.3776673,-0.5138584,0.0861447,0.2618923,-0.1757476
41,-0.577566,-0.6575648,"('unforgiving', 'forgiving')",-0.09941238,-0.07057684,0.7404591,0.826778,0.36250234,0.1328577,0.1064958,0.0578735,0.0486223
58,0.57667947,0.09802895,"('undiscriminating', 'discriminating')",0.49600595,0.10987467,0.9117633,0.65057933,0.4014597,0.06494326,0.5964772,0.2308566,0.3656206
32,-0.57154286,-0.45373848,"('unkind', 'kind')",-1.2793328,-1.1273966,0.16778395,0.20462354,1.1073287,1.1925149,-0.1439407,-0.0459991,-0.0979416
87,-0.5499922,-0.77986944,"('unsuccessful', 'successful')",0.6468121,0.08453981,1.3145396,0.77320063,1.1051313,0.7258011,0.6291227,0.200918,0.4282047
71,0.546957,0.5756169,"('diffident', 'self-confident')",0.25620335,0.47215348,0.10447059,0.2949342,0.34066957,0.197214,0.3120751,0.3849796,-0.0729045
61,-0.54067326,-0.5148811,"('illogical', 'logical')",-0.6528696,-0.84995884,-0.1309117,-0.31899422,0.09574851,0.03577842,-0.3071765,-0.4120139,0.1048374
56,-0.53909403,0.3751791,"('impractical', 'practical')",-0.07957358,0.821309,0.19917285,0.87108326,-0.410737,0.24100244,-0.2075579,0.5771434,-0.7847013
35,0.5215901,0.2601994,"('corrupt', 'incorrupt')",0.47960788,0.4128257,-1.726108,-1.5302166,-0.52115226,-0.83028287,-0.3115155,-0.4218686,0.1103531
18,0.51408076,0.5549296,"('disagreeable', 'welcoming')",0.95179474,1.068347,-0.49479592,-0.11118253,-0.23826538,-0.36660373,0.1832035,0.2863726,-0.1031691
30,-0.5011608,-0.26528627,"('intolerant', 'tolerant')",-0.45024353,-0.43634272,0.20534602,0.12927067,0.9263728,1.2363744,0.0450786,0.166004,-0.1209254
27,0.48959666,-0.10489287,"('hardhearted', 'softhearted')",-0.5294895,-1.3291832,-0.30278316,-0.91779345,1.5655053,0.83758605,0.3057073,-0.3785709,0.6842782
23,-0.4868416,-0.35698393,"('insincere', 'sincere')",-0.5841399,-0.76502466,0.3826353,0.2582673,5.7018795,6.243199,1.2533833,1.3448644,-0.0914811
79,0.47889352,0.675332,"('wavering', 'unwavering')",-0.011410449,0.63017356,-1.6667676,-1.252233,-0.07010768,-0.24140055,-0.3173481,-0.047032,-0.2703161
50,0.4786056,0.21919598,"('clumsy', 'skillful')",0.28992108,0.078097515,-0.29067338,-0.46145785,0.45802045,0.2766868,0.2339684,0.0281306,0.2058378
33,0.47440368,0.038488194,"('wrong', 'right')",1.5316786,1.0791227,0.12659284,-0.13411471,-0.24338695,-0.72697,0.472322,0.0641315,0.4081905
21,-0.46400136,-0.60912186,"('immoral', 'moral')",-0.53045523,-0.9272822,0.049568582,-0.025431085,-0.87891144,-0.6800731,-0.4559498,-0.5604771,0.1045273
8,-0.4516061,-0.4876122,"('unaffectionate', 'affectionate')",0.20196432,-0.23206836,-0.5667509,-0.5927427,0.68895686,0.30036408,-0.031859,-0.2530148,0.2211558
12,0.42275053,0.5662943,"('unsupportive', 'supportive')",-0.021559704,0.15353695,0.7335451,0.88508815,-1.4327421,-1.4782596,-0.0745015,0.031665,-0.1061665
2,0.4201183,0.40075973,"('unlikable', 'likable')",1.2844658,1.480227,1.6461023,1.6882825,0.87510806,0.8157661,1.0564487,1.0962589,-0.0398102
65,-0.41988948,-0.43345785,"('insecure', 'secure')",-0.7468679,-0.75670654,0.9287096,0.71485907,-0.1268246,0.21965367,-0.0912181,-0.0639129,-0.0273052
11,-0.39865062,-0.32123056,"('unhelpful', 'helpful')",-0.28696936,-0.45983106,-0.47080678,-0.52018344,1.8689464,2.1856365,0.1781299,0.2210979,-0.042968
5,-0.39517218,-0.03270313,"('distant', 'outgoing')",0.3537803,0.9515949,-1.4835904,-0.9154456,-0.29163823,-0.31631017,-0.4541551,-0.078216,-0.3759391
1,-0.38825122,-0.6573265,"('unfriendly', 'friendly')",0.44117194,0.07774876,-0.0991889,-0.30165303,2.0293262,1.5406698,0.4957645,0.1648598,0.3309047
