,johnson_male,johnson_female,tuple,&_male,&_female,average_male,average_female,male-female
69,2.0929463,2.3902376,"('lazy', 'industrious')",1.3657731,1.3538901,1.7293596,1.8720639,-0.1427043
81,-1.955607,-1.8900188,"('submissive', 'aggressive')",0.4337126,0.2526963,-0.7609472,-0.8186613,0.0577141
71,1.9485297,2.018687,"('diffident', 'self-confident')",0.74275875,0.86198753,1.3456442,1.4403373,-0.0946931
85,1.9459062,1.8334311,"('insignificant', 'prestigious')",1.0170869,1.0462801,1.4814966,1.4398556,0.041641
59,1.7564774,1.7705116,"('foolish', 'wise')",0.976677,0.958871,1.3665771,1.3646913,0.0018858
14,-1.6713247,-1.8088785,"('antisocial', 'social')",0.48873264,0.46003172,-0.5912961,-0.6744234,0.0831273
6,1.6510955,1.6513748,"('distant', 'open')",0.37708488,0.47190037,1.0140902,1.0616376,-0.0475474
21,-1.6351099,-1.6515343,"('immoral', 'moral')",0.41038585,0.6037681,-0.612362,-0.5238831,-0.0884789
82,-1.5956025,-1.591635,"('poor', 'rich')",-0.7842904,-0.655781,-1.1899464,-1.123708,-0.0662384
70,-1.5778172,-1.266034,"('lethargic', 'energetic')",-0.43024045,-0.21374595,-1.0040288,-0.73989,-0.2641388
35,1.5252246,1.2571948,"('corrupt', 'incorrupt')",0.31952375,0.12776376,0.9223741,0.6924793,0.2298948
84,1.5040487,1.4181535,"('inferior', 'superior')",0.7631392,0.76029646,1.1335939,1.0892251,0.0443688
10,-1.4563699,-1.2339026,"('unsympathetic', 'sympathetic')",-0.557315,-0.23206934,-1.0068424,-0.732986,-0.2738564
57,-1.4027768,-1.4598839,"('unimaginative', 'imaginative')",-1.0418397,-0.91830516,-1.2223083,-1.1890945,-0.0332138
33,1.3327619,1.3258198,"('wrong', 'right')",0.86156714,0.81361824,1.0971645,1.0697191,0.0274454
13,-1.2613266,-1.2373136,"('impolite', 'polite')",0.027086172,-0.20282389,-0.6171202,-0.7200688,0.1029486
20,-1.2613083,-1.2885693,"('rough', 'thoughtful')",-0.0056823976,0.13934533,-0.6334953,-0.574612,-0.0588833
45,-1.2583464,-1.4528614,"('incompetent', 'competent')",0.016976558,0.26248926,-0.6206849,-0.5951861,-0.0254988
36,1.1807649,1.0635967,"('hostile', 'amicable')",0.5624882,0.43758783,0.8716266,0.7505923,0.1210343
55,-1.1563766,-0.97738504,"('incompetent', 'clever')",-0.06309176,0.33531034,-0.6097342,-0.3210374,-0.2886968
86,-1.1558883,-1.1542579,"('uninfluential', 'influential')",-0.18495378,0.08981797,-0.6704211,-0.5322199,-0.1382012
66,-1.1472143,-0.712524,"('inactive', 'active')",1.0085548,1.2694957,-0.0693297,0.2784859,-0.3478156
51,-1.1382428,-1.2815317,"('uneducated', 'educated')",-0.20415519,-0.33845663,-0.671199,-0.8099942,0.1387952
73,1.1348747,0.94530314,"('helpless', 'self-reliant')",-0.05060356,-0.22121333,0.5421356,0.3620449,0.1800907
22,-1.1071697,-1.1900579,"('untrustworthy', 'trustworthy')",-0.34887952,-0.1625206,-0.7280246,-0.6762893,-0.0517353
49,-1.0628984,-1.1668261,"('unable', 'able')",-0.12258868,0.105404854,-0.5927435,-0.5307106,-0.0620329
25,1.0164664,1.0596628,"('egoistic', 'altruistic')",0.41794667,0.4065648,0.7172065,0.7331138,-0.0159073
43,-0.99844176,-0.7216584,"('irresponsible', 'responsible')",-0.33333212,-0.045895815,-0.6658869,-0.3837771,-0.2821098
1,0.99741364,0.6641608,"('unfriendly', 'friendly')",0.6027648,0.53533953,0.8000892,0.5997502,0.200339
31,0.9775187,0.7859064,"('evil', 'good')",0.28258824,0.26043364,0.6300535,0.52317,0.1068835
46,-0.9414068,-0.67392886,"('uncompetitive', 'competitive')",0.35374317,0.6994878,-0.2938318,0.0127795,-0.3066113
15,0.92160076,0.56089044,"('boring', 'funny')",1.2982256,1.1240976,1.1099132,0.842494,0.2674192
76,-0.91530234,-0.8662498,"('anxious', 'daring')",0.7235836,0.85431755,-0.0958594,-0.0059661,-0.0898933
62,-0.9140576,-0.9444638,"('incompetent', 'brilliant')",-0.08701897,-0.008679986,-0.5005383,-0.4765719,-0.0239664
18,-0.9017471,-1.2477648,"('disagreeable', 'welcoming')",0.51790696,0.48791122,-0.1919201,-0.3799268,0.1880067
