,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
64,-2.7840667,-2.8286002,"('shy', 'confident')",-1.1010418,-1.0371933,-7.136204,-6.959169,-3.6737709,-3.6083209,-0.06545
26,2.611468,2.751566,"('hardhearted', 'benevolent')",2.9781222,2.6616404,1.63377,1.5312903,2.4077867,2.3148321,0.0929546
44,-2.3074596,-2.4235044,"('prejudiced', 'unprejudiced')",-1.3785923,-1.3125073,-1.859213,-1.7943717,-1.8484216,-1.843461,-0.0049606
85,2.1958163,2.866307,"('insignificant', 'prestigious')",1.9052435,2.1620126,1.2856345,1.4389592,1.7955648,2.1557595,-0.3601947
22,-2.130421,-2.2068903,"('untrustworthy', 'trustworthy')",-1.2378421,-1.5282426,-2.024651,-2.1872861,-1.7976379,-1.9741397,0.1765018
9,2.115434,2.1913319,"('unaffectionate', 'caring')",0.83649623,0.7859055,1.7345555,1.5913041,1.5621618,1.5228472,0.0393146
25,2.0978944,2.5310903,"('egoistic', 'altruistic')",1.4840909,1.7242123,2.0170271,2.049707,1.8663375,2.1016698,-0.2353323
81,-2.0189865,-2.425767,"('submissive', 'aggressive')",-1.0620826,-1.2449796,-2.125194,-2.0993989,-1.735421,-1.9233818,0.1879608
45,-2.0095675,-2.0681098,"('incompetent', 'competent')",-0.81680804,-1.1680315,-1.390063,-1.588643,-1.4054794,-1.6082614,0.202782
79,1.8825995,2.1363733,"('wavering', 'unwavering')",0.80951416,0.7781113,0.45202425,0.47544152,1.048046,1.1299753,-0.0819293
65,-1.8407464,-2.1995425,"('insecure', 'secure')",-1.1377902,-1.3342118,-1.5992852,-1.7637762,-1.5259406,-1.7658436,0.239903
8,1.7520003,2.0213552,"('unaffectionate', 'affectionate')",1.4299902,1.4129889,1.8270403,1.5942303,1.6696769,1.6761915,-0.0065146
78,1.6815972,1.6151935,"('nonresilient', 'resilient')",0.92372596,0.9548667,1.5517075,1.584184,1.385677,1.3847481,0.0009289
71,1.6777928,1.8225442,"('diffident', 'self-confident')",0.31633615,0.19324988,0.2943077,0.3737836,0.7628122,0.7965259,-0.0337137
11,-1.6074202,-2.0983977,"('unhelpful', 'helpful')",-1.6755507,-1.9924457,1.3347186,1.193588,-0.6494174,-0.9657517,0.3163343
3,-1.6039783,-1.7509181,"('repellent', 'pleasant')",-1.230268,-1.1376337,0.53585374,0.6007498,-0.7661308,-0.7626007,-0.0035301
6,1.5760566,2.2903337,"('distant', 'open')",0.9496319,1.0827034,0.67086494,0.8091875,1.0655179,1.3940749,-0.328557
46,-1.5757885,-1.8106837,"('uncompetitive', 'competitive')",-0.93389094,-1.0278273,-0.82610047,-0.83007765,-1.1119266,-1.2228629,0.1109363
54,1.548117,1.6764039,"('incapable', 'capable')",1.4216977,1.4398214,1.3240772,1.3815646,1.4312973,1.4992633,-0.067966
68,-1.5274849,-1.465133,"('dependent', 'independent')",-1.5679712,-1.5876472,-1.7094642,-1.700169,-1.6016401,-1.5843164,-0.0173237
