,aetna_male,aetna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.6469742,-1.6037681,"('uncreative', 'creative')",0.7509249,0.67035985,-0.4480247,-0.4667041,0.0186794
10,-1.6354886,-1.382221,"('unsympathetic', 'sympathetic')",0.2850922,0.22885174,-0.6751982,-0.5766846,-0.0985136
86,-1.5755303,-1.6056032,"('uninfluential', 'influential')",-0.20008358,-0.21018328,-0.887807,-0.9078932,0.0200862
19,-1.4922006,-1.435266,"('inhospitable', 'hospitable')",-0.41266555,-0.2908715,-0.9524331,-0.8630688,-0.0893643
1,-1.39749,-1.7457563,"('unfriendly', 'friendly')",0.96482116,0.96539176,-0.2163344,-0.3901823,0.1738479
0,-1.3648927,-1.303757,"('unsociable', 'sociable')",-0.4864874,-0.5857751,-0.9256901,-0.944766,0.0190759
57,-1.337875,-1.2885544,"('unimaginative', 'imaginative')",-2.185339,-2.4666846,-1.7616069,-1.8776195,0.1160126
9,-1.2968647,-1.4156504,"('unaffectionate', 'caring')",0.6152805,0.85641646,-0.3407921,-0.279617,-0.0611751
69,1.1857072,0.8351944,"('lazy', 'industrious')",-0.86196744,-1.0199668,0.1618699,-0.0923862,0.2542561
23,-1.1782707,-0.81920743,"('insincere', 'sincere')",5.7763147,6.3063107,2.299022,2.7435517,-0.4445297
8,-1.1279558,-1.4575585,"('unaffectionate', 'affectionate')",0.14634672,0.18848234,-0.4908046,-0.6345381,0.1437335
45,-1.1119059,-0.80102503,"('incompetent', 'competent')",0.032716252,0.032058712,-0.5395948,-0.3844832,-0.1551116
5,-1.1073658,-1.2864462,"('distant', 'outgoing')",-0.86461455,-0.7864418,-0.9859902,-1.0364439,0.0504537
43,-1.065282,-0.774226,"('irresponsible', 'responsible')",0.7680746,0.8697214,-0.1486037,0.0477477,-0.1963514
63,-1.0211056,-0.5888779,"('unperceptive', 'insightful')",1.1624045,1.3714123,0.0706494,0.3912672,-0.3206178
38,-1.0000468,-0.8298593,"('untruthful', 'truthful')",-0.103931636,0.3376724,-0.5519893,-0.2460935,-0.3058958
58,-0.98005635,-1.0142779,"('undiscriminating', 'discriminating')",0.036396883,0.14351898,-0.4718297,-0.4353795,-0.0364502
6,-0.9486391,-1.3357384,"('distant', 'open')",-0.36869413,-0.44262964,-0.6586666,-0.889184,0.2305174
29,-0.93984866,-0.9609249,"('unfair', 'fair')",-0.69143695,-0.7368826,-0.8156428,-0.8489038,0.033261
41,-0.9113355,-0.9417154,"('unforgiving', 'forgiving')",0.1131541,0.25902182,-0.3990907,-0.3413468,-0.0577439
18,-0.8659491,-0.9054889,"('disagreeable', 'welcoming')",-0.6639155,-0.5746356,-0.7649323,-0.7400622,-0.0248701
28,-0.8278639,-0.5971654,"('disloyal', 'loyal')",0.77834946,0.9441056,-0.0247572,0.1734701,-0.1982273
79,-0.8107701,-0.8214474,"('wavering', 'unwavering')",-0.33900008,-0.24843232,-0.5748851,-0.5349398,-0.0399453
3,-0.80839455,-0.61665833,"('repellent', 'pleasant')",0.43937212,0.22661759,-0.1845112,-0.1950204,0.0105092
36,-0.7943331,-1.4290003,"('hostile', 'amicable')",-0.43076423,-0.75434655,-0.6125486,-1.0916734,0.4791248
66,-0.77628464,-1.0091506,"('inactive', 'active')",0.6276936,0.20652723,-0.0742955,-0.4013117,0.3270162
78,-0.7640022,-0.3396883,"('nonresilient', 'resilient')",0.28772473,0.42706627,-0.2381387,0.043689,-0.2818277
51,-0.75483507,-0.28590816,"('uneducated', 'educated')",0.8256004,0.9725449,0.0353827,0.3433184,-0.3079357
77,-0.752565,-0.5014947,"('unmotivated', 'motivated')",-1.0933791,-0.94781756,-0.9229721,-0.7246561,-0.198316
54,-0.7496508,-0.5373364,"('incapable', 'capable')",0.9411615,1.2711854,0.0957554,0.3669245,-0.2711691
70,-0.7494857,-0.2408683,"('lethargic', 'energetic')",1.1339236,1.1955998,0.192219,0.4773657,-0.2851467
