,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.5972658,-1.3957099,"('unsympathetic', 'sympathetic')",-0.3790056,-0.23144065,-0.9881357,-0.8135753,-0.1745604
57,-1.4866288,-1.3521672,"('unimaginative', 'imaginative')",-2.5744581,-2.6188161,-2.0305433,-1.9854918,-0.0450515
0,-1.3432814,-1.3988988,"('unsociable', 'sociable')",-0.39738217,-0.43777245,-0.8703318,-0.9183357,0.0480039
45,-1.2053245,-0.8473613,"('incompetent', 'competent')",-0.30738834,-0.18229258,-0.7563564,-0.514827,-0.2415294
53,-1.1488614,-1.3852252,"('uncreative', 'creative')",0.7959751,0.4924438,-0.1764432,-0.4463907,0.2699475
66,-1.0579312,-0.87048805,"('inactive', 'active')",0.46538842,0.42338434,-0.2962714,-0.2235519,-0.0727195
79,-1.0458698,-0.86971194,"('wavering', 'unwavering')",-0.24605422,-0.24546427,-0.645962,-0.5575881,-0.0883739
70,-1.0247939,-0.7452283,"('lethargic', 'energetic')",0.55905926,0.8498656,-0.2328673,0.0523187,-0.285186
51,-0.9632481,-0.897228,"('uneducated', 'educated')",0.76456124,0.7331874,-0.0993434,-0.0820203,-0.0173231
22,-0.951186,-0.82595706,"('untrustworthy', 'trustworthy')",-0.92060745,-0.77428967,-0.9358968,-0.8001233,-0.1357735
17,-0.94046116,-0.84198487,"('nasty', 'nice')",-0.5432265,-0.54400694,-0.7418438,-0.6929959,-0.0488479
86,-0.92307943,-0.9239333,"('uninfluential', 'influential')",-0.18999454,-0.23109864,-0.556537,-0.577516,0.020979
46,-0.9221567,-0.8706379,"('uncompetitive', 'competitive')",-0.65505433,-0.5369912,-0.7886055,-0.7038145,-0.084791
76,-0.911574,-0.58693844,"('anxious', 'daring')",0.20061633,0.336513,-0.3554788,-0.1252127,-0.2302661
73,0.90479875,0.81308377,"('helpless', 'self-reliant')",-2.92678,-2.970118,-1.0109906,-1.0785172,0.0675266
14,-0.8580446,-0.68963766,"('antisocial', 'social')",-0.70875955,-0.57059807,-0.7834021,-0.6301179,-0.1532842
65,-0.85471374,-0.9349315,"('insecure', 'secure')",-0.30927986,-0.07644619,-0.5819968,-0.5056888,-0.076308
55,-0.82430494,-0.73267514,"('incompetent', 'clever')",0.18140724,0.15799609,-0.3214489,-0.2873395,-0.0341094
1,-0.8199899,-1.0033507,"('unfriendly', 'friendly')",1.667907,1.1837164,0.4239585,0.0901828,0.3337757
84,0.7945345,0.81291616,"('inferior', 'superior')",0.98079973,0.91018933,0.8876671,0.8615527,0.0261144
19,-0.7913175,-0.7552212,"('inhospitable', 'hospitable')",-0.0059918137,-0.09500627,-0.3986547,-0.4251137,0.026459
7,-0.77955943,-0.74712837,"('insensitive', 'sensitive')",0.51007515,0.37504673,-0.1347421,-0.1860408,0.0512987
23,-0.74467933,-0.77426034,"('insincere', 'sincere')",5.5708914,5.7000604,2.413106,2.4628999,-0.0497939
87,-0.7337287,-0.596669,"('unsuccessful', 'successful')",0.6999663,0.6781844,-0.0168812,0.0407577,-0.0576389
54,-0.7311452,-0.8078264,"('incapable', 'capable')",1.1074203,1.2006394,0.1881376,0.1964065,-0.0082689
