,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.6520791,-1.3074839,"('unfriendly', 'friendly')",1.1108516,1.2957207,-0.2706137,-0.0058816,-0.2647321
88,-1.4670147,-1.1819472,"('low', 'eminent')",-0.49713594,-0.46814558,-0.9820753,-0.8250464,-0.1570289
28,-1.3861244,-1.3985962,"('disloyal', 'loyal')",1.0012504,1.0814323,-0.192437,-0.1585819,-0.0338551
57,-1.3750416,-1.0493462,"('unimaginative', 'imaginative')",-3.0909643,-3.0533223,-2.2330029,-2.0513344,-0.1816685
36,-1.273445,-0.7687202,"('hostile', 'amicable')",-0.15831487,-0.08834687,-0.7158799,-0.4285336,-0.2873463
53,-1.0903726,-0.82402605,"('uncreative', 'creative')",0.11574846,0.24907067,-0.487312,-0.2874777,-0.1998343
86,-1.0253699,-1.3417357,"('uninfluential', 'influential')",-0.10161489,-0.2677457,-0.5634924,-0.8047407,0.2412483
29,-0.95528173,-1.0668846,"('unfair', 'fair')",-0.3778964,-0.49510714,-0.6665891,-0.7809959,0.1144068
73,0.93675137,0.9723261,"('helpless', 'self-reliant')",-3.136442,-3.3500302,-1.0998453,-1.1888521,0.0890068
72,-0.9020599,-0.6708534,"('unambitious', 'ambitious')",-0.6281827,-0.49703607,-0.7651213,-0.5839447,-0.1811766
6,-0.89194304,-0.7328635,"('distant', 'open')",-0.48660937,-0.460848,-0.6892762,-0.5968558,-0.0924204
11,-0.86894876,-0.8334766,"('unhelpful', 'helpful')",1.7199934,1.619101,0.4255223,0.3928122,0.0327101
31,-0.8563924,-0.66411215,"('evil', 'good')",-0.97734743,-1.1288934,-0.9168699,-0.8965027,-0.0203672
48,-0.8428388,-1.0980848,"('unintelligent', 'intelligent')",0.53758067,0.42489982,-0.1526291,-0.3365925,0.1839634
10,-0.6826103,-1.0671226,"('unsympathetic', 'sympathetic')",-0.23873189,-0.3096188,-0.4606711,-0.6883707,0.2276996
39,0.68188167,0.8126019,"('exploitative', 'cooperative')",0.19292295,0.33192226,0.4374023,0.5722621,-0.1348598
18,-0.64501053,-0.31188935,"('disagreeable', 'welcoming')",-0.7947024,-0.7750739,-0.7198565,-0.5434816,-0.1763749
67,0.6418565,0.47955838,"('doubtful', 'determined')",-0.56754994,-0.54400116,0.0371533,-0.0322214,0.0693747
80,0.6377317,0.32017753,"('dominated', 'dominating')",-0.67391896,-0.7677223,-0.0180936,-0.2237724,0.2056788
49,-0.6364258,-0.7733741,"('unable', 'able')",-0.6050447,-0.534469,-0.6207353,-0.6539215,0.0331862
5,-0.62866783,-0.49506953,"('distant', 'outgoing')",-0.5048494,-0.63575107,-0.5667586,-0.5654103,-0.0013483
87,0.6257761,0.13699956,"('unsuccessful', 'successful')",1.2981124,1.1396508,0.9619442,0.6383252,0.323619
42,0.6208758,0.641833,"('unreliable', 'reliable')",-3.3846202,-3.5768068,-1.3818722,-1.4674869,0.0856147
52,-0.6105233,-0.49587244,"('irrational', 'rational')",-0.043341335,-0.08143997,-0.3269323,-0.2886562,-0.0382761
54,-0.6025989,-0.656374,"('incapable', 'capable')",0.7429026,0.77960414,0.0701518,0.0616151,0.0085367
24,-0.6007086,-0.7203956,"('dishonest', 'honest')",0.37994146,0.47401887,-0.1103836,-0.1231884,0.0128048
79,-0.5736914,-0.76817375,"('wavering', 'unwavering')",-0.28639713,-0.5105925,-0.4300443,-0.6393831,0.2093388
17,-0.5649585,-0.88571227,"('nasty', 'nice')",-1.0359564,-1.0184296,-0.8004575,-0.952071,0.1516135
83,-0.5449404,-0.1697802,"('powerless', 'powerful')",-1.2019362,-1.1212635,-0.8734384,-0.6455219,-0.2279165
51,0.536,0.17638746,"('uneducated', 'educated')",0.59819144,0.5307843,0.5670958,0.3535859,0.2135099
38,-0.53378356,-0.49951717,"('untruthful', 'truthful')",-0.480186,-0.45884463,-0.5069848,-0.4791809,-0.0278039
9,-0.5260947,-0.51641667,"('unaffectionate', 'caring')",1.4258002,1.4022003,0.4498528,0.4428918,0.006961
