,e_male,e_female,tuple,trade_male,trade_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
31,-3.22693,-2.775916,"('evil', 'good')",-1.8943366,-1.9660257,-0.99253833,-0.9071911,-2.5836349,-2.5403647,-2.1743598,-2.0473745,-0.1269853
60,3.175851,3.1289196,"('inefficient', 'efficient')",2.2373796,2.4782166,0.4102244,0.7366289,1.0056039,1.2310581,1.7072648,1.8937058,-0.186441
81,3.0785677,3.0056825,"('submissive', 'aggressive')",1.1842482,1.1705757,1.0845678,0.9365939,0.98234797,0.99026847,1.5824329,1.5257802,0.0566527
85,-2.6562839,-2.3826976,"('insignificant', 'prestigious')",-1.161541,-1.2673501,1.1111797,1.0568866,-2.0554824,-2.017447,-1.1905318,-1.152652,-0.0378798
52,-2.5341496,-2.4837377,"('irrational', 'rational')",-0.4660209,-0.74970746,0.123045854,0.060262598,-1.3442949,-1.3641305,-1.0553548,-1.1343282,0.0789734
35,-2.3996356,-2.155885,"('corrupt', 'incorrupt')",-2.5129917,-2.5931413,-1.3881726,-1.326823,-2.3128254,-2.1168373,-2.1534064,-2.0481718,-0.1052346
55,2.3921237,2.3222413,"('incompetent', 'clever')",1.3696272,1.3356178,-0.2777097,-0.2536471,1.4207071,1.3171755,1.2261871,1.1803468,0.0458403
8,-2.3344638,-2.3365874,"('unaffectionate', 'affectionate')",-1.0018938,-1.0839684,-0.12842807,0.0026658252,-0.77078897,-0.6069988,-1.0588937,-1.0062222,-0.0526715
56,2.3210287,2.7691894,"('impractical', 'practical')",2.2245667,2.5601494,0.7595338,1.1327387,0.2040919,0.6115075,1.3773053,1.7683963,-0.391091
80,2.2843974,2.2141044,"('dominated', 'dominating')",1.8621498,1.9206156,0.19077292,0.08885905,1.03409,1.0722048,1.3428526,1.323946,0.0189066
46,2.2751713,2.0025167,"('uncompetitive', 'competitive')",1.4983418,1.7147739,0.60418147,0.74303925,0.7579238,0.66703796,1.2839046,1.281842,0.0020626
13,2.2577457,2.027803,"('impolite', 'polite')",2.2163215,2.31887,0.6799466,0.6961555,-0.020595089,0.10680644,1.2833546,1.2874087,-0.0040541
62,2.1523209,2.4182673,"('incompetent', 'brilliant')",1.8810792,2.1675909,0.87692535,1.2716599,1.1781007,1.5687382,1.5221065,1.856564,-0.3344575
51,2.0358095,1.7440823,"('uneducated', 'educated')",0.123303644,-0.028991267,-0.061760798,-0.0900203,1.091514,1.13985,0.7972165,0.6912302,0.1059863
21,1.9803438,1.7876852,"('immoral', 'moral')",1.2479622,1.3511081,0.69453245,0.91291213,0.67781967,0.812281,1.1501645,1.2159966,-0.0658321
70,1.9154063,2.0810304,"('lethargic', 'energetic')",0.85509706,0.9696235,0.014249019,0.34166652,1.5171587,1.7103703,1.0754778,1.2756727,-0.2001949
7,1.8842372,1.646044,"('insensitive', 'sensitive')",1.0436097,1.0608613,0.68447304,0.81620127,0.96575916,1.213793,1.1445198,1.1842248,-0.039705
14,1.8822429,2.0333986,"('antisocial', 'social')",2.392273,2.345357,2.1716924,1.9662844,0.6319534,0.42837048,1.7695404,1.6933526,0.0761878
1,-1.8172818,-1.611084,"('unfriendly', 'friendly')",-0.75647587,-0.5419112,1.1405312,1.509224,0.3726945,0.6376576,-0.265133,-0.0015284,-0.2636046
16,-1.7250458,-1.9157075,"('unpopular', 'popular')",-0.87606764,-1.1507317,-0.22828111,-0.5312467,0.12205677,-0.010715321,-0.6768344,-0.9021003,0.2252659
10,1.721179,1.3677762,"('unsympathetic', 'sympathetic')",0.78046584,0.836391,-0.868242,-0.70185435,0.8414455,0.94244677,0.6187121,0.6111899,0.0075222
54,-1.7028631,-1.5278565,"('incapable', 'capable')",0.36999035,0.47360447,0.89326006,1.1007394,0.2398546,0.6363665,-0.0499395,0.1707135,-0.220653
43,1.6930057,1.8343829,"('irresponsible', 'responsible')",1.7786279,2.1329684,0.48261127,0.90405065,1.075025,1.3667548,1.2573174,1.5595393,-0.3022219
65,1.6648285,1.5218952,"('insecure', 'secure')",1.5146016,1.4554732,-0.20334736,-0.18746394,1.1775954,1.2500547,1.0384195,1.0099897,0.0284298
25,-1.6308529,-1.5874913,"('egoistic', 'altruistic')",-0.49861044,-0.54024655,-0.024791602,-0.034303755,0.45081455,0.5410166,-0.4258602,-0.4052562,-0.020604
36,-1.5378115,-1.4231873,"('hostile', 'amicable')",-1.2870554,-1.5520611,-0.24981882,-0.37120128,-1.5436662,-1.7325222,-1.154588,-1.269743,0.115155
