,e_male,e_female,tuple,trade_male,trade_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
81,2.3143451,2.1929262,"('submissive', 'aggressive')",1.1206785,0.91336006,0.8567646,0.699814,0.8965565,0.6097027,1.2970862,1.1039507,0.1931355
60,2.2917564,2.3218343,"('inefficient', 'efficient')",2.2255726,2.10937,0.3195808,0.34530357,1.3372965,1.1131963,1.5435517,1.4724261,0.0711256
31,-2.2887332,-2.2385702,"('evil', 'good')",-1.9055804,-1.8230668,-0.89106166,-0.89793724,-2.862375,-2.583372,-1.9869375,-1.8857366,-0.1012009
56,2.2026403,1.9314322,"('impractical', 'practical')",2.591422,2.2898731,0.96224576,0.92525196,0.5397112,0.2646867,1.5740049,1.352811,0.2211939
16,-1.9436717,-1.3350761,"('unpopular', 'popular')",-1.3196838,-0.94529915,-0.5058435,-0.32037103,-0.11250191,0.20998527,-0.9704252,-0.5976902,-0.372735
62,1.8490995,1.4635384,"('incompetent', 'brilliant')",1.925386,1.5657747,1.0510002,0.7571743,1.5002583,1.1893781,1.581436,1.2439663,0.3374697
52,-1.8409845,-1.5154618,"('irrational', 'rational')",-0.7152654,-0.35032323,0.14253324,0.36199984,-1.3291066,-1.0020914,-0.9357058,-0.6264691,-0.3092367
73,1.8101954,1.8564376,"('helpless', 'self-reliant')",1.5833102,1.5919887,1.0410335,1.075826,-3.4791498,-3.372016,0.2388473,0.2880591,-0.0492118
35,-1.7254822,-1.7082268,"('corrupt', 'incorrupt')",-2.8641863,-2.5587082,-1.453491,-1.2813823,-2.437686,-2.2085714,-2.1202114,-1.9392221,-0.1809893
80,1.6871692,1.1481484,"('dominated', 'dominating')",1.9611982,1.5817386,0.13771945,-0.114498034,1.3785238,0.69282013,1.2911527,0.8270522,0.4641005
70,1.6840528,1.1683092,"('lethargic', 'energetic')",1.0686133,0.7835711,0.26816145,0.08247653,1.8884122,1.5050495,1.2273099,0.8848516,0.3424583
85,-1.6796894,-1.4259462,"('insignificant', 'prestigious')",-1.3169553,-1.0476036,1.0146852,1.1570799,-2.4895875,-1.8579751,-1.1178868,-0.7936113,-0.3242755
55,1.6071178,1.4885879,"('incompetent', 'clever')",1.3748889,1.2309262,-0.2629298,-0.4184574,1.5985459,1.3777443,1.0794057,0.9197001,0.1597056
43,1.5921283,1.1745669,"('irresponsible', 'responsible')",1.9447179,1.6400601,0.82113403,0.60358596,1.4300267,1.1651565,1.4470017,1.1458423,0.3011594
