,expedia_male,expedia_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0606172,-2.1445062,"('uninfluential', 'influential')",0.041863322,-0.12229719,-0.19448787,-0.25105926,-0.7377473,-0.8392876,0.1015403
53,-1.9527193,-1.9391172,"('uncreative', 'creative')",0.04896031,0.009536702,1.0105375,0.96063536,-0.2977405,-0.3229817,0.0252412
73,1.7061214,1.6839639,"('helpless', 'self-reliant')",0.287806,0.2674978,-2.9892044,-3.0910969,-0.331759,-0.3798784,0.0481194
10,-1.6481247,-1.7944629,"('unsympathetic', 'sympathetic')",0.023309302,-0.16243532,-0.29656237,-0.2459656,-0.6404592,-0.7342879,0.0938287
8,-1.6472994,-1.6621745,"('unaffectionate', 'affectionate')",-0.10249685,-0.12596086,1.1456305,1.0878385,-0.2013886,-0.2334323,0.0320437
1,-1.5382911,-1.599219,"('unfriendly', 'friendly')",0.05641289,-0.037071534,1.8824074,1.8024542,0.1335098,0.0553879,0.0781219
69,1.4734546,1.5351168,"('lazy', 'industrious')",0.08859433,0.19897354,-0.5892418,-0.5664879,0.324269,0.3892008,-0.0649318
82,-1.3962369,-1.3750004,"('poor', 'rich')",-0.16764608,-0.123605646,6.4257517,6.343743,1.620623,1.6150455,0.0055775
9,-1.3606195,-1.4591756,"('unaffectionate', 'caring')",0.14532278,0.016909488,1.498081,1.5173163,0.0942614,0.0250167,0.0692447
46,-1.288582,-1.5070521,"('uncompetitive', 'competitive')",1.1790255,0.9552111,-1.0608779,-1.0616736,-0.3901448,-0.5378382,0.1476934
57,-1.2749246,-1.512433,"('unimaginative', 'imaginative')",0.061129794,-0.32658392,-2.6517577,-2.6930544,-1.2885175,-1.5106904,0.2221729
67,1.2748235,1.392276,"('doubtful', 'determined')",0.16156542,0.3830011,-0.9452782,-0.8083374,0.1637036,0.3223132,-0.1586096
44,1.2717781,1.1825879,"('prejudiced', 'unprejudiced')",-0.37968177,-0.35356236,-1.4275639,-1.4562138,-0.1784892,-0.2090628,0.0305736
78,-1.1318027,-1.1532222,"('nonresilient', 'resilient')",0.98959833,0.90041345,-0.117282905,-0.047916513,-0.0864957,-0.1002418,0.0137461
0,-1.0757577,-1.2486174,"('unsociable', 'sociable')",0.32387313,0.11481767,-0.77728003,-0.7405886,-0.5097215,-0.6247962,0.1150747
64,1.0696551,1.0371351,"('shy', 'confident')",1.0945566,1.094606,-7.013559,-6.8611803,-1.616449,-1.5764798,-0.0399692
55,-1.0347221,-1.1375643,"('incompetent', 'clever')",1.1385959,1.0262058,-0.22440416,-0.1140734,-0.0401768,-0.075144,0.0349672
19,-0.9946805,-0.897534,"('inhospitable', 'hospitable')",-1.6860908,-1.5904189,0.07136023,0.10610111,-0.8698037,-0.7939506,-0.0758531
42,0.9131535,0.8824409,"('unreliable', 'reliable')",1.3077328,1.2647882,-2.978193,-2.9860075,-0.2524356,-0.2795928,0.0271572
24,-0.8821021,-0.88698065,"('dishonest', 'honest')",-0.461174,-0.36838913,0.67242634,0.7015227,-0.2236166,-0.1846157,-0.0390009
28,-0.87484306,-1.085078,"('disloyal', 'loyal')",0.040761437,-0.20374887,0.8802887,0.78199524,0.0154024,-0.1689439,0.1843463
23,-0.8605587,-0.9702742,"('insincere', 'sincere')",0.30763978,0.27423856,6.206788,6.1736135,1.8846231,1.8258594,0.0587637
39,0.8550901,0.88149905,"('exploitative', 'cooperative')",1.4873028,1.5489345,0.23235984,0.23954317,0.8582509,0.8899922,-0.0317413
75,0.84598535,0.8251226,"('meek', 'impulsive')",-1.0613091,-1.0407628,-0.38281578,-0.39841622,-0.1993798,-0.2046855,0.0053057
45,-0.7788949,-0.93716097,"('incompetent', 'competent')",0.42329222,0.15550207,-0.40945688,-0.44613135,-0.2550199,-0.4092634,0.1542435
48,-0.7766956,-0.94450665,"('unintelligent', 'intelligent')",0.04812695,-0.0050963988,0.134191,0.31424668,-0.1981259,-0.2117854,0.0136595
87,0.7338562,0.4332154,"('unsuccessful', 'successful')",1.2545788,0.9821748,0.80573237,0.6803868,0.9313892,0.6985923,0.2327969
37,-0.7174493,-0.8886053,"('fake', 'genuine')",-0.113708034,-0.19299716,0.6705185,0.4913404,-0.0535463,-0.196754,0.1432077
59,0.7141204,0.70858383,"('foolish', 'wise')",-0.93115544,-0.8819079,0.4822444,0.52447367,0.0884031,0.1170499,-0.0286468
51,-0.6242917,-0.56205934,"('uneducated', 'educated')",0.6310631,0.67229396,0.3075398,0.4305333,0.1047704,0.180256,-0.0754856
25,-0.6106051,-0.44113857,"('egoistic', 'altruistic')",0.2427142,0.35103023,1.7005448,1.8254443,0.444218,0.5784454,-0.1342274
3,-0.5912433,-0.52804786,"('repellent', 'pleasant')",0.81845427,0.8519354,0.41121748,0.45345783,0.2128095,0.2591151,-0.0463056
31,-0.58202374,-0.4505706,"('evil', 'good')",-1.0606571,-0.9994677,-0.6928426,-0.8048631,-0.7785079,-0.7516338,-0.0268741
49,-0.5702336,-0.61168283,"('unable', 'able')",-0.8846155,-0.89012945,-0.39042178,-0.3679368,-0.6150903,-0.6232497,0.0081594
54,-0.56996006,-0.6090723,"('incapable', 'capable')",-0.18755126,-0.13903143,1.2498295,1.3175241,0.1641061,0.1898068,-0.0257007
60,0.5691852,0.6099927,"('inefficient', 'efficient')",1.2827758,1.3226161,-0.20399608,0.011230182,0.5493216,0.6479464,-0.0986248
16,-0.565144,-0.5795986,"('unpopular', 'popular')",-0.4745491,-0.42209977,0.21605949,0.17844932,-0.2745445,-0.2744163,-0.0001282
13,-0.5622207,-0.5041878,"('impolite', 'polite')",-0.1597461,-0.12463461,-0.50599575,-0.40519077,-0.4093208,-0.3446711,-0.0646497
50,0.5497191,0.55958384,"('clumsy', 'skillful')",-0.20350227,-0.09963058,0.24335867,0.29511485,0.1965252,0.2516894,-0.0551642
65,-0.5337442,-0.556646,"('insecure', 'secure')",0.9150132,0.7601742,-0.4601572,-0.37668562,-0.0262961,-0.0577191,0.031423
