,intercontinentalexchange_male,intercontinentalexchange_female,tuple,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.4926977,-2.4204519,"('uninfluential', 'influential')",-1.2279286,-1.2946328,-0.45487934,-0.8041855,-1.3918352,-1.5064233,0.1145881
10,-2.4284616,-1.9892349,"('unsympathetic', 'sympathetic')",-0.91580117,-0.5991158,-0.25995797,-0.25502485,-1.2014069,-0.9477919,-0.253615
69,2.3578198,2.0191143,"('lazy', 'industrious')",0.64945495,0.36675912,-0.3786037,-0.5148328,0.8762236,0.6236802,0.2525434
8,-1.7569907,-1.9219204,"('unaffectionate', 'affectionate')",-1.6715574,-1.6396471,0.69197327,0.46125242,-0.9121916,-1.0334384,0.1212468
1,-1.6162269,-1.6883777,"('unfriendly', 'friendly')",-1.1284181,-1.2357792,1.8652668,1.3151293,-0.2931261,-0.5363425,0.2432164
9,-1.5943104,-1.6962186,"('unaffectionate', 'caring')",-1.0444669,-1.1213238,1.4418018,1.0756192,-0.3989918,-0.5806411,0.1816493
19,-1.5275996,-1.4960138,"('inhospitable', 'hospitable')",-1.181144,-1.2802192,-0.12500724,-0.28094426,-0.9445836,-1.0190591,0.0744755
55,-1.5229539,-1.3444455,"('incompetent', 'clever')",-0.022408823,0.08827674,0.11992709,0.086605266,-0.4751452,-0.3898545,-0.0852907
0,-1.4162176,-1.2606715,"('unsociable', 'sociable')",-0.34539118,-0.29417384,-0.20758505,-0.37170333,-0.6563979,-0.6421829,-0.014215
12,-1.4001558,-0.918954,"('unsupportive', 'supportive')",-0.79496396,-0.25166914,-1.5918119,-1.6977679,-1.2623106,-0.9561303,-0.3061803
57,-1.3439859,-1.0460229,"('unimaginative', 'imaginative')",-0.487685,-0.33452353,-2.193417,-2.5505316,-1.3416959,-1.3103593,-0.0313366
53,-1.3240384,-1.3105372,"('uncreative', 'creative')",-0.6288864,-0.7294501,1.2450914,0.92227817,-0.2359444,-0.3725697,0.1366253
39,1.3034307,1.2583427,"('exploitative', 'cooperative')",1.2295483,1.0475581,0.2224882,0.24022786,0.9184891,0.8487096,0.0697795
45,-1.2534627,-1.1198795,"('incompetent', 'competent')",-0.05442334,0.1532125,-0.14748544,-0.2794217,-0.4851238,-0.4153629,-0.0697609
27,-1.2188087,-1.1638405,"('hardhearted', 'softhearted')",-0.87112886,-0.63081205,0.97119355,0.66086507,-0.3729146,-0.3779292,0.0050146
24,-1.1941019,-1.2325329,"('dishonest', 'honest')",-0.26005656,-0.34467876,0.8839383,0.8630073,-0.1900734,-0.2380681,0.0479947
48,-1.18623,-1.36888,"('unintelligent', 'intelligent')",-0.7130611,-0.98904324,0.79959345,0.3995279,-0.3665659,-0.6527985,0.2862326
43,-1.1479418,-0.56876755,"('irresponsible', 'responsible')",-0.08867298,0.13423863,0.7616064,0.9911762,-0.1583361,0.1855491,-0.3438852
28,-1.0842623,-1.46317,"('disloyal', 'loyal')",-0.6918047,-1.1565523,1.3801273,0.8917322,-0.1319799,-0.5759967,0.4440168
21,-1.0572546,-0.68989944,"('immoral', 'moral')",0.8060476,1.0506845,-0.9647414,-0.8352496,-0.4053161,-0.1581549,-0.2471612
35,0.95272607,0.6153879,"('corrupt', 'incorrupt')",-0.5700879,-0.8937041,-0.3491553,-0.58539766,0.0111609,-0.2879046,0.2990655
82,-0.908688,-0.73116946,"('poor', 'rich')",-0.12454611,-0.15608546,6.2139125,6.370506,1.7268928,1.8277502,-0.1008574
78,-0.89658606,-0.6158323,"('nonresilient', 'resilient')",-0.887045,-0.46956664,0.046918657,-0.0024149027,-0.5789042,-0.3626046,-0.2162996
67,0.8953656,0.9656888,"('doubtful', 'determined')",1.001224,1.1903526,-0.5112886,-0.14516532,0.461767,0.6702921,-0.2085251
23,-0.8895005,-0.81670815,"('insincere', 'sincere')",0.44867167,0.20365871,5.776835,5.813834,1.7786687,1.7335949,0.0450738
73,0.88313186,0.91905046,"('helpless', 'self-reliant')",0.2241421,0.23378903,-3.0269842,-3.3911119,-0.6399034,-0.7460908,0.1061874
11,-0.84601766,-0.42625707,"('unhelpful', 'helpful')",0.16441515,0.35667637,2.2525208,2.5371275,0.5236394,0.8225156,-0.2988762
62,-0.82799387,-0.5275625,"('incompetent', 'brilliant')",0.36715132,0.5029774,0.45123658,0.6475987,-0.003202,0.2076712,-0.2108732
15,0.8275257,0.74311095,"('boring', 'funny')",0.43557635,0.5360439,0.56306416,0.63638794,0.6087221,0.6385142,-0.0297921
44,0.81890273,1.1854657,"('prejudiced', 'unprejudiced')",0.5238557,0.7157315,-1.4228721,-1.1272603,-0.0267045,0.257979,-0.2846835
58,-0.8142954,-0.6518686,"('undiscriminating', 'discriminating')",0.085878104,0.18791798,-0.06489931,-0.34861746,-0.2644389,-0.270856,0.0064171
46,-0.7912468,-0.54503775,"('uncompetitive', 'competitive')",0.013271332,0.2576977,-0.42288473,-0.5241824,-0.4002867,-0.2705075,-0.1297792
3,-0.7736738,-0.8050427,"('repellent', 'pleasant')",0.06581344,0.071769364,0.121610194,0.043144558,-0.1954167,-0.2300429,0.0346262
50,0.7398389,0.4020057,"('clumsy', 'skillful')",0.2667599,-0.21189426,0.6684273,0.24647708,0.5583421,0.1455295,0.4128126
70,-0.73949575,-0.4167347,"('lethargic', 'energetic')",0.29393536,0.60586274,0.74244136,0.798267,0.0989603,0.3291317,-0.2301714
5,-0.71121025,-0.6769639,"('distant', 'outgoing')",-1.6420909,-1.4789857,-0.29273328,-0.50211513,-0.8820114,-0.8860216,0.0040102
77,-0.68190986,-0.83495057,"('unmotivated', 'motivated')",-0.22456938,-0.3310899,-1.2154481,-1.4616722,-0.7073091,-0.8759042,0.1685951
84,0.6792476,0.57413715,"('inferior', 'superior')",0.16303727,0.10854385,0.61165804,0.49785435,0.4846477,0.3935118,0.0911359
41,-0.65759224,-0.3891685,"('unforgiving', 'forgiving')",-0.07070041,0.18742527,0.02672737,-0.06593138,-0.2338551,-0.0892249,-0.1446302
75,0.6347999,0.9276069,"('meek', 'impulsive')",-0.2720849,0.2692444,-0.4691208,-0.15412073,-0.0354686,0.3475769,-0.3830455
40,-0.6225477,-0.2910392,"('stingy', 'generous')",-0.7999987,-0.4951645,-1.4650528,-1.9895554,-0.9625331,-0.9252531,-0.03728
32,-0.5970838,-0.21186005,"('unkind', 'kind')",0.760689,0.90349025,1.5496566,1.5551775,0.5710873,0.7489359,-0.1778486
60,-0.578662,-0.44307634,"('inefficient', 'efficient')",1.5614035,1.2777228,0.20188873,-0.015059315,0.3948768,0.2731957,0.1216811
54,-0.5723872,-0.32545295,"('incapable', 'capable')",0.027989414,0.253465,1.3054179,1.5894067,0.2536734,0.5058062,-0.2521328
59,0.5644753,0.2638878,"('foolish', 'wise')",0.27168107,-0.045358866,0.7233311,0.51091796,0.5198292,0.243149,0.2766802
33,0.55715203,0.46032083,"('wrong', 'right')",0.043103345,0.26331243,-0.7661304,-0.8725497,-0.0552917,-0.0496388,-0.0056529
71,0.5473838,0.6456607,"('diffident', 'self-confident')",-0.265529,-0.20726004,0.80604196,0.5727537,0.3626322,0.3370515,0.0255807
6,-0.52904624,-0.5195772,"('distant', 'open')",-1.8791314,-1.8835648,0.028677799,-0.2504063,-0.7931666,-0.8845161,0.0913495
64,0.5181467,0.36952758,"('shy', 'confident')",0.5188497,0.21370801,-5.983347,-6.219727,-1.6487835,-1.8788304,0.2300469
63,-0.5142045,-0.22832565,"('unperceptive', 'insightful')",0.15173817,0.18205091,1.3579296,1.0483454,0.3318211,0.3340236,-0.0022025
36,0.5098308,0.32262596,"('hostile', 'amicable')",-1.203031,-1.1221845,0.02984703,-0.11888986,-0.2211177,-0.3061495,0.0850318
38,-0.49210298,-0.30046758,"('untruthful', 'truthful')",-0.66440034,-0.4893151,0.054380402,0.19233853,-0.3673743,-0.199148,-0.1682263
72,-0.46516204,-0.1857895,"('unambitious', 'ambitious')",-0.5485562,-0.23009972,-0.9450032,-0.8320446,-0.6529071,-0.415978,-0.2369291
22,-0.4389517,-0.38985372,"('untrustworthy', 'trustworthy')",0.43078908,0.6765365,-0.8369146,-0.7847623,-0.2816924,-0.1660265,-0.1156659
18,-0.42742515,-0.11109964,"('disagreeable', 'welcoming')",-1.2133405,-1.0345879,-0.22732024,-0.09883141,-0.6226953,-0.4148396,-0.2078557
2,0.42685324,0.7299657,"('unlikable', 'likable')",0.9889394,1.0516493,0.9273294,1.0551074,0.7810407,0.9455741,-0.1645334
20,0.4205859,0.6583547,"('rough', 'thoughtful')",-0.047691472,-0.029812135,0.9778684,0.87544185,0.4502543,0.5013282,-0.0510739
34,-0.41459876,-0.1890617,"('mean', 'honorable')",0.11099473,0.11620177,5.405096,5.7290845,1.7004973,1.8854082,-0.1849109
87,0.41280603,0.4177016,"('unsuccessful', 'successful')",0.95536864,0.9043962,0.91764987,0.8742785,0.7619415,0.7321254,0.0298161
79,-0.399329,-0.23441975,"('wavering', 'unwavering')",-1.4432278,-1.2366816,-0.22181599,-0.097140625,-0.6881243,-0.5227473,-0.165377
49,-0.3956104,-0.4400347,"('unable', 'able')",-0.3718298,-0.38079476,-0.071158744,0.05884587,-0.279533,-0.2539945,-0.0255385
4,-0.39489073,-0.3291435,"('disliked', 'liked')",-0.5041023,-0.19064458,-5.567475,-5.874098,-2.1554893,-2.1312954,-0.0241939
29,-0.37796614,-0.32357246,"('unfair', 'fair')",-0.4529271,-0.22747524,-0.79063296,-0.80428404,-0.5405087,-0.4517772,-0.0887315
47,0.36599892,0.38706988,"('stupid', 'smart')",0.9021633,0.8711186,4.9919405,5.303211,2.0867009,2.1871332,-0.1004323
37,-0.36009276,-0.56371236,"('fake', 'genuine')",-0.28999412,-0.7719607,0.3615906,-0.1607737,-0.0961654,-0.4988156,0.4026502
51,-0.35677502,-0.06991954,"('uneducated', 'educated')",0.29612172,0.041669324,0.78973114,0.56856513,0.2430259,0.180105,0.0629209
85,-0.34877324,-0.13040462,"('insignificant', 'prestigious')",-0.76959467,-0.20540178,0.53714836,0.6879516,-0.1937399,0.1173817,-0.3111216
83,0.34524304,0.69142896,"('powerless', 'powerful')",-0.33493933,0.031676687,-1.0764658,-0.8438255,-0.3553874,-0.04024,-0.3151474
