,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,male-female
26,3.0364213,3.026866,"('hardhearted', 'benevolent')",1.7208438,1.7777488,2.3786325,2.4023075,-0.023675
81,-2.5373614,-2.4033728,"('submissive', 'aggressive')",-0.9348706,-1.0468688,-1.7361159,-1.7251208,-0.0109951
1,2.2897778,2.0582778,"('unfriendly', 'friendly')",1.6998271,1.4517132,1.9948025,1.7549956,0.2398069
85,2.253109,2.350643,"('insignificant', 'prestigious')",-0.7169896,-0.1275072,0.7680597,1.1115679,-0.3435082
3,-2.1915438,-2.0970044,"('repellent', 'pleasant')",-0.07599119,-0.48312968,-1.1337675,-1.2900671,0.1562996
25,2.1036873,2.1375139,"('egoistic', 'altruistic')",1.1895286,1.6041663,1.6466079,1.8708401,-0.2242322
9,2.0152037,1.9300692,"('unaffectionate', 'caring')",1.3360702,1.1524862,1.675637,1.5412776,0.1343594
22,-1.9996024,-2.120565,"('untrustworthy', 'trustworthy')",-1.1000463,-1.3184144,-1.5498244,-1.7194897,0.1696653
69,1.88803,2.0119865,"('lazy', 'industrious')",-0.7606712,-0.34219664,0.5636795,0.8348949,-0.2712154
70,-1.8630074,-1.6544061,"('lethargic', 'energetic')",0.04601364,-0.23614603,-0.9084969,-0.945276,0.0367791
71,1.829403,2.1863637,"('diffident', 'self-confident')",0.3340089,0.58079123,1.0817059,1.3835775,-0.3018716
84,1.8050685,1.7494656,"('inferior', 'superior')",0.87797076,0.95183635,1.3415196,1.350651,-0.0091314
44,-1.7633253,-1.5258361,"('prejudiced', 'unprejudiced')",-1.4794184,-1.1766725,-1.6213719,-1.3512542,-0.2701177
76,-1.6775926,-1.5487754,"('anxious', 'daring')",-0.4471707,-0.5404997,-1.0623816,-1.0446376,-0.017744
46,-1.6538877,-1.7313216,"('uncompetitive', 'competitive')",-0.93524563,-1.3178226,-1.2945666,-1.5245721,0.2300055
33,1.6419919,1.5038719,"('wrong', 'right')",-0.48944938,-0.360753,0.5762712,0.5715594,0.0047118
8,1.5767819,1.235922,"('unaffectionate', 'affectionate')",0.72462463,0.4745381,1.1507032,0.85523,0.2954732
57,-1.557873,-1.6813655,"('unimaginative', 'imaginative')",-3.5251572,-3.1972725,-2.5415151,-2.4393191,-0.102196
68,-1.5379694,-1.5939518,"('dependent', 'independent')",-1.4362005,-1.6118468,-1.4870849,-1.6028993,0.1158144
5,1.4924035,1.6012987,"('distant', 'outgoing')",-0.38939834,-0.24315938,0.5515026,0.6790696,-0.127567
64,-1.4066986,-1.3305895,"('shy', 'confident')",-6.0036983,-5.196975,-3.7051985,-3.2637825,-0.441416
6,1.322408,1.2501668,"('distant', 'open')",-0.10719235,-0.17140722,0.6076078,0.5393798,0.068228
59,1.3172776,1.1395689,"('foolish', 'wise')",0.26840028,0.3294375,0.7928389,0.7345032,0.0583357
54,1.2776734,1.3292503,"('incapable', 'capable')",1.0440601,1.2297218,1.1608667,1.2794861,-0.1186194
12,1.2441078,0.985567,"('unsupportive', 'supportive')",-1.4138803,-1.5900818,-0.0848863,-0.3022574,0.2173711
79,1.2199535,1.0780491,"('wavering', 'unwavering')",-0.27227315,0.09153661,0.4738402,0.5847929,-0.1109527
60,-1.1789795,-1.098161,"('inefficient', 'efficient')",-0.024684811,-0.2309922,-0.6018322,-0.6645766,0.0627444
78,1.1772289,0.7849407,"('nonresilient', 'resilient')",0.38998222,0.13087349,0.7836056,0.4579071,0.3256985
56,1.1689864,1.412462,"('impractical', 'practical')",0.24942678,0.723564,0.7092066,1.068013,-0.3588064
65,-1.1461594,-1.0768048,"('insecure', 'secure')",-0.21468097,-0.26598978,-0.6804202,-0.6713973,-0.0090229
36,1.1361573,0.984135,"('hostile', 'amicable')",-0.5592955,-0.010736801,0.2884309,0.4866991,-0.1982682
14,-1.1092223,-1.0202985,"('antisocial', 'social')",-1.1302677,-1.2315329,-1.119745,-1.1259158,0.0061708
51,-1.072289,-1.0222282,"('uneducated', 'educated')",0.24771379,0.20009862,-0.4122876,-0.4110648,-0.0012228
10,-1.0566196,-0.9833075,"('unsympathetic', 'sympathetic')",-0.13589205,-0.5624397,-0.5962558,-0.7728736,0.1766178
7,-1.0472058,-0.70040387,"('insensitive', 'sensitive')",-0.13921222,-0.5364319,-0.593209,-0.6184179,0.0252089
15,0.9810846,1.1486034,"('boring', 'funny')",0.43371516,1.1576587,0.7073998,1.153131,-0.4457312
75,-0.944835,-1.0099936,"('meek', 'impulsive')",-0.64748716,-0.618259,-0.7961611,-0.8141263,0.0179652
35,0.9353276,1.2334522,"('corrupt', 'incorrupt')",-0.7131548,-0.1757929,0.1110864,0.5288296,-0.4177432
42,-0.9316591,-0.74920976,"('unreliable', 'reliable')",-2.7454612,-2.119614,-1.8385601,-1.4344118,-0.4041483
52,0.9283364,0.6059407,"('irrational', 'rational')",-0.15154132,0.15530792,0.3883975,0.3806243,0.0077732
45,-0.91931117,-1.0551375,"('incompetent', 'competent')",-0.34897262,-0.92554075,-0.6341419,-0.9903392,0.3561973
24,-0.8984853,-0.73704016,"('dishonest', 'honest')",0.50292486,0.14425401,-0.1977802,-0.2963931,0.0986129
55,-0.8704045,-1.032173,"('incompetent', 'clever')",0.000104207546,-0.49291265,-0.4351501,-0.7625428,0.3273927
82,-0.869937,-0.71101284,"('poor', 'rich')",5.1870475,4.4148645,2.1585553,1.8519258,0.3066295
11,-0.8625825,-0.8426283,"('unhelpful', 'helpful')",2.438042,2.1775334,0.7877297,0.6674526,0.1202771
39,0.8624485,1.2853205,"('exploitative', 'cooperative')",0.15485299,0.6218741,0.5086508,0.9535973,-0.4449465
80,-0.8282998,-0.79152876,"('dominated', 'dominating')",-0.21352099,-0.41004086,-0.5209104,-0.6007848,0.0798744
58,-0.72715145,-0.8405533,"('undiscriminating', 'discriminating')",-0.3241319,-0.429058,-0.5256417,-0.6348056,0.1091639
20,0.7027869,0.9044583,"('rough', 'thoughtful')",0.87407583,0.73462266,0.7884314,0.8195405,-0.0311091
30,-0.68620986,-0.6256985,"('intolerant', 'tolerant')",-0.06879233,-0.009600924,-0.3775011,-0.3176497,-0.0598514
77,-0.64921117,-0.4525457,"('unmotivated', 'motivated')",-1.0726446,-0.95535904,-0.8609279,-0.7039524,-0.1569755
13,-0.64196396,-0.46686462,"('impolite', 'polite')",-0.24462274,-0.47890437,-0.4432933,-0.4728845,0.0295912
73,0.6334842,0.6041792,"('helpless', 'self-reliant')",-3.5726223,-3.0139468,-1.4695691,-1.2048838,-0.2646853
48,0.60348815,0.30734986,"('unintelligent', 'intelligent')",0.37158427,-0.10745321,0.4875362,0.0999483,0.3875879
16,-0.5888043,-0.69670343,"('unpopular', 'popular')",0.011654478,-0.18394476,-0.2885749,-0.4403241,0.1517492
31,0.58472335,0.34071237,"('evil', 'good')",-1.0076702,-1.0748935,-0.2114734,-0.3670906,0.1556172
87,-0.54916704,-0.43259197,"('unsuccessful', 'successful')",-0.058396295,0.09798121,-0.3037817,-0.1673054,-0.1364763
41,0.54498446,0.38680607,"('unforgiving', 'forgiving')",0.30557847,0.20302227,0.4252815,0.2949142,0.1303673
27,0.5365486,0.614804,"('hardhearted', 'softhearted')",0.92345387,0.413485,0.7300012,0.5141445,0.2158567
21,-0.48848134,-0.37002453,"('immoral', 'moral')",-0.8892356,-1.0162195,-0.6888585,-0.693122,0.0042635
53,0.47446078,0.75495267,"('uncreative', 'creative')",0.44345203,0.5244249,0.4589564,0.6396888,-0.1807324
17,-0.44789562,-0.4116054,"('nasty', 'nice')",-0.78577685,-0.6418907,-0.6168362,-0.5267481,-0.0900881
19,0.44391444,0.6894294,"('inhospitable', 'hospitable')",-0.21181196,0.18961385,0.1160512,0.4395216,-0.3234704
63,0.44225246,0.21684769,"('unperceptive', 'insightful')",0.87250346,0.47103864,0.657378,0.3439432,0.3134348
83,0.4254344,0.33006987,"('powerless', 'powerful')",-1.227812,-1.0946783,-0.4011888,-0.3823042,-0.0188846
62,-0.4231304,-0.30032414,"('incompetent', 'brilliant')",0.08385579,-0.20610544,-0.1696373,-0.2532148,0.0835775
2,-0.40484092,-0.026122332,"('unlikable', 'likable')",0.36688524,0.8136986,-0.0189778,0.3937881,-0.4127659
86,0.3867789,0.028103895,"('uninfluential', 'influential')",-0.22444871,-0.6459785,0.0811651,-0.3089373,0.3901024
4,0.38505596,0.57384914,"('disliked', 'liked')",-7.012162,-5.959339,-3.3135531,-2.692745,-0.6208081
29,-0.37556615,-0.47340572,"('unfair', 'fair')",-0.29886764,-0.43659133,-0.3372169,-0.4549985,0.1177816
40,-0.35519683,-0.5406341,"('stingy', 'generous')",-2.4842787,-2.921249,-1.4197378,-1.7309415,0.3112037
67,0.33632135,0.43846577,"('doubtful', 'determined')",-0.110165186,0.063884795,0.1130781,0.2511753,-0.1380972
18,-0.33194646,-0.1671437,"('disagreeable', 'welcoming')",-1.1822764,-1.2233553,-0.7571114,-0.6952495,-0.0618619
47,0.30792975,0.3068621,"('stupid', 'smart')",4.8574743,4.1815515,2.5827022,2.2442067,0.3384955
28,-0.2892589,-0.12159721,"('disloyal', 'loyal')",0.7366031,0.67894393,0.2236721,0.2786734,-0.0550013
34,0.28463063,0.3439799,"('mean', 'honorable')",4.9877467,4.435351,2.6361887,2.3896654,0.2465233
74,0.26644513,0.22876778,"('undedicated', 'dedicated')",0.020603038,0.006727375,0.1435241,0.1177476,0.0257765
88,-0.22668117,0.3621139,"('low', 'eminent')",-0.59398407,0.02003565,-0.4103326,0.1910748,-0.6014074
61,-0.18611196,-0.035414055,"('illogical', 'logical')",-0.1703032,-0.15737893,-0.1782076,-0.0963965,-0.0818111
37,0.16594127,0.16139829,"('fake', 'genuine')",0.6631831,0.5181564,0.4145622,0.3397774,0.0747848
66,0.15428679,0.11852915,"('inactive', 'active')",0.37026986,0.36619326,0.2622783,0.2423612,0.0199171
72,-0.14110777,-0.38770846,"('unambitious', 'ambitious')",-0.6693921,-1.1338902,-0.40525,-0.7607993,0.3555493
32,0.10132402,0.4261119,"('unkind', 'kind')",1.0278859,0.9584332,0.564605,0.6922725,-0.1276675
49,-0.09434275,-0.05294443,"('unable', 'able')",-0.60195965,-0.54774076,-0.3481512,-0.3003426,-0.0478086
50,-0.0599279,-0.1004836,"('clumsy', 'skillful')",0.077525854,0.06863248,0.008799,-0.0159256,0.0247246
38,0.049851194,-0.1869,"('untruthful', 'truthful')",0.4571112,0.47033778,0.2534812,0.1417189,0.1117623
0,-0.036111563,-0.055867165,"('unsociable', 'sociable')",0.14111042,-0.121837854,0.0524994,-0.0888525,0.1413519
23,0.03430895,0.32268432,"('insincere', 'sincere')",5.8937254,5.0666814,2.9640172,2.6946828,0.2693344
43,0.025674284,-0.0039292946,"('irresponsible', 'responsible')",1.0422055,0.69196236,0.5339398,0.3440165,0.1899233
