,pactiv_male,pactiv_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,2.1819596,1.9454176,"('exploitative', 'cooperative')",0.107572526,-0.11153321,1.1447661,0.9169422,0.2278239
60,1.924556,1.824263,"('inefficient', 'efficient')",0.07727647,0.047809366,1.0009162,0.9360362,0.06488
6,-1.921958,-1.5061444,"('distant', 'open')",-0.45467237,-0.043343015,-1.1883152,-0.7747437,-0.4135715
14,1.8256972,1.227353,"('antisocial', 'social')",0.22786593,-0.42157173,1.0267816,0.4028906,0.623891
31,-1.7251844,-1.6166986,"('evil', 'good')",-0.7044998,-0.6174179,-1.2148421,-1.1170583,-0.0977838
30,1.5298717,1.0885103,"('intolerant', 'tolerant')",0.95828915,0.6865536,1.2440804,0.8875319,0.3565485
65,1.4756645,1.1930991,"('insecure', 'secure')",-0.35789406,-0.4039015,0.5588852,0.3945988,0.1642864
21,1.4710763,1.1785098,"('immoral', 'moral')",-0.3776852,-0.5539799,0.5466955,0.312265,0.2344305
1,-1.466481,-1.3407164,"('unfriendly', 'friendly')",1.4858445,1.6239386,0.0096818,0.1416111,-0.1319293
5,-1.4264942,-1.124015,"('distant', 'outgoing')",-0.7698698,-0.36025065,-1.098182,-0.7421328,-0.3560492
36,-1.4245162,-1.2985594,"('hostile', 'amicable')",0.14795588,0.27232847,-0.6382802,-0.5131155,-0.1251647
85,-1.4036214,-1.2505293,"('insignificant', 'prestigious')",0.019636707,0.11175381,-0.6919923,-0.5693877,-0.1226046
53,-1.3486217,-1.4681891,"('uncreative', 'creative')",0.78799736,0.7105255,-0.2803122,-0.3788318,0.0985196
16,-1.3348956,-1.267048,"('unpopular', 'popular')",0.40313354,0.4772439,-0.465881,-0.3949021,-0.0709789
66,-1.3115121,-1.4410242,"('inactive', 'active')",0.28716767,0.26293752,-0.5121722,-0.5890433,0.0768711
81,1.2719767,0.8948718,"('submissive', 'aggressive')",-0.7306583,-0.9421314,0.2706592,-0.0236298,0.294289
56,1.221252,0.8726476,"('impractical', 'practical')",-0.5547342,-0.67808133,0.3332589,0.0972831,0.2359758
75,-1.1793125,-0.90698564,"('meek', 'impulsive')",-0.9742874,-0.798187,-1.0767999,-0.8525863,-0.2242136
8,-1.1325165,-1.1356747,"('unaffectionate', 'affectionate')",0.88089895,1.1580241,-0.1258088,0.0111747,-0.1369835
19,-1.124106,-1.2774581,"('inhospitable', 'hospitable')",-0.5981643,-0.39275444,-0.8611352,-0.8351063,-0.0260289
84,1.1196975,1.2946205,"('inferior', 'superior')",0.708408,1.004189,0.9140527,1.1494048,-0.2353521
52,-1.0925195,-0.9913278,"('irrational', 'rational')",-0.13601635,0.07509175,-0.6142679,-0.458118,-0.1561499
62,1.072003,0.8098805,"('incompetent', 'brilliant')",0.32207546,0.38127124,0.6970392,0.5955759,0.1014633
79,-1.0639021,-1.0012388,"('wavering', 'unwavering')",-0.6821543,-0.48539665,-0.8730282,-0.7433177,-0.1297105
76,1.0542026,0.7796602,"('anxious', 'daring')",-0.24432306,-0.36409247,0.4049397,0.2077839,0.1971558
35,-1.0341766,-0.56413305,"('corrupt', 'incorrupt')",-0.58834195,-0.3056632,-0.8112593,-0.4348981,-0.3763612
86,-1.0027652,-1.187517,"('uninfluential', 'influential')",-0.23387125,-0.33595026,-0.6183182,-0.7617337,0.1434155
4,-0.98334414,-0.9731565,"('disliked', 'liked')",-7.5224004,-7.482424,-4.2528725,-4.2277904,-0.0250821
55,0.9776217,0.7793233,"('incompetent', 'clever')",0.48567793,0.3130382,0.7316498,0.5461807,0.1854691
42,0.9769808,0.82336205,"('unreliable', 'reliable')",-3.286087,-3.231774,-1.1545532,-1.204206,0.0496528
25,-0.93136036,-0.90135914,"('egoistic', 'altruistic')",1.275539,1.2462436,0.1720893,0.1724422,-0.0003529
20,0.90559304,1.0490919,"('rough', 'thoughtful')",1.0112137,1.0571845,0.9584033,1.0531383,-0.094735
17,-0.8784914,-1.0051495,"('nasty', 'nice')",-0.7128874,-0.79243475,-0.7956894,-0.8987921,0.1031027
67,0.8761423,0.76275724,"('doubtful', 'determined')",-0.3383278,-0.66126156,0.2689072,0.0507478,0.2181594
27,-0.8624456,-0.61354303,"('hardhearted', 'softhearted')",1.2984363,1.5005149,0.2179953,0.4434859,-0.2254906
49,0.7605984,1.1433898,"('unable', 'able')",-0.09573758,0.3580445,0.3324304,0.7507172,-0.4182868
11,0.7514066,0.3957473,"('unhelpful', 'helpful')",1.3667618,1.2922019,1.0590842,0.8439746,0.2151096
82,-0.7437991,-0.95319873,"('poor', 'rich')",6.7788825,6.914593,3.0175416,2.9806972,0.0368444
64,0.73470694,0.50585383,"('shy', 'confident')",-6.822278,-6.9753485,-3.0437856,-3.2347474,0.1909618
43,0.7312016,0.52526534,"('irresponsible', 'responsible')",0.34322897,0.3683314,0.5372153,0.4467984,0.0904169
72,-0.72014666,-0.5249032,"('unambitious', 'ambitious')",-0.4218394,-0.053303506,-0.570993,-0.2891033,-0.2818897
70,0.6861873,0.38344407,"('lethargic', 'energetic')",0.34359506,0.13498372,0.5148912,0.2592139,0.2556773
73,0.6651474,0.75663537,"('helpless', 'self-reliant')",-3.488414,-3.131154,-1.4116333,-1.1872593,-0.224374
22,0.65342474,0.5425505,"('untrustworthy', 'trustworthy')",-0.97861886,-1.0079538,-0.1625971,-0.2327016,0.0701045
50,0.6530784,0.70705014,"('clumsy', 'skillful')",0.18078554,0.42404395,0.416932,0.565547,-0.148615
2,0.6510713,0.25000975,"('unlikable', 'likable')",0.398685,0.37249148,0.5248781,0.3112506,0.2136275
32,0.64511365,0.18143575,"('unkind', 'kind')",0.94368786,0.81148475,0.7944008,0.4964603,0.2979405
9,-0.6185395,-0.73605996,"('unaffectionate', 'caring')",1.216685,1.5602964,0.2990728,0.4121182,-0.1130454
61,0.5279684,0.19095407,"('illogical', 'logical')",0.58135456,0.49945346,0.5546615,0.3452038,0.2094577
48,0.5005405,0.6611152,"('unintelligent', 'intelligent')",0.8433907,1.0158081,0.6719656,0.8384616,-0.166496
18,-0.48338577,-0.39404148,"('disagreeable', 'welcoming')",-0.44436958,-0.30674013,-0.4638777,-0.3503908,-0.1134869
23,0.46801904,0.26541713,"('insincere', 'sincere')",5.9999356,5.998704,3.2339773,3.1320605,0.1019168
63,0.4434267,0.26115358,"('unperceptive', 'insightful')",0.6574114,0.64423203,0.550419,0.4526928,0.0977262
38,-0.4401238,-0.5364861,"('untruthful', 'truthful')",-0.48866385,-0.43132585,-0.4643938,-0.483906,0.0195122
80,0.43584186,0.31315497,"('dominated', 'dominating')",-1.0413387,-1.2403096,-0.3027484,-0.4635773,0.1608289
57,-0.41055566,-0.5148172,"('unimaginative', 'imaginative')",-3.1901717,-3.3312013,-1.8003637,-1.9230093,0.1226456
40,-0.38844326,-0.27398548,"('stingy', 'generous')",-1.9254737,-1.9377362,-1.1569585,-1.1058608,-0.0510977
28,0.38843277,0.3343203,"('disloyal', 'loyal')",1.2353632,1.1517414,0.811898,0.7430308,0.0688672
0,0.37866706,0.04323558,"('unsociable', 'sociable')",0.08207052,-0.15814723,0.2303688,-0.0574558,0.2878246
83,0.3649039,0.37027514,"('powerless', 'powerful')",-0.6359458,-0.8450603,-0.1355209,-0.2373926,0.1018717
37,0.36045027,0.25437042,"('fake', 'genuine')",0.27443126,0.32131046,0.3174407,0.2878404,0.0296003
69,0.3557481,0.41572168,"('lazy', 'industrious')",-0.5044754,-0.46422327,-0.0743637,-0.0242508,-0.0501129
78,0.35319933,0.60808146,"('nonresilient', 'resilient')",0.15990895,0.34146172,0.2565541,0.4747716,-0.2182175
71,0.34954697,0.41104615,"('diffident', 'self-confident')",0.6265026,0.7910511,0.4880248,0.6010486,-0.1130238
74,0.34658515,0.2027267,"('undedicated', 'dedicated')",-0.23394515,-0.40354347,0.05632,-0.1004084,0.1567284
41,0.34578747,0.17217664,"('unforgiving', 'forgiving')",0.13238584,-0.10066648,0.2390867,0.0357551,0.2033316
24,0.28412545,-0.01921434,"('dishonest', 'honest')",0.3764264,0.48314828,0.3302759,0.231967,0.0983089
87,0.2793417,0.07777603,"('unsuccessful', 'successful')",0.5845628,0.7278041,0.4319522,0.4027901,0.0291621
88,-0.2703204,-0.5600807,"('low', 'eminent')",-0.38043246,-0.380178,-0.3253764,-0.4701294,0.144753
44,0.24751234,0.34142917,"('prejudiced', 'unprejudiced')",-1.2799836,-1.3376193,-0.5162356,-0.4980951,-0.0181405
29,0.24125966,0.4652362,"('unfair', 'fair')",-0.30721006,-0.13256927,-0.0329752,0.1663335,-0.1993087
54,-0.23500901,-0.21601401,"('incapable', 'capable')",0.8970711,1.1586972,0.3310311,0.4713416,-0.1403105
59,0.23063426,0.3819119,"('foolish', 'wise')",0.07844898,0.398167,0.1545416,0.3900394,-0.2354978
7,0.2274605,0.14731318,"('insensitive', 'sensitive')",0.5687626,0.49119765,0.3981116,0.3192554,0.0788562
45,0.19721754,-0.14077607,"('incompetent', 'competent')",0.24997771,0.13031973,0.2235976,-0.0052282,0.2288258
68,0.19465235,0.29712182,"('dependent', 'independent')",-0.73169464,-0.48584777,-0.2685211,-0.094363,-0.1741581
26,0.19148622,-0.043634742,"('hardhearted', 'benevolent')",1.6878455,1.5782065,0.9396659,0.7672859,0.17238
12,-0.18676746,-0.2628618,"('unsupportive', 'supportive')",-2.2693138,-2.2107315,-1.2280407,-1.2367966,0.0087559
3,-0.17656732,-0.41272816,"('repellent', 'pleasant')",0.8370195,0.6893422,0.3302261,0.138307,0.1919191
33,-0.16448937,-0.113119915,"('wrong', 'right')",-0.80841523,-0.6306569,-0.4864523,-0.3718884,-0.1145639
77,0.15715514,0.17583466,"('unmotivated', 'motivated')",-1.1273804,-1.1316606,-0.4851126,-0.477913,-0.0071996
13,0.13818003,-0.34882838,"('impolite', 'polite')",-0.9781973,-1.0112753,-0.4200086,-0.6800518,0.2600432
10,0.13188972,-0.2864783,"('unsympathetic', 'sympathetic')",-0.1491649,-0.37918186,-0.0086376,-0.3328301,0.3241925
51,-0.12502484,-0.35355285,"('uneducated', 'educated')",0.16343339,-0.049820438,0.0192043,-0.2016867,0.220891
46,0.11015189,-0.16069818,"('uncompetitive', 'competitive')",-0.90739655,-1.0646769,-0.3986223,-0.6126875,0.2140652
15,0.070892304,0.0019610599,"('boring', 'funny')",-0.22977522,-0.192551,-0.0794415,-0.095295,0.0158535
34,-0.041582752,-0.07924216,"('mean', 'honorable')",5.9047194,5.947056,2.9315684,2.9339068,-0.0023384
58,0.03442642,0.17835784,"('undiscriminating', 'discriminating')",0.27960262,0.22830266,0.1570145,0.2033302,-0.0463157
47,0.026371107,-0.04117749,"('stupid', 'smart')",5.7563214,5.8552365,2.8913462,2.9070296,-0.0156834
