,raytheon_male,raytheon_female,tuple,technologies_male,technologies_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.6567001,-3.4800723,"('unsympathetic', 'sympathetic')",-1.2084198,-1.2788861,-0.33945587,-0.25914365,-1.7348587,-1.6727007,-0.062158
45,-3.1704416,-3.113727,"('incompetent', 'competent')",-1.5735685,-1.5725125,-0.501228,-0.4411806,-1.7484126,-1.7091401,-0.0392725
69,3.1559045,2.966109,"('lazy', 'industrious')",1.293246,1.3619,-0.70061463,-0.69787055,1.249512,1.2100462,0.0394658
43,-2.9603224,-2.6678064,"('irresponsible', 'responsible')",-1.5380886,-1.4628328,-0.27384254,-0.033551816,-1.5907512,-1.3880636,-0.2026876
85,2.7565207,2.5082805,"('insignificant', 'prestigious')",1.3350286,1.1498073,0.16482697,-0.003881557,1.4187921,1.2180688,0.2007233
35,2.272986,2.059621,"('corrupt', 'incorrupt')",0.14357527,0.15660545,-0.6012005,-0.65146196,0.6051202,0.5215882,0.083532
23,-2.255855,-2.097428,"('insincere', 'sincere')",-0.6114351,-0.6288454,5.3650312,5.5611773,0.8325803,0.9449679,-0.1123876
24,-2.2529786,-2.0364792,"('dishonest', 'honest')",-1.6676121,-1.6662809,0.10646971,0.2900131,-1.2713737,-1.1375824,-0.1337913
0,-2.2469478,-2.125872,"('unsociable', 'sociable')",-0.6856504,-0.72155786,-0.11607143,0.061084405,-1.0162232,-0.9287817,-0.0874415
60,-2.2349586,-1.8864833,"('inefficient', 'efficient')",0.11867616,0.24219987,-0.36392778,-0.1041984,-0.8267368,-0.5828273,-0.2439095
70,-2.1991827,-2.0142488,"('lethargic', 'energetic')",-0.55260223,-0.60381335,0.27955517,0.38647968,-0.8240767,-0.7438609,-0.0802158
55,-2.1921632,-2.0248435,"('incompetent', 'clever')",0.2663517,0.22522867,0.24243186,0.28388608,-0.5611266,-0.5052429,-0.0558837
13,-2.1868415,-1.9603223,"('impolite', 'polite')",-0.7130677,-0.6626481,-0.91544706,-0.678482,-1.2717854,-1.1004841,-0.1713013
56,-2.1172905,-1.9725903,"('impractical', 'practical')",-0.9644065,-0.988117,-1.090409,-0.9439426,-1.3907019,-1.3015499,-0.089152
11,-2.0787964,-1.9129684,"('unhelpful', 'helpful')",0.55448264,0.5835523,1.4148041,1.5621761,-0.0365032,0.0775867,-0.1140899
86,-1.9741915,-1.9347364,"('uninfluential', 'influential')",-0.22437152,-0.300599,-0.36530557,-0.30787656,-0.8546229,-0.8477373,-0.0068856
30,-1.9696845,-1.747134,"('intolerant', 'tolerant')",0.9128956,0.9835561,0.33583537,0.59300435,-0.2403179,-0.0568578,-0.1834601
63,-1.9681286,-1.8080285,"('unperceptive', 'insightful')",-0.40760282,-0.4082956,0.21973804,0.36822143,-0.7186645,-0.6160342,-0.1026303
46,-1.9130183,-1.7286371,"('uncompetitive', 'competitive')",-0.19151437,-0.19988912,-1.1690222,-1.022414,-1.0911849,-0.9836467,-0.1075382
