,graham_male,graham_female,tuple,holdings_male,holdings_female,co_male,co_female,average_male,average_female,male-female
36,-2.981628,-3.1437738,"('hostile', 'amicable')",-1.0373427,-1.1413953,-0.59251064,-0.730289,-1.5371604,-1.6718194,0.134659
56,2.8438234,2.8245304,"('impractical', 'practical')",1.0177002,0.8865063,0.42970744,0.2609325,1.4304104,1.3239897,0.1064207
62,2.3016255,2.47817,"('incompetent', 'brilliant')",0.84385204,0.9386616,0.2555095,0.10108093,1.1336624,1.1726375,-0.0389751
39,2.2501733,1.9356419,"('exploitative', 'cooperative')",-0.2769054,-0.54739463,0.22032532,0.113789454,0.7311978,0.5006789,0.2305189
16,-2.165277,-2.611467,"('unpopular', 'popular')",-1.3358662,-1.6732037,-0.22916117,-0.43803266,-1.2434348,-1.5742345,0.3307997
35,-2.1219792,-2.3418753,"('corrupt', 'incorrupt')",-1.71137,-1.7268049,-1.100973,-1.0703819,-1.6447741,-1.7130206,0.0682465
60,2.0558028,2.1334686,"('inefficient', 'efficient')",0.3988679,0.42523503,0.4186783,0.37082058,0.957783,0.9765081,-0.0187251
76,1.9861759,2.0576708,"('anxious', 'daring')",0.3492009,0.5274747,0.31217083,0.38270682,0.8825158,0.9892841,-0.1067683
31,-1.9801913,-1.8313265,"('evil', 'good')",-0.948188,-1.0297477,-1.2030286,-1.265111,-1.3771359,-1.3753951,-0.0017408
30,1.9683868,1.8308135,"('intolerant', 'tolerant')",1.5587568,1.404027,0.80097985,0.45456088,1.4427077,1.2298004,0.2129073
70,1.9515195,2.4301457,"('lethargic', 'energetic')",1.228967,1.2979255,0.69498825,0.740994,1.2918249,1.4896884,-0.1978635
52,-1.9284399,-2.5972114,"('irrational', 'rational')",-1.1702687,-1.4671127,-1.1080192,-1.0948905,-1.4022427,-1.7197382,0.3174955
14,1.9227388,1.8747506,"('antisocial', 'social')",1.9715084,1.7066636,0.575523,0.3374769,1.4899233,1.3062971,0.1836262
43,1.9174397,1.9469185,"('irresponsible', 'responsible')",0.33527166,0.50086164,0.9262932,1.0828865,1.0596681,1.1768889,-0.1172208
24,1.9095165,1.8359512,"('dishonest', 'honest')",-0.4070702,-0.24583796,0.65744567,0.79007924,0.719964,0.7933975,-0.0734335
23,1.8662798,1.9431069,"('insincere', 'sincere')",-0.18289751,-0.11314311,5.591927,5.760807,2.4251032,2.5302569,-0.1051537
46,1.818877,2.3637543,"('uncompetitive', 'competitive')",1.3059146,1.4050689,0.18749417,0.40500787,1.1040953,1.391277,-0.2871817
85,-1.8070619,-2.7125738,"('insignificant', 'prestigious')",-0.0044177324,-0.19265142,-0.9762938,-1.2112912,-0.9292579,-1.3721722,0.4429143
55,1.79027,2.1576004,"('incompetent', 'clever')",0.14743133,0.3362942,0.59298575,0.60481405,0.8435624,1.0329029,-0.1893405
4,-1.6094449,-1.8046805,"('disliked', 'liked')",0.72122294,0.56693375,-5.909104,-6.405075,-2.2657752,-2.5476073,0.2818321
6,-1.5913379,-1.4297007,"('distant', 'open')",-0.8256619,-0.41866314,-0.8557072,-0.61239064,-1.0909023,-0.8202515,-0.2706508
80,1.5249257,1.6969451,"('dominated', 'dominating')",0.3228202,0.33951786,-0.124505065,-0.100254945,0.5744136,0.6454027,-0.0709891
11,1.4320148,1.3763231,"('unhelpful', 'helpful')",-0.0817882,-0.24013436,2.4467576,2.2998316,1.2656614,1.1453401,0.1203213
5,-1.430586,-1.1135259,"('distant', 'outgoing')",-0.5082393,-0.23051424,-0.7374105,-0.6023074,-0.8920786,-0.6487825,-0.2432961
67,1.419693,1.3823303,"('doubtful', 'determined')",0.8769412,0.750336,0.077204466,-0.038148634,0.7912796,0.6981726,0.093107
10,1.4145105,1.7857491,"('unsympathetic', 'sympathetic')",-0.06387228,0.19819199,0.29594627,0.53878766,0.5488615,0.8409096,-0.2920481
7,1.3907154,1.4066526,"('insensitive', 'sensitive')",0.48102683,0.81039584,0.16810769,0.41874853,0.67995,0.878599,-0.198649
81,1.3342766,1.6414671,"('submissive', 'aggressive')",1.5844952,1.4886857,-0.07589774,-0.2815269,0.9476247,0.949542,-0.0019173
45,1.3078746,1.7432388,"('incompetent', 'competent')",0.41295373,0.48749328,0.34654218,0.2952912,0.6891235,0.8420077,-0.1528842
50,-1.2139177,-1.5006063,"('clumsy', 'skillful')",-0.46019232,-0.552451,-0.6859862,-0.722625,-0.7866987,-0.9252274,0.1385287
59,-1.1637025,-1.7426841,"('foolish', 'wise')",-0.5020999,-0.556761,-0.3876272,-0.22673601,-0.6844765,-0.8420604,0.1575839
44,-1.1403834,-1.151588,"('prejudiced', 'unprejudiced')",-0.45112318,-0.5195493,-1.501038,-1.450325,-1.0308482,-1.0404874,0.0096392
74,1.1177756,1.3718889,"('undedicated', 'dedicated')",0.20444268,0.17172226,0.15010473,0.21398488,0.4907743,0.5858653,-0.095091
9,1.0147352,0.8475266,"('unaffectionate', 'caring')",0.60011923,0.9563469,0.9135363,1.0767659,0.842797,0.9602132,-0.1174162
28,1.0121229,0.7793976,"('disloyal', 'loyal')",0.19805704,0.31324023,0.84364635,0.7787909,0.6846088,0.6238096,0.0607992
21,1.0095471,1.0929341,"('immoral', 'moral')",0.20778196,-0.0006411802,-0.4995774,-0.5535356,0.2392505,0.1795858,0.0596647
13,0.93949056,1.2433717,"('impolite', 'polite')",0.02576989,0.13029768,0.5632501,0.5779929,0.5095035,0.6505541,-0.1410506
12,0.8990654,1.1718916,"('unsupportive', 'supportive')",0.7729936,1.0598226,-1.5786994,-1.5480293,0.0311199,0.227895,-0.1967751
22,0.89048237,1.3366319,"('untrustworthy', 'trustworthy')",-0.26226217,-0.118033946,-0.41548687,-0.24981883,0.0709111,0.3229264,-0.2520153
86,0.8897797,1.1989275,"('uninfluential', 'influential')",-0.0008451622,0.095753446,-0.21774423,-0.28645453,0.2237301,0.3360755,-0.1123454
1,-0.88930285,-1.028415,"('unfriendly', 'friendly')",0.24630283,0.4517757,1.1110969,1.1328614,0.1560323,0.1854074,-0.0293751
75,-0.84288955,-0.6216108,"('meek', 'impulsive')",0.25092596,0.33563888,-0.25325188,-0.2620166,-0.2817385,-0.1826628,-0.0990757
51,0.83609796,0.78870076,"('uneducated', 'educated')",0.21230716,-0.20281312,0.70216304,0.34765387,0.5835227,0.3111805,0.2723422
65,0.7820947,0.63072455,"('insecure', 'secure')",-0.19659416,-0.015637144,0.21639101,0.37525403,0.2672972,0.3301138,-0.0628166
63,0.77696335,1.0306823,"('unperceptive', 'insightful')",1.2885435,1.3919051,0.8585124,0.7741542,0.9746731,1.0655805,-0.0909074
84,0.7684315,0.5606492,"('inferior', 'superior')",0.057862222,0.03913229,0.4142533,0.46708226,0.4135156,0.3556213,0.0578943
20,0.69157976,0.5886189,"('rough', 'thoughtful')",-0.29411766,-0.13225968,0.12403462,0.2021314,0.1738322,0.2194969,-0.0456647
69,-0.6880685,-0.9645995,"('lazy', 'industrious')",0.46266052,0.29795098,-0.87664866,-1.0649053,-0.3673522,-0.5771846,0.2098324
0,0.6845817,0.8247973,"('unsociable', 'sociable')",-0.017618984,0.023859497,0.42088065,0.34627783,0.3626145,0.3983115,-0.035697
42,0.639928,0.5231896,"('unreliable', 'reliable')",1.4178602,1.3842041,-2.26311,-2.4065616,-0.0684406,-0.1663893,0.0979487
79,-0.6327781,-0.54008627,"('wavering', 'unwavering')",-0.92721444,-0.84219694,-0.67588997,-0.63078076,-0.7452942,-0.6710213,-0.0742729
19,-0.61747223,-0.5310649,"('inhospitable', 'hospitable')",-0.6767981,-0.7675419,-0.3769375,-0.581837,-0.5570693,-0.6268146,0.0697453
37,0.612179,1.0601964,"('fake', 'genuine')",-0.08170329,0.11950578,0.15862602,0.13896748,0.2297006,0.4395566,-0.209856
2,0.59438527,0.35597444,"('unlikable', 'likable')",1.5551586,1.3062639,1.1924143,0.9125947,1.113986,0.8582776,0.2557084
