,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.7680867,-1.7463137,"('unimaginative', 'imaginative')",-0.41309133,-0.5391819,-2.9643664,-2.9368062,-1.7151815,-1.7407672,0.0255857
53,-1.4841108,-1.5270545,"('uncreative', 'creative')",-0.011465118,-0.1415116,1.2484283,1.2634737,-0.0823825,-0.1350308,0.0526483
86,-1.3730025,-1.2244505,"('uninfluential', 'influential')",-0.53156674,-0.27819717,0.15005335,0.220213,-0.5848386,-0.4274782,-0.1573604
73,1.2859306,1.3036096,"('helpless', 'self-reliant')",0.9888576,1.0163445,-3.3973892,-3.4563656,-0.3742003,-0.3788038,0.0046035
2,1.1223186,0.939521,"('unlikable', 'likable')",1.5534347,1.3004186,0.78095245,0.7168765,1.1522353,0.9856054,0.1666299
28,-1.0138249,-0.98856574,"('disloyal', 'loyal')",-0.8320881,-1.045645,1.082876,0.94432056,-0.2543457,-0.3632967,0.108951
0,-0.9188186,-1.1076827,"('unsociable', 'sociable')",0.22528459,0.22211069,-0.77888817,-0.835624,-0.4908074,-0.573732,0.0829246
44,0.88581353,0.7713009,"('prejudiced', 'unprejudiced')",-0.6813419,-0.73973584,-1.6816455,-1.6124207,-0.4923913,-0.5269519,0.0345606
8,-0.86737585,-0.75108796,"('unaffectionate', 'affectionate')",-1.7915474,-1.7109557,1.0597675,1.0363232,-0.5330519,-0.4752402,-0.0578117
52,-0.85935634,-0.8189072,"('irrational', 'rational')",-1.1475017,-1.2235208,0.2596333,0.15798484,-0.5824083,-0.6281477,0.0457394
6,-0.82718205,-0.68171644,"('distant', 'open')",-1.2625908,-1.2079268,0.6156059,0.5363936,-0.491389,-0.4510832,-0.0403058
88,-0.7903623,-0.8586421,"('low', 'eminent')",-1.2508101,-1.2477685,0.5538453,0.46349004,-0.4957757,-0.5476402,0.0518645
1,-0.7789895,-0.78937954,"('unfriendly', 'friendly')",-0.5780233,-0.56051946,2.0191224,1.9237049,0.2207032,0.1912686,0.0294346
62,0.73221546,0.5608908,"('incompetent', 'brilliant')",0.8750404,0.7408868,0.74606925,0.59301347,0.7844417,0.631597,0.1528447
14,0.70069134,0.66305584,"('antisocial', 'social')",1.0263093,1.1046516,-0.9117304,-0.90560806,0.2717567,0.2873664,-0.0156097
56,0.66676486,0.4591812,"('impractical', 'practical')",1.23078,1.1882092,0.16906504,0.06312182,0.68887,0.5701707,0.1186993
60,0.6592249,0.39334986,"('inefficient', 'efficient')",1.0475401,1.0791337,0.18177179,0.15802713,0.6295122,0.5435036,0.0860086
77,-0.6485272,-0.79227346,"('unmotivated', 'motivated')",0.1563451,-0.010044871,-0.56093,-0.5086577,-0.3510374,-0.436992,0.0859546
48,-0.6148586,-0.5683473,"('unintelligent', 'intelligent')",-0.23486578,-0.3457494,0.6779711,0.5950523,-0.0572511,-0.1063481,0.049097
30,0.60349005,0.69758916,"('intolerant', 'tolerant')",1.206938,1.2370509,1.1035639,1.1237631,0.9713306,1.0194677,-0.0481371
31,-0.5820747,-0.22656044,"('evil', 'good')",-0.5253544,-0.4016069,-1.025612,-1.118312,-0.7110136,-0.5821598,-0.1288538
9,-0.5786793,-0.5376767,"('unaffectionate', 'caring')",-0.9461182,-1.0080059,1.9026133,1.8262894,0.1259386,0.0935356,0.032403
42,0.5747632,0.44018695,"('unreliable', 'reliable')",0.24344307,0.31669956,-2.9422686,-2.9466097,-0.7080208,-0.7299078,0.021887
87,0.55641884,0.24922262,"('unsuccessful', 'successful')",0.9735293,0.7925597,1.0175998,0.9635001,0.8491826,0.6684275,0.1807551
15,-0.5474541,-0.6383897,"('boring', 'funny')",0.3332868,0.3302847,0.5228511,0.46040234,0.1028946,0.0507658,0.0521288
37,0.54375315,0.6024354,"('fake', 'genuine')",-0.49386194,-0.37907666,0.38083166,0.47655872,0.1435743,0.2333058,-0.0897315
21,0.5398696,0.33358556,"('immoral', 'moral')",0.40453416,0.31369972,-0.767141,-0.8578384,0.0590876,-0.0701844,0.129272
61,-0.4870401,-0.51314706,"('illogical', 'logical')",-0.2523421,-0.24527407,0.049623482,-0.041252874,-0.2299196,-0.266558,0.0366384
36,-0.47212833,-0.34807056,"('hostile', 'amicable')",-1.2666503,-1.3563604,0.35279685,0.34550235,-0.4619939,-0.4529762,-0.0090177
13,0.4609041,0.423727,"('impolite', 'polite')",0.032615833,0.11337596,-0.24868497,-0.25114876,0.0816117,0.0953181,-0.0137064
84,-0.424195,-0.54824674,"('inferior', 'superior')",0.7911701,0.6426585,0.83621013,0.74083745,0.4010618,0.2784164,0.1226454
33,0.4093548,0.4870999,"('wrong', 'right')",-0.54103446,-0.60780185,-0.27436998,-0.31101522,-0.1353499,-0.1439057,0.0085558
32,-0.40735674,-0.41959605,"('unkind', 'kind')",0.34588355,0.4248193,1.2119422,1.178171,0.3834897,0.3944648,-0.0109751
