,newell_male,newell_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
71,2.9123735,2.614507,"('diffident', 'self-confident')",2.5618768,2.425993,0.9218743,0.78024936,2.1320416,1.9402498,0.1917918
85,2.8658168,2.1071563,"('insignificant', 'prestigious')",0.9736672,0.73943627,0.85475904,0.63103217,1.5647477,1.1592082,0.4055395
1,2.2922704,2.2428293,"('unfriendly', 'friendly')",1.23052,1.2373952,1.2439789,1.3803092,1.5889231,1.6201779,-0.0312548
26,2.2313907,1.893004,"('hardhearted', 'benevolent')",1.0382988,0.8991125,1.484225,1.2423289,1.5846383,1.3448151,0.2398232
12,2.1883545,2.281893,"('unsupportive', 'supportive')",0.9853829,1.0212307,-1.1172873,-1.0823362,0.6854835,0.7402625,-0.054779
53,1.9508003,1.8898252,"('uncreative', 'creative')",1.2408289,1.3930521,1.356446,1.3243186,1.5160251,1.535732,-0.0197069
3,-1.7895516,-1.822598,"('repellent', 'pleasant')",-0.83602333,-0.9528306,-0.26461387,-0.25848743,-0.9633963,-1.0113053,0.047909
33,1.7311095,1.488841,"('wrong', 'right')",1.2180996,1.2297335,-0.61240065,-0.6210798,0.7789362,0.6991649,0.0797713
87,1.6853398,1.7220826,"('unsuccessful', 'successful')",2.118882,1.9619191,0.9973949,0.9506947,1.6005389,1.5448988,0.0556401
9,1.6140047,1.4566956,"('unaffectionate', 'caring')",1.2353932,1.2035985,0.7709571,0.80539846,1.206785,1.1552308,0.0515542
73,1.6097935,1.3278424,"('helpless', 'self-reliant')",1.0322024,0.9702138,-3.0549517,-3.0564396,-0.1376519,-0.2527945,0.1151426
57,-1.5053345,-1.1821425,"('unimaginative', 'imaginative')",-1.0217733,-0.9330125,-2.0857184,-2.2272916,-1.5376088,-1.4474821,-0.0901267
19,1.461819,1.2586786,"('inhospitable', 'hospitable')",0.31714696,0.25015888,0.3220803,0.37945935,0.7003488,0.6294323,0.0709165
5,1.446745,1.0378778,"('distant', 'outgoing')",0.42123577,0.53135747,-0.15679166,0.022799093,0.5703964,0.5306782,0.0397182
84,1.4308032,1.4235909,"('inferior', 'superior')",0.31987086,0.50576323,1.0286859,1.20956,0.9264533,1.0463047,-0.1198514
2,1.3839493,0.9000742,"('unlikable', 'likable')",1.2214803,1.048914,1.0373089,0.79676616,1.2142462,0.9152514,0.2989948
81,-1.3654392,-1.1412525,"('submissive', 'aggressive')",-0.017950162,-0.19454798,-0.44031194,-0.43655285,-0.6079004,-0.5907845,-0.0171159
54,1.2521731,0.93418074,"('incapable', 'capable')",1.5758818,1.5795265,1.3388867,1.4313716,1.3889805,1.3150263,0.0739542
69,1.2294059,0.8209609,"('lazy', 'industrious')",0.86871433,0.7489694,-0.38780585,-0.48044828,0.5701048,0.3631607,0.2069441
75,-1.2008945,-1.519161,"('meek', 'impulsive')",-0.9562104,-1.1192509,-0.26053298,-0.21276249,-0.8058793,-0.9503915,0.1445122
8,1.1167805,0.8817054,"('unaffectionate', 'affectionate')",0.19446811,0.22786811,0.14688873,0.16709605,0.4860458,0.4255565,0.0604893
66,1.0112728,0.87756056,"('inactive', 'active')",0.14096715,-0.17935988,1.3202573,1.3183498,0.8241657,0.6721835,0.1519822
56,1.0109171,1.5084124,"('impractical', 'practical')",1.1453266,1.2639132,0.33110535,0.27987102,0.8291163,1.0173988,-0.1882825
25,1.0105952,0.69912237,"('egoistic', 'altruistic')",-0.15266003,-0.13756092,1.1500717,1.1690078,0.6693357,0.5768564,0.0924793
83,0.9941545,1.0937247,"('powerless', 'powerful')",0.7854873,0.7123147,-0.4545793,-0.34692565,0.4416875,0.4863713,-0.0446838
88,0.97622526,0.6672017,"('low', 'eminent')",0.6746465,0.40319002,0.4326089,0.05768985,0.6944935,0.3760272,0.3184663
18,0.96355355,0.5188713,"('disagreeable', 'welcoming')",-0.1315169,-0.2113266,-0.1342254,-0.5478157,0.2326037,-0.0800903,0.312694
44,-0.86191714,-0.8817204,"('prejudiced', 'unprejudiced')",0.27997276,0.28330866,-1.1067183,-1.2428493,-0.5628875,-0.6137537,0.0508662
42,0.82147557,0.89359933,"('unreliable', 'reliable')",0.7730727,0.8111731,-1.902739,-1.9170153,-0.1027303,-0.0707476,-0.0319827
68,-0.7900907,-0.71088624,"('dependent', 'independent')",-0.57928383,-0.51350415,-0.1276544,-0.06721254,-0.4990096,-0.4305343,-0.0684753
