,staples_male,staples_female,tuple,inc_male,inc_female,average_male,average_female,male-female
64,-2.0326517,-1.8681784,"('shy', 'confident')",-7.0605297,-6.5462527,-4.5465908,-4.2072153,-0.3393755
9,1.648236,1.8843739,"('unaffectionate', 'caring')",0.931159,0.754421,1.2896975,1.3193974,-0.0296999
71,1.5593343,1.8018576,"('diffident', 'self-confident')",0.42858613,0.5698625,0.9939602,1.18586,-0.1918998
12,1.504934,1.674344,"('unsupportive', 'supportive')",-1.5375541,-1.5414919,-0.0163101,0.066426,-0.0827361
39,1.489123,1.1465235,"('exploitative', 'cooperative')",-0.040458936,0.12246837,0.724332,0.6344959,0.0898361
1,1.435237,1.6035299,"('unfriendly', 'friendly')",1.7000891,1.6744828,1.5676631,1.6390064,-0.0713433
75,-1.3758988,-1.4834795,"('meek', 'impulsive')",-0.2680188,-0.4382638,-0.8219588,-0.9608716,0.1389128
87,1.3739817,1.2049379,"('unsuccessful', 'successful')",0.5747215,0.7997844,0.9743516,1.0023612,-0.0280096
56,1.367447,1.3309468,"('impractical', 'practical')",0.10372123,-0.10209884,0.7355841,0.614424,0.1211601
25,1.3557087,1.5329297,"('egoistic', 'altruistic')",1.0026023,1.3149922,1.1791556,1.4239609,-0.2448053
74,1.3333346,1.4566425,"('undedicated', 'dedicated')",-0.18190947,-0.13224706,0.5757126,0.6621977,-0.0864851
33,1.3324136,1.3410668,"('wrong', 'right')",-0.5858885,-0.44508547,0.3732625,0.4479907,-0.0747282
27,1.2138531,1.1783386,"('hardhearted', 'softhearted')",1.4545075,1.246641,1.3341804,1.2124898,0.1216906
61,1.1662178,1.1867354,"('illogical', 'logical')",0.1382718,0.22828692,0.6522448,0.7075112,-0.0552664
26,1.1608226,1.1992315,"('hardhearted', 'benevolent')",0.8973644,1.27037,1.0290935,1.2348008,-0.2057073
44,-1.12635,-1.190474,"('prejudiced', 'unprejudiced')",-1.6952688,-1.3649074,-1.4108094,-1.2776906,-0.1331188
31,-0.9749096,-0.4634282,"('evil', 'good')",-0.8085588,-0.747409,-0.8917342,-0.6054186,-0.2863156
60,0.9626733,0.80062646,"('inefficient', 'efficient')",0.40507403,0.2574377,0.6838737,0.5290321,0.1548416
54,0.9511731,0.8441396,"('incapable', 'capable')",1.4268796,1.1648331,1.1890264,1.0044863,0.1845401
16,-0.9458197,-0.66558206,"('unpopular', 'popular')",0.4546099,0.646212,-0.2456049,-0.009685,-0.2359199
84,0.9296443,0.754598,"('inferior', 'superior')",0.9688596,1.0121921,0.9492519,0.8833951,0.0658568
35,-0.8863207,-0.8630731,"('corrupt', 'incorrupt')",-0.042666994,-0.065645255,-0.4644938,-0.4643592,-0.0001346
4,-0.8581681,-0.5170032,"('disliked', 'liked')",-6.3942475,-6.04515,-3.6262078,-3.2810764,-0.3451314
48,0.85509324,0.7194824,"('unintelligent', 'intelligent')",0.9677831,0.81066346,0.9114382,0.7650729,0.1463653
47,0.844477,0.6155125,"('stupid', 'smart')",5.6609917,5.1318374,3.2527344,2.8736749,0.3790595
78,0.82682586,0.996677,"('nonresilient', 'resilient')",0.68644744,0.4843731,0.7566366,0.740525,0.0161116
57,-0.8101088,-0.62173426,"('unimaginative', 'imaginative')",-3.0279365,-2.8210588,-1.9190226,-1.7213964,-0.1976262
85,0.7941688,1.1643897,"('insignificant', 'prestigious')",0.3490497,0.7015157,0.5716093,0.9329527,-0.3613434
68,-0.7134902,-0.78477806,"('dependent', 'independent')",0.2125605,0.08537659,-0.2504649,-0.3497007,0.0992358
