,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
69,3.689183,3.7819724,"('lazy', 'industrious')",2.9993439,3.150904,1.925522,1.8096702,-0.80450857,-0.7552612,1.9523851,1.9968214,-0.0444363
10,-3.5956974,-3.6563768,"('unsympathetic', 'sympathetic')",-2.6630294,-2.76464,-1.6337154,-1.4846828,-0.035733886,0.013112612,-1.9820441,-1.9731468,-0.0088973
35,2.9672174,3.1136608,"('corrupt', 'incorrupt')",2.0417278,2.1224296,1.3501976,1.1834544,-0.46311915,-0.44176367,1.4740061,1.4944453,-0.0204392
55,-2.8340845,-2.8953714,"('incompetent', 'clever')",-1.9565132,-2.046278,-2.2761717,-2.0732243,0.41314247,0.28355664,-1.6634067,-1.6828293,0.0194226
45,-2.8302102,-2.7845442,"('incompetent', 'competent')",-2.2481513,-1.935098,-1.5090697,-1.498047,-0.4585093,-0.45846495,-1.7614851,-1.6690385,-0.0924466
86,-2.6108725,-2.7800505,"('uninfluential', 'influential')",-1.52466,-1.5820079,-0.7439318,-0.8280543,-0.1667147,-0.347856,-1.2615447,-1.3844923,0.1229476
23,-2.5937607,-2.8714693,"('insincere', 'sincere')",-2.7050855,-2.9507728,-0.39436245,-0.49723706,5.859398,5.6660295,0.0415473,-0.1633624,0.2049097
60,-2.5617678,-2.7303255,"('inefficient', 'efficient')",-2.2555952,-2.5495005,-1.1860341,-0.860984,0.11445994,-0.07542519,-1.4722342,-1.5540588,0.0818246
62,-2.4566245,-2.5207891,"('incompetent', 'brilliant')",-2.2562258,-2.3214738,-1.084412,-1.0091674,0.16257194,0.090023465,-1.4086727,-1.4403518,0.0316791
43,-2.4452713,-2.5558767,"('irresponsible', 'responsible')",-2.7168913,-2.8176649,-0.42869568,-0.36459067,0.59967554,0.5675066,-1.2477957,-1.2926564,0.0448607
72,-2.316953,-2.3380792,"('unambitious', 'ambitious')",-1.4728682,-1.5967809,-0.35961506,-0.32844964,-0.5136877,-0.44354537,-1.1657809,-1.1767138,0.0109329
36,2.3032687,2.3113024,"('hostile', 'amicable')",1.8926578,1.9075599,2.9587233,2.5559387,-0.098994255,-0.056873277,1.7639139,1.679482,0.0844319
