,humana_male,humana_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.791993,-2.6816952,"('hostile', 'amicable')",-0.19243105,-0.37539828,-1.4922119,-1.5285468,0.0363349
60,2.5076785,2.4254243,"('inefficient', 'efficient')",0.60049963,0.7699567,1.5540891,1.5976906,-0.0436015
31,-2.4580984,-2.547284,"('evil', 'good')",-1.3810282,-1.6124816,-1.9195633,-2.0798826,0.1603193
81,2.2546062,2.0913556,"('submissive', 'aggressive')",-0.36497873,-0.033711188,0.9448137,1.0288222,-0.0840085
53,-2.0951655,-1.9945714,"('uncreative', 'creative')",0.5508026,0.50083154,-0.7721815,-0.7468699,-0.0253116
66,-2.0148978,-1.9758347,"('inactive', 'active')",0.06355509,-0.066655315,-0.9756714,-1.021245,0.0455736
6,-1.9781821,-1.8648455,"('distant', 'open')",-0.1642443,-0.15818283,-1.0712132,-1.0115142,-0.059699
14,1.9172896,1.7101797,"('antisocial', 'social')",-0.36894816,-0.39621902,0.7741708,0.6569803,0.1171905
56,1.8740404,1.9761096,"('impractical', 'practical')",0.1805884,0.4751435,1.0273144,1.2256266,-0.1983122
5,-1.8290914,-1.5686651,"('distant', 'outgoing')",-0.48488408,-0.3970876,-1.1569878,-0.9828764,-0.1741114
30,1.8103573,1.844748,"('intolerant', 'tolerant')",1.5628753,1.6925981,1.6866163,1.7686731,-0.0820568
19,-1.7685463,-1.4048413,"('inhospitable', 'hospitable')",-0.27971402,-0.13140936,-1.0241302,-0.7681254,-0.2560048
85,-1.7460839,-1.7322729,"('insignificant', 'prestigious')",0.2129742,-0.03099801,-0.7665548,-0.8816354,0.1150806
35,-1.7086225,-1.5934908,"('corrupt', 'incorrupt')",-0.5876118,-0.75069207,-1.1481171,-1.1720915,0.0239744
62,1.6910527,1.8942763,"('incompetent', 'brilliant')",0.6783919,1.1030594,1.1847223,1.4986678,-0.3139455
48,1.5761446,1.2629244,"('unintelligent', 'intelligent')",0.99141943,0.8287418,1.283782,1.0458331,0.2379489
21,1.5254587,1.5019156,"('immoral', 'moral')",-0.43651783,-0.3329634,0.5444704,0.5844761,-0.0400057
1,-1.5232118,-1.5898583,"('unfriendly', 'friendly')",1.3372267,1.2422239,-0.0929925,-0.1738172,0.0808247
79,-1.4682401,-1.329185,"('wavering', 'unwavering')",-0.46440417,-0.3660641,-0.9663222,-0.8476245,-0.1186977
43,1.3776089,1.1854794,"('irresponsible', 'responsible')",0.7501417,0.7626461,1.0638753,0.9740627,0.0898126
4,-1.303898,-1.1400524,"('disliked', 'liked')",-6.572728,-6.3417892,-3.938313,-3.7409208,-0.1973922
65,1.2592714,1.0739855,"('insecure', 'secure')",-0.05381198,-0.06363627,0.6027297,0.5051746,0.0975551
16,-1.2575728,-1.1472465,"('unpopular', 'popular')",0.44829246,0.39750206,-0.4046401,-0.3748722,-0.0297679
55,1.1702446,1.1564333,"('incompetent', 'clever')",0.22514692,0.08360235,0.6976957,0.6200178,0.0776779
76,1.1449964,1.2285097,"('anxious', 'daring')",0.3272367,0.44550055,0.7361165,0.8370051,-0.1008886
75,-1.1430407,-0.71329486,"('meek', 'impulsive')",-0.6565055,-0.33295545,-0.8997731,-0.5231252,-0.3766479
8,-1.0923169,-1.0713214,"('unaffectionate', 'affectionate')",0.5377241,0.55394435,-0.2772964,-0.2586885,-0.0186079
52,-1.0691277,-1.1505346,"('irrational', 'rational')",0.13523524,-0.07896737,-0.4669462,-0.614751,0.1478048
11,1.0646693,1.0299884,"('unhelpful', 'helpful')",1.9981905,2.1334825,1.5314299,1.5817354,-0.0503055
69,-1.0031629,-1.098218,"('lazy', 'industrious')",-0.6192855,-0.8322174,-0.8112242,-0.9652177,0.1539935
25,-0.9804273,-0.9543842,"('egoistic', 'altruistic')",1.4004943,1.2777265,0.2100335,0.1616712,0.0483623
23,0.93619627,0.80619943,"('insincere', 'sincere')",5.879553,5.8295536,3.4078746,3.3178766,0.089998
80,0.89465326,0.681462,"('dominated', 'dominating')",-1.2695869,-1.3433983,-0.1874668,-0.3309682,0.1435014
13,0.8608226,0.8862666,"('impolite', 'polite')",-0.4416086,-0.2510855,0.209607,0.3175905,-0.1079835
9,-0.82717437,-0.831401,"('unaffectionate', 'caring')",0.9566729,0.9995069,0.0647493,0.084053,-0.0193037
20,0.81776327,0.5342426,"('rough', 'thoughtful')",1.0449878,0.8454766,0.9313755,0.6898596,0.2415159
22,0.80816597,0.7702337,"('untrustworthy', 'trustworthy')",-0.76259875,-0.7871683,0.0227836,-0.0084673,0.0312509
84,0.8013143,0.85605353,"('inferior', 'superior')",0.7550769,0.77193594,0.7781956,0.8139948,-0.0357992
49,0.78932196,0.83819246,"('unable', 'able')",0.19359402,0.42752364,0.491458,0.632858,-0.1414
