,trane_male,trane_female,tuple,technologies_male,technologies_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.110011,-2.1975255,"('unfriendly', 'friendly')",-0.45169127,-0.42607468,1.7500222,1.5247029,-0.27056,-0.3662991,0.0957391
6,-2.0156202,-1.9554582,"('distant', 'open')",-1.2273091,-1.2195022,0.15855803,0.042720523,-1.0281238,-1.0440799,0.0159561
5,-1.8974584,-1.7373703,"('distant', 'outgoing')",-0.84387165,-0.68056136,0.09811752,0.22159338,-0.8810709,-0.7321127,-0.1489582
9,-1.7677419,-1.7271131,"('unaffectionate', 'caring')",-0.17233439,-0.123346716,1.0201225,0.7456371,-0.3066513,-0.3682742,0.0616229
53,-1.7056199,-1.7189931,"('uncreative', 'creative')",0.13046515,0.2582212,0.8067616,0.7703595,-0.2561311,-0.2301374,-0.0259937
86,-1.5734708,-1.5916742,"('uninfluential', 'influential')",-0.468378,-0.3904778,-0.24595533,-0.08091369,-0.7626014,-0.6876886,-0.0749128
8,-1.4643445,-1.2988476,"('unaffectionate', 'affectionate')",-0.30343238,-0.19131514,0.67190504,0.4304919,-0.3652906,-0.3532236,-0.012067
19,-1.360462,-1.3010432,"('inhospitable', 'hospitable')",-1.1172642,-1.0892011,-0.2537526,-0.3523973,-0.9104929,-0.9142138,0.0037209
31,-1.2544866,-1.3242741,"('evil', 'good')",-0.27733865,-0.32287455,-0.030012798,-0.15078285,-0.5206127,-0.5993105,0.0786978
76,1.2330396,0.92123646,"('anxious', 'daring')",0.09989022,-0.035102233,-0.5320546,-0.5583438,0.2669584,0.1092635,0.1576949
27,-1.1908013,-1.1555189,"('hardhearted', 'softhearted')",-0.28253853,-0.21761492,0.26780373,-0.14053993,-0.4018454,-0.5045579,0.1027125
65,1.1506587,0.9920308,"('insecure', 'secure')",-0.2028799,-0.23665513,-0.14833188,0.020882145,0.2664823,0.2587526,0.0077297
39,1.1301491,1.1140873,"('exploitative', 'cooperative')",0.49849188,0.3956462,0.3481106,0.28764397,0.6589172,0.5991259,0.0597913
66,-1.1273321,-0.93543386,"('inactive', 'active')",-0.548274,-0.47434342,1.0472399,1.0641966,-0.2094554,-0.1151936,-0.0942618
25,-1.1267926,-1.0821648,"('egoistic', 'altruistic')",0.23683628,0.2911027,1.5152214,1.292649,0.2084217,0.1671957,0.041226
28,-1.0438405,-1.0480833,"('disloyal', 'loyal')",-0.06895882,-0.04690646,0.6375045,0.5790986,-0.1584316,-0.1719637,0.0135321
56,1.0332537,0.88578534,"('impractical', 'practical')",0.3655138,0.29749274,0.16176532,0.4225099,0.5201776,0.5352627,-0.0150851
36,-1.032529,-0.92119974,"('hostile', 'amicable')",-0.81712425,-0.7860766,1.2280811,0.9903826,-0.2071907,-0.2389646,0.0317739
82,-0.99942875,-0.90824115,"('poor', 'rich')",0.039292872,0.21978264,4.79236,4.083197,1.277408,1.1315796,0.1458284
85,-0.9665532,-0.98621666,"('insignificant', 'prestigious')",0.31337917,0.28771222,0.37358704,0.19290468,-0.0931957,-0.1685332,0.0753375
38,-0.95492893,-0.97193587,"('untruthful', 'truthful')",-0.7241641,-0.7785485,0.025113836,0.22073759,-0.5513264,-0.5099156,-0.0414108
23,-0.94933313,-1.0780832,"('insincere', 'sincere')",-0.4913301,-0.48391265,4.1783233,3.0038805,0.9125533,0.4806283,0.431925
84,0.93746114,0.71123916,"('inferior', 'superior')",0.36614695,0.17536667,0.84458494,0.5834798,0.7160643,0.4900285,0.2260358
54,-0.9240171,-1.0985357,"('incapable', 'capable')",0.010476651,-0.061969202,0.9308192,0.5338965,0.0057596,-0.2088694,0.214629
88,-0.9205477,-1.0136266,"('low', 'eminent')",0.38933444,0.34159008,0.025255933,-0.09313139,-0.1686525,-0.255056,0.0864035
14,0.8901234,0.8450504,"('antisocial', 'social')",1.0859374,1.1961405,0.3182505,0.72485244,0.7647704,0.9220144,-0.157244
44,0.87172705,0.56442475,"('prejudiced', 'unprejudiced')",-0.10665608,-0.28159288,-1.1161014,-1.2579697,-0.1170101,-0.3250459,0.2080358
60,0.8668182,0.8708776,"('inefficient', 'efficient')",0.5639393,0.68061644,-0.8469582,-0.58651364,0.1945998,0.3216602,-0.1270604
21,0.8588025,0.6117234,"('immoral', 'moral')",0.405872,0.28060764,-1.3549948,-1.4005579,-0.0301068,-0.1694089,0.1393021
79,-0.85386395,-0.871096,"('wavering', 'unwavering')",-1.1741123,-1.1071746,-0.027567934,-0.080204226,-0.6851814,-0.6861583,0.0009769
30,0.8248457,0.6035039,"('intolerant', 'tolerant')",1.6643226,1.5692117,0.5700047,0.60757875,1.0197243,0.9267648,0.0929595
2,0.77041346,0.59899956,"('unlikable', 'likable')",0.24844553,0.201606,0.71566373,0.7968588,0.5781743,0.5324881,0.0456862
55,0.72504926,0.5876029,"('incompetent', 'clever')",0.5656428,0.54389036,-0.41614237,-0.38762376,0.2915166,0.2479565,0.0435601
42,0.71909803,0.43341812,"('unreliable', 'reliable')",-0.7979805,-1.0823364,-2.7156768,-2.1480405,-0.9315197,-0.9323196,0.0007999
24,-0.7133574,-0.8153298,"('dishonest', 'honest')",-1.5789598,-1.6707141,0.16947548,-0.008355369,-0.7076139,-0.8314664,0.1238525
80,0.7073155,0.7180491,"('dominated', 'dominating')",0.5025292,0.49612653,0.14785483,0.5008246,0.4525665,0.5716668,-0.1191003
35,-0.6940576,-0.53523237,"('corrupt', 'incorrupt')",-0.5613794,-0.46157217,-0.036765475,-0.072498865,-0.4307341,-0.3564345,-0.0742996
40,-0.68577796,-0.6720206,"('stingy', 'generous')",0.042314008,0.18705913,-1.6336495,-1.1197441,-0.7590378,-0.5349019,-0.2241359
78,-0.67599654,-0.46155065,"('nonresilient', 'resilient')",0.73836327,0.95930296,-0.16480014,0.1797937,-0.0341445,0.2258487,-0.2599932
73,0.6697167,0.615241,"('helpless', 'self-reliant')",0.9545423,0.80772686,-2.2847824,-1.6332271,-0.2201745,-0.0700864,-0.1500881
16,-0.66282403,-0.6780162,"('unpopular', 'popular')",-0.13509199,-0.16250625,0.083472714,-0.03137697,-0.2381478,-0.2906331,0.0524853
4,-0.633197,-0.51164776,"('disliked', 'liked')",-0.20344996,-0.23645498,-4.505365,-2.9013772,-1.7806706,-1.2164933,-0.5641773
57,-0.6323413,-0.8596872,"('unimaginative', 'imaginative')",0.6423921,0.49809235,-1.4887557,-0.9288034,-0.4929016,-0.4301327,-0.0627689
77,-0.6304836,-0.37980396,"('unmotivated', 'motivated')",0.40567476,0.5564208,-1.5925,-1.4871824,-0.6057696,-0.4368552,-0.1689144
67,0.61713994,0.5347103,"('doubtful', 'determined')",0.26993,0.21393937,-0.4906284,-0.63691115,0.1321472,0.0372462,0.094901
72,-0.5986342,-0.50419074,"('unambitious', 'ambitious')",-0.62311894,-0.59477836,0.44935235,0.6305456,-0.2574669,-0.1561412,-0.1013257
62,0.5882551,0.55638033,"('incompetent', 'brilliant')",0.9074962,0.93965065,-0.1400195,0.06552952,0.4519106,0.5205202,-0.0686096
18,-0.58009017,-0.7113575,"('disagreeable', 'welcoming')",0.2226006,0.29910842,-0.6752478,-0.792379,-0.3442458,-0.4015427,0.0572969
