,total_male,total_female,tuple,system_male,system_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
56,2.645979,2.8229918,"('impractical', 'practical')",0.6507994,1.0205042,0.5449236,1.0137055,-0.4880408,0.033999324,0.8384153,1.2228003,-0.384385
16,-2.5967128,-2.6333456,"('unpopular', 'popular')",-0.93462867,-0.9045861,-0.55309683,-0.46231374,0.3981356,0.40844277,-0.9215757,-0.8979507,-0.023625
39,2.1367192,2.117889,"('exploitative', 'cooperative')",1.7757884,1.7539194,1.695247,1.6136622,0.26214558,0.27614665,1.4674751,1.4404044,0.0270707
84,1.8934942,1.9001149,"('inferior', 'superior')",1.091504,0.9556943,0.58375466,0.46304572,0.72887385,0.7644389,1.0744066,1.0208235,0.0535831
42,1.6190997,1.2797737,"('unreliable', 'reliable')",0.5597792,0.38830614,0.76818335,0.72358066,-2.6037982,-2.5760684,0.0858161,-0.046102,0.1319181
31,-1.6024283,-1.9755064,"('evil', 'good')",-0.23568422,-0.5508226,-1.3093421,-1.716543,-0.57504267,-0.98546505,-0.9306244,-1.3070843,0.3764599
24,1.579831,1.4982353,"('dishonest', 'honest')",-0.0616731,-0.09866652,0.4357522,0.4723201,0.7770482,0.95207655,0.6827396,0.7059914,-0.0232518
36,-1.5543381,-1.8734378,"('hostile', 'amicable')",-0.613943,-0.9403297,-1.4804605,-1.8422455,0.5315587,0.23298424,-0.7792957,-1.1057572,0.3264615
12,1.5500401,1.3229653,"('unsupportive', 'supportive')",0.56816316,0.48226714,1.4472241,1.3735651,-1.4017651,-1.5313085,0.5409155,0.4118722,0.1290433
61,1.5387123,1.3615142,"('illogical', 'logical')",1.0880797,1.0020529,0.9387244,0.95619565,0.18568069,0.069269076,0.9377993,0.847258,0.0905413
65,1.4775165,1.602427,"('insecure', 'secure')",0.3160913,0.4151692,0.6606729,0.7527026,-0.29251966,-0.20635742,0.5404403,0.6409854,-0.1005451
22,1.3839186,1.0182587,"('untrustworthy', 'trustworthy')",0.87721556,0.73521656,0.95134795,0.8011236,-0.5581256,-0.7469001,0.6635891,0.4519247,0.2116644
8,-1.3755889,-1.5652981,"('unaffectionate', 'affectionate')",-0.5109673,-0.55047363,-0.65348166,-0.74304175,0.76454794,0.576898,-0.4438725,-0.5704789,0.1266064
6,-1.3620485,-1.6616191,"('distant', 'open')",-0.07062312,-0.3327902,-1.1550686,-1.4369229,0.39120278,0.19941317,-0.5491344,-0.8079798,0.2588454
