,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,male-female
60,2.5116563,2.463828,"('inefficient', 'efficient')",2.9399235,2.9633434,-0.07618351,0.15701565,1.7917989,1.8613958,-0.0695969
36,-2.4871418,-2.5612895,"('hostile', 'amicable')",-2.3825214,-2.434727,-0.04385007,-0.29327655,-1.6378377,-1.7630978,0.1252601
5,-2.4682007,-2.2673132,"('distant', 'outgoing')",-1.0448838,-0.82114255,-0.69108415,-0.7132528,-1.4013894,-1.2672362,-0.1341532
19,-2.3684642,-2.2009404,"('inhospitable', 'hospitable')",-1.5020713,-1.3705931,-0.6923626,-0.8344248,-1.5209661,-1.4686527,-0.0523134
14,2.3376534,2.2933702,"('antisocial', 'social')",1.9592717,1.827071,-0.326393,-0.35392064,1.3235106,1.2555069,0.0680037
6,-2.2091224,-2.1209857,"('distant', 'open')",-1.0459808,-0.93176544,0.048866786,-0.030846303,-1.0687455,-1.0278658,-0.0408797
31,-2.1712778,-2.1094475,"('evil', 'good')",-1.2963417,-1.2129104,-0.54196954,-0.68986535,-1.3365297,-1.3374077,0.000878
81,1.8230714,1.7735891,"('submissive', 'aggressive')",1.879507,1.7388287,-0.5711466,-0.3678085,1.0438105,1.0482031,-0.0043926
56,1.7707382,1.8495606,"('impractical', 'practical')",1.6356804,1.8556954,-0.3802156,-0.1616392,1.0087344,1.1812056,-0.1724712
49,-1.7703469,-1.7599889,"('unable', 'able')",-0.9522723,-0.9183427,-0.07031883,0.047661968,-0.9309793,-0.8768899,-0.0540894
7,1.7493986,1.6442218,"('insensitive', 'sensitive')",1.7293195,1.6994076,0.48045027,0.52755046,1.3197228,1.2903933,0.0293295
4,-1.7078636,-1.6223861,"('disliked', 'liked')",-0.84374046,-0.7487504,-7.7683325,-7.773849,-3.4399789,-3.3816617,-0.0583172
79,-1.6679168,-1.6109506,"('wavering', 'unwavering')",-1.7679148,-1.8217543,-0.35728312,-0.36313716,-1.2643716,-1.2652807,0.0009091
21,1.6566259,1.3994036,"('immoral', 'moral')",1.6604605,1.4786015,-0.5595459,-0.5485017,0.9191801,0.7765011,0.142679
12,1.6408792,1.6004959,"('unsupportive', 'supportive')",1.9386055,2.0131488,-2.1078243,-1.9729893,0.4905535,0.5468851,-0.0563316
67,1.6076174,1.5758564,"('doubtful', 'determined')",1.3327383,1.1522653,-0.5310133,-0.600298,0.8031142,0.7092746,0.0938396
11,1.6017231,1.5334878,"('unhelpful', 'helpful')",2.0873225,2.1002536,1.4660434,1.5203766,1.718363,1.7180394,0.0003236
62,1.588911,1.6543678,"('incompetent', 'brilliant')",1.805494,1.858727,0.048816744,0.22804715,1.1477405,1.2470473,-0.0993068
