,covidien_male,covidien_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-2.6214292,-2.540933,"('unfriendly', 'friendly')",1.0584346,0.8295606,-0.7814973,-0.8556862,0.0741889
8,-2.128449,-2.0929062,"('unaffectionate', 'affectionate')",0.035218883,-0.059682168,-1.046615,-1.0762942,0.0296792
27,-1.9775915,-1.895348,"('hardhearted', 'softhearted')",-0.17729308,0.3969225,-1.0774423,-0.7492127,-0.3282296
86,-1.8315011,-1.6858132,"('uninfluential', 'influential')",0.15203917,0.13900363,-0.839731,-0.7734048,-0.0663262
9,-1.8314455,-1.8311018,"('unaffectionate', 'caring')",0.8075531,0.93477094,-0.5119462,-0.4481654,-0.0637808
18,-1.7507561,-1.5664583,"('disagreeable', 'welcoming')",-1.0811414,-1.0121219,-1.4159487,-1.2892902,-0.1266585
84,1.4123433,1.4228474,"('inferior', 'superior')",0.6183335,0.74837595,1.0153384,1.0856117,-0.0702733
10,-1.4091692,-1.5399854,"('unsympathetic', 'sympathetic')",-0.43863925,0.21487314,-0.9239042,-0.6625562,-0.261348
23,-1.401181,-1.2389176,"('insincere', 'sincere')",3.752096,5.488604,1.1754575,2.1248431,-0.9493856
13,-1.3812346,-1.3618608,"('impolite', 'polite')",-0.54572874,0.17177421,-0.9634817,-0.5950433,-0.3684384
45,-1.3350549,-1.393132,"('incompetent', 'competent')",0.50297123,0.42038962,-0.4160418,-0.4863712,0.0703294
57,-1.3319587,-1.2606452,"('unimaginative', 'imaginative')",-1.3655994,-2.2445533,-1.348779,-1.7525992,0.4038202
0,-1.2760422,-1.2644615,"('unsociable', 'sociable')",-0.5623714,-0.27825096,-0.9192068,-0.7713562,-0.1478506
41,-1.2642591,-1.0371909,"('unforgiving', 'forgiving')",0.28449887,0.39631733,-0.4898801,-0.3204368,-0.1694433
24,-1.2492254,-1.1900516,"('dishonest', 'honest')",0.5283741,0.66385776,-0.3604257,-0.2630969,-0.0973288
63,-1.2147057,-1.0837952,"('unperceptive', 'insightful')",1.0376216,1.3580437,-0.088542,0.1371242,-0.2256662
43,-1.1919174,-1.382459,"('irresponsible', 'responsible')",1.1140859,1.5017511,-0.0389158,0.059646,-0.0985618
32,-1.1780064,-1.2971413,"('unkind', 'kind')",0.3710027,0.50302607,-0.4035019,-0.3970576,-0.0064443
69,1.1339624,1.2276322,"('lazy', 'industrious')",-0.17023867,-0.60007584,0.4818619,0.3137782,0.1680837
73,1.1238922,1.1013181,"('helpless', 'self-reliant')",-2.3373175,-3.07741,-0.6067126,-0.9880459,0.3813333
19,-1.0941036,-1.0663241,"('inhospitable', 'hospitable')",-0.8334369,-0.76879746,-0.9637703,-0.9175608,-0.0462095
38,-1.0656438,-1.342391,"('untruthful', 'truthful')",0.12350008,0.10122384,-0.4710718,-0.6205836,0.1495118
53,-1.0197319,-0.8033914,"('uncreative', 'creative')",0.7810197,0.42251772,-0.1193561,-0.1904368,0.0710807
7,-1.0170298,-0.7520793,"('insensitive', 'sensitive')",0.11731793,0.6788062,-0.4498559,-0.0366366,-0.4132193
88,-1.0084581,-1.0934244,"('low', 'eminent')",0.20003071,-0.12184199,-0.4042137,-0.6076332,0.2034195
48,-1.0049413,-0.78901863,"('unintelligent', 'intelligent')",0.06730132,0.43050992,-0.46882,-0.1792544,-0.2895656
26,-1.0014145,-1.0532448,"('hardhearted', 'benevolent')",1.8194667,1.4077269,0.4090261,0.177241,0.2317851
72,-0.95388776,-1.1623942,"('unambitious', 'ambitious')",0.81976956,0.6802615,-0.0670591,-0.2410663,0.1740072
20,0.9260811,0.88175297,"('rough', 'thoughtful')",1.1148051,1.2975452,1.0204431,1.0896491,-0.069206
11,-0.9230335,-0.95355904,"('unhelpful', 'helpful')",0.9273113,1.716427,0.0021389,0.381434,-0.3792951
12,-0.8931921,-0.8827466,"('unsupportive', 'supportive')",-1.1018081,-1.1987305,-0.9975001,-1.0407386,0.0432385
29,0.84526265,0.64260197,"('unfair', 'fair')",-0.53227895,-0.7458395,0.1564918,-0.0516188,0.2081106
28,-0.8150785,-0.6005651,"('disloyal', 'loyal')",0.5693345,0.55874693,-0.122872,-0.0209091,-0.1019629
67,0.80710614,0.5203327,"('doubtful', 'determined')",-0.1822042,-0.20685978,0.312451,0.1567365,0.1557145
6,-0.78869855,-0.8623584,"('distant', 'open')",-0.20836332,-0.53502697,-0.4985309,-0.6986927,0.2001618
44,0.76242375,0.32899708,"('prejudiced', 'unprejudiced')",-1.4840953,-1.5899068,-0.3608358,-0.6304549,0.2696191
17,-0.7384152,-0.6517103,"('nasty', 'nice')",-1.3603463,-1.0429027,-1.0493808,-0.8473065,-0.2020743
46,-0.7031093,-0.8372981,"('uncompetitive', 'competitive')",-0.37443036,-0.27023768,-0.5387698,-0.5537679,0.0149981
39,0.6920691,1.1963197,"('exploitative', 'cooperative')",0.32688314,0.63870287,0.5094761,0.9175113,-0.4080352
78,-0.61415964,-0.47044605,"('nonresilient', 'resilient')",0.1525648,0.5127362,-0.2307974,0.0211451,-0.2519425
15,-0.6071564,-0.60403675,"('boring', 'funny')",0.09030934,0.016532926,-0.2584235,-0.2937519,0.0353284
52,-0.5844995,-0.45570582,"('irrational', 'rational')",-0.4071317,-0.6831892,-0.4958156,-0.5694475,0.0736319
51,-0.5760474,-0.5052253,"('uneducated', 'educated')",0.8141355,0.85061693,0.119044,0.1726958,-0.0536518
35,0.53564465,0.48741484,"('corrupt', 'incorrupt')",-0.7713698,-1.1213031,-0.1178626,-0.3169441,0.1990815
80,0.52377564,0.37764764,"('dominated', 'dominating')",0.54491,0.54098743,0.5343428,0.4593175,0.0750253
42,0.5192858,0.30340376,"('unreliable', 'reliable')",-1.6943471,-2.377985,-0.5875307,-1.0372906,0.4497599
60,-0.50820106,-0.5483283,"('inefficient', 'efficient')",0.3601259,0.85275584,-0.0740376,0.1522138,-0.2262514
71,-0.49675232,-0.4288479,"('diffident', 'self-confident')",-0.23211755,0.041113466,-0.3644349,-0.1938672,-0.1705677
31,-0.48739398,-0.3608098,"('evil', 'good')",-0.9367603,-1.612427,-0.7120771,-0.9866184,0.2745413
77,-0.4754565,-0.4317551,"('unmotivated', 'motivated')",-0.6079801,-0.49457535,-0.5417183,-0.4631652,-0.0785531
85,-0.4602547,-0.478879,"('insignificant', 'prestigious')",-0.49810803,-1.2773556,-0.4791813,-0.8781173,0.398936
5,-0.43396303,-0.46024433,"('distant', 'outgoing')",-0.2180818,-0.43785915,-0.3260224,-0.4490517,0.1230293
70,-0.40093124,-0.4235159,"('lethargic', 'energetic')",0.32204157,0.71262264,-0.0394448,0.1445534,-0.1839982
4,-0.39959604,-0.22795622,"('disliked', 'liked')",-4.363876,-6.496692,-2.381736,-3.3623242,0.9805882
47,-0.3709704,-0.31307775,"('stupid', 'smart')",4.416612,5.682764,2.0228209,2.6848431,-0.6620222
81,-0.36917707,-0.39321047,"('submissive', 'aggressive')",0.1494259,0.21679899,-0.1098756,-0.0882057,-0.0216699
58,-0.36433604,-0.3738794,"('undiscriminating', 'discriminating')",0.46937716,0.26056615,0.0525206,-0.0566566,0.1091772
83,0.359738,0.2566235,"('powerless', 'powerful')",-0.040288553,-0.21554416,0.1597247,0.0205397,0.139185
21,-0.3464667,-0.5267265,"('immoral', 'moral')",-0.55074257,-0.4004075,-0.4486046,-0.463567,0.0149624
40,-0.3460197,-0.08213232,"('stingy', 'generous')",-1.4310586,-2.170764,-0.8885392,-1.1264482,0.237909
25,-0.34377122,-0.4312249,"('egoistic', 'altruistic')",1.359926,0.80693436,0.5080774,0.1878547,0.3202227
16,-0.33739293,-0.39884812,"('unpopular', 'popular')",-0.25482047,-0.42760137,-0.2961067,-0.4132248,0.1171181
34,0.32734996,0.5093846,"('mean', 'honorable')",3.6011453,4.8773627,1.9642476,2.6933737,-0.7291261
55,-0.3228506,-0.3904289,"('incompetent', 'clever')",0.3071803,0.52692854,-0.0078352,0.0682498,-0.076085
79,-0.30966407,-0.42727077,"('wavering', 'unwavering')",-0.41789764,-0.7312986,-0.3637809,-0.5792847,0.2155038
56,0.30605957,-0.0010411385,"('impractical', 'practical')",1.3136027,1.2547871,0.8098311,0.626873,0.1829581
68,-0.29750896,-0.26926056,"('dependent', 'independent')",-0.6380287,-0.40219727,-0.4677688,-0.3357289,-0.1320399
82,-0.2958246,-0.4206171,"('poor', 'rich')",4.6633935,5.556119,2.1837845,2.5677509,-0.3839664
75,0.27251887,0.04026518,"('meek', 'impulsive')",-0.80553836,-1.179785,-0.2665097,-0.5697599,0.3032502
62,-0.26734734,-0.29248083,"('incompetent', 'brilliant')",1.008398,1.0768961,0.3705254,0.3922076,-0.0216822
2,0.25987354,0.0071655214,"('unlikable', 'likable')",0.90970826,0.60165894,0.5847909,0.3044122,0.2803787
36,-0.24893464,-0.19857927,"('hostile', 'amicable')",0.29647318,-0.40227467,0.0237693,-0.300427,0.3241963
54,-0.24769342,-0.38756484,"('incapable', 'capable')",0.6905548,0.8829117,0.2214307,0.2476734,-0.0262427
61,-0.2471695,-0.18357432,"('illogical', 'logical')",0.64562327,0.687678,0.1992269,0.2520518,-0.0528249
64,0.24262887,0.17298582,"('shy', 'confident')",-4.2383547,-5.138988,-1.9978629,-2.483001,0.4851381
22,-0.24245834,-0.33435372,"('untrustworthy', 'trustworthy')",-0.67859495,-0.443544,-0.4605266,-0.3889489,-0.0715777
87,0.2283474,0.037684068,"('unsuccessful', 'successful')",1.2560763,1.189205,0.7422119,0.6134446,0.1287673
30,-0.21525636,-0.13930435,"('intolerant', 'tolerant')",0.7394303,1.2116175,0.262087,0.5361565,-0.2740695
49,-0.20044605,-0.06737946,"('unable', 'able')",-0.31950954,-0.012003621,-0.2599778,-0.0396915,-0.2202863
14,0.14929341,0.0015091486,"('antisocial', 'social')",0.7032167,0.5211889,0.426255,0.261349,0.164906
74,-0.12272512,-0.21844809,"('undedicated', 'dedicated')",0.77605623,0.30471104,0.3266656,0.0431315,0.2835341
59,0.11807704,0.1565601,"('foolish', 'wise')",-0.31883922,-0.18904586,-0.1003811,-0.0162429,-0.0841382
66,-0.0886692,-0.2699828,"('inactive', 'active')",0.70280117,0.4493585,0.307066,0.0896878,0.2173782
33,0.07953419,-0.017728208,"('wrong', 'right')",-0.0981534,-0.3065292,-0.0093096,-0.1621287,0.1528191
76,-0.07885315,-0.3183635,"('anxious', 'daring')",0.19458388,0.276339,0.0578654,-0.0210122,0.0788776
37,-0.058238257,-0.07837677,"('fake', 'genuine')",0.24784201,0.44180202,0.0948019,0.1817126,-0.0869107
3,-0.042201094,0.24725842,"('repellent', 'pleasant')",-0.1201484,0.21990912,-0.0811747,0.2335838,-0.3147585
50,-0.03826518,0.08214958,"('clumsy', 'skillful')",-0.80905056,-0.5609391,-0.4236579,-0.2393948,-0.1842631
65,0.02995808,0.009425455,"('insecure', 'secure')",0.4397797,0.7976198,0.2348689,0.4035226,-0.1686537
