,american_male,american_female,tuple,capital_male,capital_female,ltd_male,ltd_female,average_male,average_female,male-female
16,-2.0898645,-2.1319025,"('unpopular', 'popular')",0.07767783,0.05724016,0.1086176,0.23635961,-0.6345231,-0.6127675,-0.0217556
73,1.5644246,1.4052091,"('helpless', 'self-reliant')",1.1647053,1.1359051,-3.3414686,-3.2444808,-0.2041129,-0.2344555,0.0303426
36,-1.4698876,-1.7634662,"('hostile', 'amicable')",-0.14872369,-0.46583062,0.4900346,0.17839438,-0.3761923,-0.6836342,0.3074419
82,-1.3634702,-0.50012755,"('poor', 'rich')",-0.45585245,0.15055643,6.2117496,6.3666687,1.4641423,2.0056992,-0.5415569
39,1.3036492,1.7496643,"('exploitative', 'cooperative')",0.56035185,0.7044503,0.17746058,0.15490672,0.6804872,0.8696738,-0.1891866
42,1.1738858,1.2717329,"('unreliable', 'reliable')",1.0864078,1.537584,-3.0555038,-2.7132301,-0.2650701,0.0320289,-0.297099
78,-1.1088138,-0.9339637,"('nonresilient', 'resilient')",0.8032731,0.7276566,0.48994178,0.14680955,0.061467,-0.0198325,0.0812995
47,-1.0889195,-0.999617,"('stupid', 'smart')",0.3774947,0.7316552,6.1487603,6.056341,1.8124452,1.9294597,-0.1170145
53,-1.0469263,-1.0772004,"('uncreative', 'creative')",0.96230465,0.8298742,0.81739026,0.52702403,0.2442562,0.0932326,0.1510236
77,-1.0381021,-0.5482333,"('unmotivated', 'motivated')",1.1636335,1.3520628,-1.263084,-1.1698883,-0.3791842,-0.1220196,-0.2571646
34,-1.0351588,-0.7143022,"('mean', 'honorable')",0.25351122,0.17479548,5.7775784,5.5514364,1.6653102,1.6706432,-0.005333
24,1.0348428,0.6386405,"('dishonest', 'honest')",-0.6186721,-0.8688926,0.3966006,0.13306317,0.2709238,-0.0323963,0.3033201
49,-1.0235617,-0.20957431,"('unable', 'able')",-0.55738336,-0.176215,-0.074116975,0.17648025,-0.5516873,-0.0697697,-0.4819176
31,-1.0006825,-1.7754322,"('evil', 'good')",-0.28417414,-0.5856945,-0.46134874,-1.0153338,-0.5820684,-1.1254869,0.5434185
29,-0.9756067,-1.2463135,"('unfair', 'fair')",-0.18273315,-0.3086002,-0.37203985,-0.87340224,-0.5101266,-0.8094386,0.299312
40,0.9307255,0.030681167,"('stingy', 'generous')",1.1855487,0.5199503,-1.5052876,-2.2466397,0.2036622,-0.5653361,0.7689983
76,0.8681416,1.279719,"('anxious', 'daring')",1.0504446,1.4110302,0.3773892,0.7472088,0.7653251,1.145986,-0.3806609
