,harley_male,harley_female,tuple,davidson_male,davidson_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.3557279,-1.3116415,"('unsympathetic', 'sympathetic')",-0.27054852,-0.45284045,0.17349719,0.03551255,-0.4842598,-0.5763231,0.0920633
56,1.3406101,1.192108,"('impractical', 'practical')",1.8355672,1.5469817,0.24399297,0.08802536,1.1400568,0.9423717,0.1976851
57,-1.2688369,-0.90371054,"('unimaginative', 'imaginative')",-1.2493808,-1.0452904,-2.9135728,-2.6824718,-1.8105968,-1.5438242,-0.2667726
67,1.2432648,1.015992,"('doubtful', 'determined')",0.7338215,0.60249734,-0.43344772,-0.6210593,0.5145462,0.3324767,0.1820695
18,-1.191561,-1.1022737,"('disagreeable', 'welcoming')",-1.8019117,-1.5201678,-0.68439424,-0.6724079,-1.2259556,-1.0982831,-0.1276725
45,-1.1374204,-0.93696404,"('incompetent', 'competent')",-0.21525033,-0.26636094,0.29025778,0.26626247,-0.3541377,-0.3123542,-0.0417835
17,-1.1333455,-0.80413246,"('nasty', 'nice')",-0.8448745,-0.6864014,-0.89677316,-0.85085183,-0.958331,-0.7804619,-0.1778691
29,1.1166729,1.2486749,"('unfair', 'fair')",-0.07101686,-0.04405709,-0.42165124,-0.34783134,0.2080016,0.2855955,-0.0775939
42,-1.1062673,-0.92830604,"('unreliable', 'reliable')",-0.8317559,-0.8506626,-2.9721386,-2.8611836,-1.6367207,-1.5467173,-0.0900034
73,1.0931227,1.1978455,"('helpless', 'self-reliant')",0.021934519,0.22552153,-3.3307738,-3.2443366,-0.7385722,-0.6069899,-0.1315823
75,1.0383005,0.807282,"('meek', 'impulsive')",0.51467854,0.41766542,-0.20962767,-0.16536087,0.4477838,0.3531955,0.0945883
28,-1.038034,-0.79753345,"('disloyal', 'loyal')",-0.520202,-0.4254895,1.2840443,1.3240663,-0.0913972,0.0336811,-0.1250783
85,1.0329022,1.3209894,"('insignificant', 'prestigious')",-0.0484136,0.37831834,-0.21925455,0.13963406,0.255078,0.6129806,-0.3579026
27,-1.0276014,-0.91855633,"('hardhearted', 'softhearted')",-0.81505334,-0.74646956,0.94642437,1.097624,-0.2987434,-0.189134,-0.1096094
71,0.98560214,1.287382,"('diffident', 'self-confident')",1.4697181,1.6927325,0.345654,0.5908133,0.9336581,1.1903092,-0.2566511
