,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
55,5.5554404,5.676717,"('incompetent', 'clever')",1.8939029,1.7428722,-1.5972024,-1.5357693,1.9507136,1.9612732,-0.0105596
31,-5.324523,-5.48504,"('evil', 'good')",-1.8977383,-1.7449176,0.40051934,0.39003724,-2.273914,-2.2799735,0.0060595
10,5.2725096,5.4459352,"('unsympathetic', 'sympathetic')",1.5981939,1.441485,-1.7336555,-1.7474049,1.7123494,1.7133384,-0.000989
46,4.9597974,5.0831594,"('uncompetitive', 'competitive')",1.6441454,1.4999352,-1.0948342,-1.0324243,1.8363695,1.8502234,-0.0138539
7,4.9081984,4.953289,"('insensitive', 'sensitive')",1.8843011,1.7735459,-0.10292871,-0.077828825,2.229857,2.2163353,0.0135217
60,4.901599,5.094052,"('inefficient', 'efficient')",1.9088371,1.8662906,-0.9637757,-0.8956312,1.9488869,2.0215704,-0.0726835
21,4.712376,4.813863,"('immoral', 'moral')",1.6445354,1.5813419,-1.221937,-1.1238586,1.7116582,1.7571154,-0.0454572
35,-4.6041565,-4.808664,"('corrupt', 'incorrupt')",-1.06986,-1.0924579,0.7820976,0.68735826,-1.6306397,-1.7379211,0.1072814
36,-4.4567523,-4.6815047,"('hostile', 'amicable')",-1.8638184,-1.834366,1.5283346,1.5288739,-1.5974121,-1.6623322,0.0649201
62,4.452915,4.6089554,"('incompetent', 'brilliant')",1.5951805,1.4750074,-0.31992072,-0.274126,1.9093917,1.9366123,-0.0272206
80,4.3808646,4.588855,"('dominated', 'dominating')",1.782611,1.6904721,-1.0052302,-0.94280297,1.719415,1.7788413,-0.0594263
85,-4.2883554,-4.4245815,"('insignificant', 'prestigious')",-1.3749539,-1.312224,1.1856205,1.1048167,-1.4925629,-1.5439962,0.0514333
79,-3.9996781,-4.078925,"('wavering', 'unwavering')",-0.45952016,-0.502473,1.06473,1.029621,-1.1314894,-1.1839256,0.0524362
23,3.7507772,3.7644536,"('insincere', 'sincere')",2.0212188,1.9973178,3.3666153,3.369884,3.0462036,3.0438849,0.0023187
6,-3.7120538,-3.7635124,"('distant', 'open')",-0.67691123,-0.6136311,1.1258668,1.0056926,-1.0876994,-1.123817,0.0361176
14,3.616486,3.6594677,"('antisocial', 'social')",1.226841,1.0978681,-1.2712204,-1.2987562,1.1907022,1.1528598,0.0378424
5,-3.6059365,-3.653809,"('distant', 'outgoing')",-0.7455145,-0.65386856,1.1155007,1.084051,-1.0786501,-1.0745422,-0.0041079
81,3.5640578,3.7874103,"('submissive', 'aggressive')",0.9505388,0.86741,-2.019365,-1.9190483,0.8317438,0.911924,-0.0801802
69,-3.547376,-3.5807586,"('lazy', 'industrious')",-0.8482901,-0.7375848,1.0801349,1.0662134,-1.1051771,-1.0840433,-0.0211338
56,3.5279589,3.637339,"('impractical', 'practical')",1.4966649,1.4096813,-0.261352,-0.30413273,1.5877573,1.5809625,0.0067948
11,3.4511154,3.4660597,"('unhelpful', 'helpful')",1.5910771,1.3910401,0.6922113,0.6153377,1.9114679,1.8241458,0.0873221
43,3.3484073,3.4018807,"('irresponsible', 'responsible')",1.0118134,0.909154,-1.0683271,-1.0903283,1.097298,1.0735688,0.0237292
65,3.3120933,3.4736629,"('insecure', 'secure')",0.8705888,0.8110364,-0.6758527,-0.606291,1.1689431,1.2261361,-0.057193
13,3.2103102,3.274618,"('impolite', 'polite')",0.95979637,0.8125287,-0.6854477,-0.6842207,1.1615529,1.1343087,0.0272442
70,3.074797,3.251557,"('lethargic', 'energetic')",1.1010355,0.99065506,-1.1469562,-1.0619297,1.0096254,1.0600942,-0.0504688
