,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,2.4833603,2.338651,"('uncreative', 'creative')",1.1487066,1.0347575,1.8160334,1.6867042,0.1293292
64,-2.4029233,-2.2065966,"('shy', 'confident')",-5.500512,-5.6624136,-3.9517179,-3.934505,-0.0172129
1,2.3393157,2.1750133,"('unfriendly', 'friendly')",1.0996943,1.1180815,1.719505,1.6465473,0.0729577
26,2.278316,2.2495131,"('hardhearted', 'benevolent')",0.834065,1.162519,1.5561905,1.7060161,-0.1498256
80,-2.272615,-2.079484,"('dominated', 'dominating')",-1.4246714,-1.4389802,-1.8486432,-1.759232,-0.0894112
44,-1.8935516,-1.841384,"('prejudiced', 'unprejudiced')",-1.1241404,-1.1936889,-1.508846,-1.5175364,0.0086904
85,1.8258317,1.6027141,"('insignificant', 'prestigious')",0.41904777,0.38787353,1.1224397,0.9952938,0.1271459
6,1.7592473,1.7145041,"('distant', 'open')",-0.23163122,-0.0855555,0.763808,0.8144743,-0.0506663
9,1.5998713,1.438295,"('unaffectionate', 'caring')",0.2463562,0.27917928,0.9231138,0.8587371,0.0643767
34,1.5457833,1.5672779,"('mean', 'honorable')",6.329113,6.444179,3.937448,4.0057287,-0.0682807
5,1.5375688,1.4484367,"('distant', 'outgoing')",-0.4724118,-0.36386272,0.5325785,0.542287,-0.0097085
81,-1.4772953,-1.2277538,"('submissive', 'aggressive')",-0.758348,-0.78800595,-1.1178217,-1.0078799,-0.1099418
23,1.4758797,1.418212,"('insincere', 'sincere')",5.6292133,5.7838707,3.5525465,3.6010413,-0.0484948
54,1.4752975,1.38489,"('incapable', 'capable')",1.169715,1.1174581,1.3225062,1.251174,0.0713322
13,-1.4362199,-1.232943,"('impolite', 'polite')",-0.55328405,-0.4220053,-0.994752,-0.8274742,-0.1672778
15,1.3776537,1.5126693,"('boring', 'funny')",0.04290251,0.18202677,0.7102781,0.847348,-0.1370699
45,-1.3555057,-1.2772785,"('incompetent', 'competent')",-0.7649168,-0.83327836,-1.0602112,-1.0552784,-0.0049328
65,-1.3463006,-1.1782814,"('insecure', 'secure')",-0.40592462,-0.19292317,-0.8761126,-0.6856023,-0.1905103
14,-1.3140515,-1.1402122,"('antisocial', 'social')",-1.0112519,-0.8376672,-1.1626518,-0.9889397,-0.1737121
