,macys_male,macys_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.563,-1.4585983,"('unimaginative', 'imaginative')",-2.3915997,-2.3669574,-1.9772998,-1.9127779,-0.0645219
75,-1.4341131,-1.0974326,"('meek', 'impulsive')",-0.5697115,-0.33054852,-1.0019124,-0.7139906,-0.2879218
44,-1.421856,-1.3854183,"('prejudiced', 'unprejudiced')",-1.4448993,-1.3999332,-1.4333777,-1.3926758,-0.0407019
33,1.2260847,0.9319956,"('wrong', 'right')",-0.88627535,-1.0563271,0.1699047,-0.0621658,0.2320705
56,1.1898429,1.4665886,"('impractical', 'practical')",0.42804006,0.75858516,0.8089415,1.1125869,-0.3036454
69,1.0732683,0.6293869,"('lazy', 'industrious')",-0.9657307,-1.3379123,0.0537688,-0.3542627,0.4080315
55,-1.0728745,-0.74952114,"('incompetent', 'clever')",0.2089027,0.27017218,-0.4319859,-0.2396745,-0.1923114
73,1.0195866,0.9364292,"('helpless', 'self-reliant')",-3.5768845,-3.5191445,-1.278649,-1.2913576,0.0127086
65,-1.0183594,-0.8332686,"('insecure', 'secure')",-0.1061357,0.008788591,-0.5622476,-0.41224,-0.1500076
3,-1.0171739,-0.9088053,"('repellent', 'pleasant')",0.093004726,0.16340998,-0.4620846,-0.3726977,-0.0893869
26,1.0119725,1.0869071,"('hardhearted', 'benevolent')",1.4949471,1.2855091,1.2534598,1.1862081,0.0672517
39,0.983835,0.91776776,"('exploitative', 'cooperative')",-0.18808964,-0.040998735,0.3978727,0.4383845,-0.0405118
87,0.9598582,1.1519623,"('unsuccessful', 'successful')",0.7841047,0.76765996,0.8719814,0.9598111,-0.0878297
72,-0.9396738,-0.714666,"('unambitious', 'ambitious')",-0.8094274,-0.5554001,-0.8745506,-0.635033,-0.2395176
18,-0.8843439,-0.5542072,"('disagreeable', 'welcoming')",-0.69199073,-0.59877,-0.7881674,-0.5764886,-0.2116788
12,0.87949914,0.7110037,"('unsupportive', 'supportive')",-1.191943,-1.4064735,-0.156222,-0.3477349,0.1915129
37,0.878327,0.5456635,"('fake', 'genuine')",0.7954297,0.6778883,0.8368784,0.6117759,0.2251025
71,0.870964,0.6040051,"('diffident', 'self-confident')",0.5126508,0.2154016,0.6918074,0.4097033,0.2821041
77,-0.8626356,-1.0074325,"('unmotivated', 'motivated')",-1.1016986,-1.1094496,-0.9821671,-1.058441,0.0762739
34,0.83685327,0.89602494,"('mean', 'honorable')",6.3623357,6.308006,3.5995946,3.6020155,-0.0024209
14,-0.819337,-0.2626453,"('antisocial', 'social')",-1.1493838,-0.7604042,-0.9843604,-0.5115248,-0.4728356
22,-0.8017306,-0.59592843,"('untrustworthy', 'trustworthy')",-1.069742,-1.0299585,-0.9357363,-0.8129435,-0.1227928
1,0.75729924,0.7628462,"('unfriendly', 'friendly')",1.4569832,1.355073,1.1071413,1.0589596,0.0481817
27,0.7265817,0.2887446,"('hardhearted', 'softhearted')",1.5670623,1.0110831,1.146822,0.6499138,0.4969082
64,-0.72636896,-0.8907286,"('shy', 'confident')",-6.0921354,-6.127524,-3.4092522,-3.5091262,0.099874
85,0.6979226,0.7506632,"('insignificant', 'prestigious')",-0.090005904,-0.08287326,0.3039584,0.333895,-0.0299366
74,0.68598294,0.9265479,"('undedicated', 'dedicated')",0.9012144,0.875354,0.7935987,0.9009509,-0.1073522
82,-0.62254,-0.15218055,"('poor', 'rich')",6.19224,6.5261483,2.7848501,3.1869838,-0.4021337
19,0.61711687,0.6187596,"('inhospitable', 'hospitable')",0.04876338,-0.014273948,0.3329401,0.3022428,0.0306973
61,0.6125624,0.60528,"('illogical', 'logical')",0.40070096,0.28575006,0.5066317,0.445515,0.0611167
68,-0.5972505,-0.7055703,"('dependent', 'independent')",-0.23414892,-0.40947497,-0.4156997,-0.5575227,0.141823
53,-0.5877613,-0.4248562,"('uncreative', 'creative')",0.9847879,0.92787445,0.1985133,0.2515091,-0.0529958
45,-0.5820097,-0.411212,"('incompetent', 'competent')",0.10912594,0.005215034,-0.2364419,-0.2029985,-0.0334434
63,0.57139057,0.70231,"('unperceptive', 'insightful')",1.7094969,1.6265609,1.1404437,1.1644355,-0.0239918
11,-0.55095005,-0.21591903,"('unhelpful', 'helpful')",2.5378377,2.7032683,0.9934438,1.2436746,-0.2502308
17,-0.539921,-0.33426425,"('nasty', 'nice')",-0.8887676,-0.70147884,-0.7143443,-0.5178716,-0.1964727
42,0.5233933,0.6551694,"('unreliable', 'reliable')",-2.3596396,-2.3109314,-0.9181232,-0.827881,-0.0902422
32,0.47707728,0.5755923,"('unkind', 'kind')",1.2929978,1.3442593,0.8850375,0.9599258,-0.0748883
46,-0.46432722,-0.34556127,"('uncompetitive', 'competitive')",0.16319884,0.20584139,-0.1505642,-0.0698599,-0.0807043
28,-0.4561091,-0.39623317,"('disloyal', 'loyal')",1.1038209,1.1584657,0.3238559,0.3811163,-0.0572604
35,0.45282698,0.36507016,"('corrupt', 'incorrupt')",-0.8039377,-0.8433147,-0.1755553,-0.2391223,0.063567
29,-0.4420538,-0.68684274,"('unfair', 'fair')",-0.60548496,-0.83640707,-0.5237694,-0.7616249,0.2378555
58,-0.4255234,-0.21995565,"('undiscriminating', 'discriminating')",0.24615993,0.13046284,-0.0896817,-0.0447464,-0.0449353
47,0.42544118,0.61443853,"('stupid', 'smart')",5.1344776,5.291841,2.7799594,2.9531398,-0.1731804
2,0.4227761,0.7434693,"('unlikable', 'likable')",0.7203542,1.0354917,0.5715652,0.8894805,-0.3179153
62,-0.41395825,0.03333008,"('incompetent', 'brilliant')",0.5026391,0.7935815,0.0443404,0.4134558,-0.3691154
9,0.40797088,0.21398604,"('unaffectionate', 'caring')",0.7285001,0.6435321,0.5682355,0.4287591,0.1394764
83,-0.40333903,-0.06643803,"('powerless', 'powerful')",-0.7531813,-0.6741608,-0.5782602,-0.3702994,-0.2079608
13,0.39765367,0.5896807,"('impolite', 'polite')",-0.009892456,0.17203453,0.1938806,0.3808576,-0.186977
67,0.39686376,0.47932476,"('doubtful', 'determined')",-0.45221624,-0.16480935,-0.0276762,0.1572577,-0.1849339
16,-0.39450073,-0.1812248,"('unpopular', 'popular')",0.2688124,0.27096245,-0.0628442,0.0448688,-0.107713
21,0.38018748,0.5262606,"('immoral', 'moral')",-0.55149907,-0.3462077,-0.0856558,0.0900265,-0.1756823
10,-0.37870786,-0.28020135,"('unsympathetic', 'sympathetic')",0.41569647,0.50870895,0.0184943,0.1142538,-0.0957595
81,-0.37503657,0.113340534,"('submissive', 'aggressive')",-0.16603124,0.19546452,-0.2705339,0.1544025,-0.4249364
49,-0.36875734,-0.06531596,"('unable', 'able')",-0.4566137,-0.23609772,-0.4126855,-0.1507068,-0.2619787
15,0.3687361,0.49633336,"('boring', 'funny')",0.09663218,0.2703418,0.2326841,0.3833376,-0.1506535
6,0.35353398,0.2255295,"('distant', 'open')",-0.1479268,-0.20860039,0.1028036,0.0084646,0.094339
41,0.34008017,0.65219265,"('unforgiving', 'forgiving')",0.05231204,0.19498022,0.1961961,0.4235864,-0.2273903
43,0.3329059,0.3771958,"('irresponsible', 'responsible')",1.0717611,1.1050018,0.7023335,0.7410988,-0.0387653
88,-0.31520957,0.14418744,"('low', 'eminent')",0.24993666,0.4664646,-0.0326365,0.305326,-0.3379625
38,0.2880128,0.3701004,"('untruthful', 'truthful')",0.43929014,0.62891126,0.3636515,0.4995058,-0.1358543
78,0.28326997,0.31478474,"('nonresilient', 'resilient')",0.33378863,0.23720518,0.3085293,0.275995,0.0325343
5,0.28123644,0.31352556,"('distant', 'outgoing')",-0.90115607,-0.9009919,-0.3099598,-0.2937332,-0.0162266
80,0.26223332,0.32000515,"('dominated', 'dominating')",-0.46760046,-0.61646557,-0.1026836,-0.1482302,0.0455466
31,-0.25433254,-0.62898046,"('evil', 'good')",-1.6009132,-1.9905195,-0.9276229,-1.30975,0.3821271
70,-0.24404526,-0.06377402,"('lethargic', 'energetic')",1.2301095,1.3114098,0.4930321,0.6238179,-0.1307858
79,-0.23693085,-0.31155956,"('wavering', 'unwavering')",-0.14107208,-0.17453513,-0.1890015,-0.2430473,0.0540458
51,-0.22863086,-0.052251562,"('uneducated', 'educated')",1.317462,1.4010999,0.5444155,0.6744242,-0.1300087
54,0.22289935,0.34796333,"('incapable', 'capable')",1.0425241,1.1905305,0.6327117,0.7692469,-0.1365352
40,-0.2213252,-0.23526666,"('stingy', 'generous')",-1.3730493,-1.5137382,-0.7971872,-0.8745024,0.0773152
30,0.20996124,0.4939498,"('intolerant', 'tolerant')",1.0264502,1.2123957,0.6182057,0.8531727,-0.234967
20,0.20975205,0.24034071,"('rough', 'thoughtful')",1.2365667,0.9395033,0.7231594,0.589922,0.1332374
8,-0.2060726,-0.13207227,"('unaffectionate', 'affectionate')",0.18038431,0.1587735,-0.0128441,0.0133506,-0.0261947
